Rk,Player,Age,Team,Pos,GP,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,upload
35,Bob Essensa,35,PHX,G,30,13,10,3,73,719,646,.898,2.78,1,1573:05,106,-4.3,3.17,3.9,0,0,0,0,,essenbo01
36,José Théodore,23,MTL,G,30,12,13,2,58,717,659,.919,2.10,5,1655:03,85,10.6,2.39,5.5,0,0,0,0,,theodjo01
37,Mikhail Shtalenkov,34,2TM,G,30,15,10,4,70,739,669,.905,2.35,2,1786:06,99,0.7,2.69,4.6,0,3,3,4,,shtalmi01
37,Mikhail Shtalenkov,34,PHX,G,15,7,6,2,36,370,334,.903,2.39,2,904:00,102,-0.6,2.72,2.2,0,3,3,2,,shtalmi01
37,Mikhail Shtalenkov,34,FLA,G,15,8,4,2,34,369,335,.908,2.31,0,882:06,96,1.3,2.65,2.4,0,0,0,2,,shtalmi01
38,Ken Wregget,35,DET,G,29,14,10,2,70,700,630,.900,2.66,0,1578:43,105,-3.1,3.04,3.9,0,1,1,0,,wreggke01
39,Trevor Kidd,27,FLA,G,28,14,11,2,69,809,740,.915,2.63,1,1573:56,89,8.3,2.97,5.8,0,0,0,0,,kiddtr01
40,Damian Rhodes,30,ATL,G,28,5,19,3,101,803,702,.874,3.88,1,1561:21,132,-24.2,4.42,2.2,0,0,0,2,,rhodeda01
41,Robbie Tallas,26,BOS,G,27,4,13,4,72,628,556,.885,3.17,0,1362:45,120,-12.0,3.61,2.5,0,0,0,6,,tallaro01
42,Tom Barrasso,34,2TM,G,25,8,11,2,68,568,500,.880,3.17,1,1287:55,125,-13.7,3.59,2.0,0,0,0,6,,barrato01
42,Tom Barrasso,34,PIT,G,18,5,7,2,46,386,340,.881,3.17,1,869:34,125,-9.1,3.59,1.4,0,0,0,6,,barrato01
42,Tom Barrasso,34,OTT,G,7,3,4,0,22,182,160,.879,3.16,0,418:21,126,-4.6,3.59,0.6,0,0,0,0,,barrato01
43,Manny Fernandez,25,DAL,G,24,11,8,3,48,603,555,.920,2.13,1,1352:57,83,9.7,2.39,4.7,0,2,2,2,Calder-19,fernama01
44,John Grahame,24,BOS,G,24,7,10,5,55,609,554,.910,2.46,2,1344:10,94,3.2,2.77,4.1,0,1,1,8,,grahajo01
