Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
1,Edmonton Oilers,Connor McDavid,CA,C,18,2026,Erie Otters (OHL),794,409,811,1220,186,330,,,,,,,141.4,mcdavco01
2,Buffalo Sabres,Jack Eichel,US,C,18,2026,Boston University (H-East),690,266,432,698,19,211,,,,,,,76.9,eicheja01
3,Arizona Coyotes,Dylan Strome,CA,C,18,2026,Erie Otters (OHL),598,165,277,442,-43,212,,,,,,,41.9,stromdy01
4,Toronto Maple Leafs,Mitchell Marner,CA,C,18,2026,London Knights (OHL),738,245,576,821,145,222,,,,,,,85.6,marnemi01
5,Carolina Hurricanes,Noah Hanifin,US,D,18,2026,Boston College (H-East),829,75,278,353,7,215,,,,,,,59.8,hanifno01
6,New Jersey Devils,Pavel Zacha,CZ,C,18,2026,Sarnia Sting (OHL),706,155,252,407,-32,193,,,,,,,36.2,zachapa01
7,Philadelphia Flyers,Ivan Provorov,RU,D,18,2026,Brandon Wheat Kings (WHL),778,86,227,313,-14,279,,,,,,,54.2,provoiv01
8,Columbus Blue Jackets,Zach Werenski,US,D,18,2026,Michigan (Big Ten),642,135,330,465,11,164,,,,,,,73.9,werenza01
9,San Jose Sharks,Timo Meier,CH,RW,18,2026,Halifax Mooseheads (QMJHL),698,241,238,479,-74,402,,,,,,,50.4,meierti01
10,Colorado Avalanche,Mikko Rantanen,FI,RW,18,2026,TPS (Finland),716,316,466,782,91,501,,,,,,,87.4,rantami01
11,Florida Panthers,Lawson Crouse,CA,LW,18,2026,Kingston Frontenacs (OHL),666,139,120,259,-34,409,,,,,,,22.5,crousla01
12,Dallas Stars,Denis Gurianov,RU,RW,18,2024,Ladia Togliatti (Russia Jr.),298,52,61,113,-2,60,,,,,,,10.2,guriade01
13,Boston Bruins,Jakub Zboril,CZ,D,18,2023,Saint John Sea Dogs (QMJHL),76,1,15,16,0,28,,,,,,,2.9,zborija01
14,Boston Bruins,Jake Debrusk,CA,LW,18,2026,Swift Current Broncos (WHL),628,189,167,356,5,131,,,,,,,38.3,debruja01
15,Boston Bruins,Zachary Senyshyn,CA,RW,18,2022,Soo Greyhounds (OHL),16,1,2,3,-1,4,,,,,,,0.1,senysza01
16,New York Islanders,Mathew Barzal,CA,C,18,2026,Seattle Thunderbirds (WHL),611,153,381,534,20,313,,,,,,,51.3,barzama01
17,Winnipeg Jets,Kyle Connor,US,LW,18,2026,Youngstown Phantoms (USHL),695,323,351,674,-11,155,,,,,,,75.2,connoky01
18,Ottawa Senators,Thomas Chabot,CA,D,18,2026,Saint John Sea Dogs (QMJHL),569,78,257,335,-53,270,,,,,,,50.3,chaboth01
