Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
19,Detroit Red Wings,Evgeny Svechnikov,RU,LW,18,2023,Cape Breton Screaming Eagles (QMJHL),172,20,25,45,-16,84,,,,,,,2.9,svechev01
20,Minnesota Wild,Joel Eriksson Ek,SE,C,18,2026,Farjestad BK (Sweden),614,155,195,350,82,274,,,,,,,35.3,eriksjo02
21,Ottawa Senators,Colin White,US,C,18,2025,USA U-18 Development Team (USDP/USHL),323,44,69,113,-58,107,,,,,,,6.2,whiteco02
22,Washington Capitals,Ilya Samsonov,RU,G,18,2025,Stalnye Lisy Magnitogorsk (Russia Jr.),200,0,5,5,0,6,200,118,48,25,.902,2.77,28.9,samsoil01
23,Vancouver Canucks,Brock Boeser,US,RW,18,2026,Waterloo Black Hawks (USHL),629,226,256,482,-81,150,,,,,,,49.2,boesebr01
24,Philadelphia Flyers,Travis Konecny,CA,C,18,2026,Ottawa 67's (OHL),723,225,319,544,-29,522,,,,,,,55.4,konectr01
25,Winnipeg Jets,Jack Roslovic,US,C,18,2026,USA U-18 Development Team (USDP/USHL),595,123,173,296,-46,96,,,,,,,25.7,rosloja01
26,Montreal Canadiens,Noah Juulsen,CA,D,18,2026,Everett Silvertips (WHL),209,4,23,27,-10,74,,,,,,,5.2,juulsno01
27,Anaheim Ducks,Jacob Larsson,SE,D,18,2023,Frolunda HC Jr. (Sweden Jr.),172,3,21,24,-26,52,,,,,,,4.2,larssja01
28,New York Islanders,Anthony Beauvillier,CA,LW,18,2026,Shawinigan Cataractes (QMJHL),713,146,153,299,-11,149,,,,,,,27.1,beauvan01
29,Columbus Blue Jackets,Gabriel Carlsson,SE,D,18,2023,Linkoping HC Jr. (Sweden Jr.),81,3,15,18,-5,22,,,,,,,2.6,carlsga01
30,Arizona Coyotes,Nicholas Merkley,CA,RW,18,2022,Kelowna Rockets (WHL),41,4,11,15,-7,11,,,,,,,0.9,merklni01
31,San Jose Sharks,Jeremy Roy,CA,D,18,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,royje02
32,Arizona Coyotes,Christian Fischer,US,RW,18,2025,USA U-18 Development Team (USDP/USHL),523,62,75,137,-66,144,,,,,,,7.3,fischch01
33,Tampa Bay Lightning,Mitchell Stephens,CA,C,18,2025,Saginaw Spirit (OHL),123,6,13,19,-28,28,,,,,,,-0.7,stephmi01
34,Toronto Maple Leafs,Travis Dermott,CA,D,18,2025,Erie Otters (OHL),348,16,46,62,12,130,,,,,,,11.6,dermotr01
35,Carolina Hurricanes,Sebastian Aho,FI,RW,18,2026,Karpat (Finland),756,310,401,711,132,342,,,,,,,84.3,ahose01
36,Ottawa Senators,Gabriel Gagne,CA,RW,18,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,gagnega01
37,Boston Bruins,Brandon Carlo,US,D,18,2026,Tri-City Americans (WHL),692,29,90,119,137,381,,,,,,,37.9,carlobr01
38,Columbus Blue Jackets,Paul Bittner,US,LW,18,,Portland Winterhawks (WHL),,,,,,,,,,,,,,bittnpa01
39,Colorado Avalanche,A.J. Greer,CA,LW,18,2026,Boston University (H-East),326,36,45,81,18,448,,,,,,,7.3,greeraj01
40,Colorado Avalanche,Nicolas Meloche,CA,D,18,2022,Baie-Comeau Drakkar (QMJHL),57,2,6,8,-16,39,,,,,,,1.2,melocni01
41,New York Rangers,Ryan Gropp,CA,LW,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,groppry01
42,New Jersey Devils,Mackenzie Blackwood,CA,G,18,2026,Barrie Colts (OHL),291,0,2,2,0,6,291,126,113,30,.905,2.90,49.8,blackma01
43,Los Angeles Kings,Erik Cernak,SK,D,18,2026,HC Kosice (Slovakia),502,26,94,120,96,441,,,,,,,27.9,cernaer01
44,Tampa Bay Lightning,Matthew Spencer,CA,D,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,spencma01
45,Boston Bruins,Jakob Forsbacka Karlsson,SE,C,18,2019,Omaha Lancers (USHL),29,3,6,9,1,2,,,,,,,0.7,forsbja01
46,Pittsburgh Penguins,Daniel Sprong,NL,RW,18,2025,Charlottetown Islanders (QMJHL),374,87,79,166,-3,68,,,,,,,17.5,spronda01
47,Winnipeg Jets,Jansen Harkins,US,C,18,2026,Prince George Cougars (WHL),305,18,27,45,-31,106,,,,,,,0.0,harkija01
48,Ottawa Senators,Filip Chlapik,CZ,C,18,2021,Charlottetown Islanders (QMJHL),57,5,6,11,-13,18,,,,,,,0.2,chlapfi01
49,Dallas Stars,Roope Hintz,FI,LW,18,2026,Ilves (Finland),521,190,231,421,111,172,,,,,,,50.1,hintzro01
50,Minnesota Wild,Jordan Greenway,US,LW,18,2026,USA U-18 Development Team (USDP/USHL),475,56,109,165,12,365,,,,,,,10.7,greenjo02
51,Buffalo Sabres,Brendan Guhle,CA,D,18,2022,Prince Albert Raiders (WHL),65,4,10,14,-9,24,,,,,,,2.5,guhlebr01
52,Boston Bruins,Jeremy Lauzon,CA,D,18,2026,Rouyn-Noranda Huskies (QMJHL),384,15,43,58,-15,442,,,,,,,13.4,lauzoje01
53,Calgary Flames,Rasmus Andersson,SE,D,18,2026,Barrie Colts (OHL),617,64,214,278,-11,350,,,,,,,45.8,anderra01
54,Chicago Blackhawks,Graham Knott,CA,LW,18,,Niagara IceDogs (OHL),,,,,,,,,,,,,,knottgr01
55,Nashville Predators,Yakov Trenin,RU,C,18,2026,Gatineau Olympiques (QMJHL),457,61,59,120,32,256,,,,,,,9.0,treniya01
56,St. Louis Blues,Vince Dunn,CA,D,18,2026,Niagara IceDogs (OHL),623,86,244,330,10,393,,,,,,,53.9,dunnvi02
57,Washington Capitals,Jonas Siegenthaler,CH,D,18,2026,ZSC Lions (Swiss),449,10,72,82,23,255,,,,,,,18.5,siegejo01
58,Columbus Blue Jackets,Kevin Stenlund,SE,C,18,2026,HV71 Jr. (Sweden Jr.),368,46,44,90,-24,168,,,,,,,4.9,stenlke01
59,Anaheim Ducks,Julius Nattinen,FI,C,18,,JYP-Aktemia (Finland-2),,,,,,,,,,,,,,nattiju01
60,Calgary Flames,Oliver Kylington,SE,D,18,2025,Farjestad BK (Sweden),220,18,42,60,22,60,,,,,,,11.8,kylinol01
61,Toronto Maple Leafs,Jeremy Bracco,US,RW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,braccje01
62,New York Rangers,Robin Kovacs,SE,RW,18,,AIK (Sweden-2),,,,,,,,,,,,,,kovacro01
63,Arizona Coyotes,Kyle Capobianco,CA,D,18,2026,Sudbury Wolves (OHL),107,7,10,17,-18,60,,,,,,,2.7,capobky01
64,Tampa Bay Lightning,Dennis Yan,US,LW,18,,Shawinigan Cataractes (QMJHL),,,,,,,,,,,,,,yande01
65,Toronto Maple Leafs,Andrew Nielsen,CA,D,18,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,nielsan01
66,Vancouver Canucks,Guillaume Brisebois,CA,D,18,2025,Acadie-Bathurst Titan (QMJHL),30,1,2,3,-7,6,,,,,,,0.2,brisegu01
67,New Jersey Devils,Blake Speers,CA,C,18,2022,Soo Greyhounds (OHL),5,0,0,0,-3,2,,,,,,,-0.2,speerbl01
68,Toronto Maple Leafs,Martins Dzierkals,LV,LW,18,,HK Riga (Russia Jr.),,,,,,,,,,,,,,dzierma01
69,Columbus Blue Jackets,Keegan Kolesar,CA,RW,18,2026,Seattle Thunderbirds (WHL),439,44,76,120,-23,323,,,,,,,6.7,koleske01
70,Philadelphia Flyers,Felix Sandstrom,SE,G,18,2024,Brynas IF Jr. (Sweden Jr.),30,0,0,0,0,0,30,4,18,4,.880,3.66,2.6,sandsfe01
71,Colorado Avalanche,Jean-Christophe Beaudin,CA,C,18,2020,Rouyn-Noranda Huskies (QMJHL),22,0,1,1,-4,7,,,,,,,-0.4,beaudje01
72,Tampa Bay Lightning,Anthony Cirelli,CA,C,18,2026,Oshawa Generals (OHL),582,147,197,344,162,297,,,,,,,36.5,cirelan01
73,Detroit Red Wings,Vili Saarijarvi,FI,D,18,,Green Bay Gamblers (USHL),,,,,,,,,,,,,,saarivi01
74,Los Angeles Kings,Alexander Dergachyov,RU,C,18,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,dergaal01
75,Boston Bruins,Daniel Vladar,CZ,G,18,2026,Rytiri Kladno (Czech-2),157,0,2,2,0,8,157,78,48,23,.898,2.80,23.2,vladada01
76,Arizona Coyotes,Adin Hill,CA,G,19,2026,Portland Winterhawks (WHL),213,0,5,5,0,10,213,106,73,19,.905,2.67,33.2,hillad01
77,Florida Panthers,Sam Montembeault,CA,G,18,2026,Blainville-Boisbriand Armada (QMJHL),231,0,4,4,0,0,231,90,92,32,.896,3.23,34.5,montesa01
78,Winnipeg Jets,Erik Foley,US,LW,18,,Cedar Rapids RoughRiders (USHL),,,,,,,,,,,,,,foleyer01
79,New York Rangers,Sergey Zborovskiy,RU,D,18,,Regina Pats (WHL),,,,,,,,,,,,,,zborose01
80,Anaheim Ducks,Brent Gates,US,C,18,,Green Bay Gamblers (USHL),,,,,,,,,,,,,,gatesbr01
81,Arizona Coyotes,Brendan Warren,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,warrebr01
82,New York Islanders,Mitchell Vande Sompel,CA,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,vandemi01
83,Arizona Coyotes,Jens Looke,SE,RW,18,,Brynas IF (Sweden),,,,,,,,,,,,,,lookeje01
84,Anaheim Ducks,Deven Sideroff,CA,RW,18,,Kamloops Blazers (WHL),,,,,,,,,,,,,,siderde01
85,Nashville Predators,Thomas Novak,US,C,18,2026,Waterloo Black Hawks (USHL),285,65,94,159,-8,46,,,,,,,15.2,novakth01
86,San Jose Sharks,Mike Robinson,US,G,18,,Lawrence Academy (High-MA),,,,,,,,,,,,,,robinmi01
87,Montreal Canadiens,Lukas Vejdemo,SE,C,19,2022,Djurgardens IF Jr. (Sweden Jr.),13,2,0,2,-3,0,,,,,,,0.1,vejdelu01
88,Florida Panthers,Thomas Schemitsch,CA,D,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,schemth01
89,New York Rangers,Aleksi Saarela,FI,C,18,2020,Assat (Finland),9,2,2,4,2,0,,,,,,,0.5,saareal01
90,Philadelphia Flyers,Matej Tomek,SK,G,18,,Topeka Roadrunners (NAHL),,,,,,,,,,,,,,tomekma01
91,Chicago Blackhawks,Dennis Gilbert,US,D,18,2026,Chicago Steel (USHL),119,3,18,21,-18,140,,,,,,,2.1,gilbede01
92,Buffalo Sabres,William Borgen,US,D,18,2026,Moorhead HS (High-MN),373,18,65,83,-3,227,,,,,,,15.4,borgewi01
93,Carolina Hurricanes,Callum Booth,CA,G,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,boothca01
94,St. Louis Blues,Adam Musil,CA,C,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,musilad01
95,Toronto Maple Leafs,Jesper Lindgren,SE,D,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,lindgje01
96,Carolina Hurricanes,Nicolas Roy,CA,C,18,2026,Chicoutimi Sagueneens (QMJHL),443,76,115,191,37,194,,,,,,,16.5,royni01
97,New Jersey Devils,Colton White,CA,D,18,2026,Soo Greyhounds (OHL),107,0,14,14,-18,24,,,,,,,1.6,whiteco03
98,Philadelphia Flyers,Samuel Dove-McFalls,CA,LW,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,dovemsa01
99,Los Angeles Kings,Austin Wagner,CA,LW,18,2023,Regina Pats (WHL),178,23,19,42,-19,70,,,,,,,3.3,wagneau01
100,Nashville Predators,Anthony Richard,CA,C,18,2026,Val-d'Or Foreurs (QMJHL),40,6,8,14,-3,8,,,,,,,1.1,richaan01
101,Colorado Avalanche,Andrei Mironov,RU,D,21,2018,Dynamo Moskva (Russia),10,1,2,3,2,12,,,,,,,0.7,mironan01
102,Florida Panthers,Denis Malgin,CH,C,18,2023,ZSC Lions (Swiss),257,41,40,81,-16,50,,,,,,,6.5,malgide01
103,Dallas Stars,Chris Martenet,US,D,18,,London Knights (OHL),,,,,,,,,,,,,,martech01
104,Philadelphia Flyers,Mikhail Vorobyev,RU,C,18,2020,Tolpar Ufa (Russia Jr.),35,2,3,5,-5,8,,,,,,,-0.1,vorobmi01
105,Boston Bruins,Jesse Gabrielle,CA,LW,18,,Regina Pats (WHL),,,,,,,,,,,,,,gabrije01
106,San Jose Sharks,Adam Helewka,CA,LW,20,,Spokane Chiefs (WHL),,,,,,,,,,,,,,helewad01
107,Ottawa Senators,Christian Wolanin,CA,D,20,2023,Muskegon Lumberjacks (USHL),86,6,17,23,-2,20,,,,,,,3.9,wolanch01
108,Winnipeg Jets,Michael Spacek,CZ,RW,18,,HC Pardubice (Czech),,,,,,,,,,,,,,spacemi01
109,Ottawa Senators,Filip Ahl,SE,LW,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,ahlfi01
110,Detroit Red Wings,Joren Van Pottelberghe,CH,G,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,vanpojo01
111,Minnesota Wild,Ales Stezka,CZ,G,18,2025,Bili Tygri Liberec Jr. (Czech Jr.),1,0,0,0,0,0,1,0,1,0,.870,3.09,0.1,stezkal01
112,New York Islanders,Parker Wotherspoon,CA,D,18,2026,Tri-City Americans (WHL),188,4,42,46,18,100,,,,,,,9.0,wothepa01
113,New York Rangers,Brad Morrison,CA,C,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,morribr03
114,Vancouver Canucks,Dmitry Zhukenov,RU,C,18,,Omskie Yastreby (Russia Jr.),,,,,,,,,,,,,,zhukedm01
115,Nashville Predators,Alexandre Carrier,CA,D,18,2026,Gatineau Olympiques (QMJHL),369,20,89,109,31,205,,,,,,,21.4,carrial01
116,St. Louis Blues,Glenn Gawdin,CA,C,18,2024,Swift Current Broncos (WHL),13,0,1,1,-3,4,,,,,,,-0.2,gawdigl01
117,Edmonton Oilers,Caleb Jones,US,D,18,2026,USA U-18 Development Team (USDP/USHL),255,14,42,56,-35,90,,,,,,,9.0,jonesca01
118,Tampa Bay Lightning,Jonne Tammela,FI,RW,18,,KalPa (Finland),,,,,,,,,,,,,,tammejo01
119,New York Rangers,Daniel Bernhardt,SE,RW,19,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,bernhda01
120,Tampa Bay Lightning,Mathieu Joseph,CA,RW,18,2026,Saint John Sea Dogs (QMJHL),471,61,99,160,6,205,,,,,,,11.8,josepma01
121,Chicago Blackhawks,Ryan Shea,US,D,18,2026,Boston College HS (High-MA),150,9,32,41,22,42,,,,,,,8.6,sheary01
122,Buffalo Sabres,Devante Stephens,CA,D,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,stephde01
123,Arizona Coyotes,Conor Garland,US,RW,19,2026,Moncton Wildcats (QMJHL),556,134,190,324,-3,246,,,,,,,31.5,garlaco01
124,Edmonton Oilers,Ethan Bear,CA,D,18,2024,Seattle Thunderbirds (WHL),275,17,50,67,-14,112,,,,,,,12.0,bearet01
125,Toronto Maple Leafs,Dmytro Timashov,UA,LW,18,2021,Quebec Remparts (QMJHL),45,4,5,9,-1,16,,,,,,,0.6,timasdm01
126,Carolina Hurricanes,Luke Stevens,US,LW,18,,Noble & Greenough School (High-MA),,,,,,,,,,,,,,stevelu01
127,St. Louis Blues,Niko Mikkola,FI,D,19,2026,KalPa Jr. (Finland Jr.),396,17,56,73,14,310,,,,,,,16.4,mikkoni01
128,Philadelphia Flyers,David Kase,CZ,RW,18,2021,Pirati Chomutov (Czech-2),7,1,0,1,1,0,,,,,,,0.1,kaseda01
129,Columbus Blue Jackets,Sam Ruopp,CA,D,19,,Prince George Cougars (WHL),,,,,,,,,,,,,,ruoppsa01
130,San Jose Sharks,Karlis Cukste,LV,D,18,,HK Riga (Russia Jr.),,,,,,,,,,,,,,cukstka01
131,Montreal Canadiens,Matthew Bradley,CA,C,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,bradlma02
132,Florida Panthers,Karch Bachman,US,LW,18,,Culver Military Academy (High-IN),,,,,,,,,,,,,,bachmka01
133,Dallas Stars,Joseph Cecconi,US,D,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,ceccojo01
134,Los Angeles Kings,Matt Schmalz,CA,RW,19,,Sudbury Wolves (OHL),,,,,,,,,,,,,,schmama01
135,Minnesota Wild,Kirill Kaprizov,RU,LW,18,2026,Metallurg Novokuznetsk (Russia),397,230,245,475,81,175,,,,,,,58.4,kapriki01
136,Calgary Flames,Pavel Karnaukhov,BY,LW,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,karnapa01
137,Pittsburgh Penguins,Dominik Simon,CZ,C,21,2022,HC Plzen (Czech),256,22,55,77,0,80,,,,,,,4.7,simondo01
138,Carolina Hurricanes,Spencer Smallman,CA,RW,19,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,smallsp01
139,Ottawa Senators,Christian Jaros,SK,D,19,2022,Lulea HF Jr. (Sweden Jr.),94,1,13,14,-24,37,,,,,,,0.8,jarosch01
140,Detroit Red Wings,Chase Pearson,CA,C,18,2022,Youngstown Phantoms (USHL),3,0,0,0,0,0,,,,,,,0.0,pearsch01
141,Columbus Blue Jackets,Veeti Vainio,FI,D,18,,Blues Jr. (Finland Jr.),,,,,,,,,,,,,,vainive01
142,San Jose Sharks,Rudolfs Balcers,LV,LW,18,2023,Stavanger (Norway),170,28,34,62,-19,50,,,,,,,4.7,balceru01
143,Washington Capitals,Connor Hobbs,CA,D,18,,Regina Pats (WHL),,,,,,,,,,,,,,hobbsco01
144,Vancouver Canucks,Carl Neill,CA,D,19,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,neillca01
145,Nashville Predators,Karel Vejmelka,CZ,G,19,2026,HC Pardubice Jr. (Czech Jr.),262,0,5,5,0,6,262,108,117,22,.899,3.10,42.0,vejmeka01
146,St. Louis Blues,Luke Opilka,US,G,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,opilklu01
147,New York Islanders,Ryan Pilon,CA,D,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,pilonry01
148,Anaheim Ducks,Troy Terry,US,C RW,18,2026,USA U-18 Development Team (USDP/USHL),488,135,207,342,-16,132,,,,,,,32.4,terrytr01
149,Vancouver Canucks,Adam Gaudette,US,C,18,2026,Cedar Rapids RoughRiders (USHL),367,63,58,121,-34,120,,,,,,,10.7,gaudead01
150,Tampa Bay Lightning,Ryan Zuhlsdorf,US,D,18,,Sioux City Musketeers (USHL),,,,,,,,,,,,,,zuhlsry01
151,Chicago Blackhawks,Radovan Bondra,SK,RW,18,,HC Kosice (Slovakia),,,,,,,,,,,,,,bondrra01
152,Buffalo Sabres,Giorgio Estephan,CA,C,18,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,estepgi01
153,Tampa Bay Lightning,Kristian Oldham,US,G,18,,Omaha Lancers (USHL),,,,,,,,,,,,,,oldhakr01
154,Edmonton Oilers,John Marino,US,D,18,2026,South Shore (USPHL Premier),443,23,134,157,82,130,,,,,,,30.7,marinjo01
155,Toronto Maple Leafs,Stephen Desrocher,CA,D,19,,Oshawa Generals (OHL),,,,,,,,,,,,,,desrost01
156,Carolina Hurricanes,Jake Massie,CA,D,18,,Kimball Union Academy (High-NH),,,,,,,,,,,,,,massija01
157,New Jersey Devils,Brett Seney,CA,LW,19,2024,Merrimack (H-East),66,6,8,14,-17,39,,,,,,,0.4,seneybr01
158,Philadelphia Flyers,Cooper Marody,US,C,18,2022,Sioux Falls Stampede (USHL),7,0,1,1,-1,0,,,,,,,0.0,marodco01
159,Columbus Blue Jackets,Vladislav Gavrikov,RU,D,19,2026,Lokomotiv Yaroslavl (Russia),517,43,127,170,16,244,,,,,,,33.8,gavrivl01
160,San Jose Sharks,Adam Parsells,US,D,18,,Wausau West HS (High-WI),,,,,,,,,,,,,,parsead01
161,Colorado Avalanche,Sergei Boikov,RU,D,19,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,boikose01
162,Florida Panthers,Christopher Wilkie,US,RW,19,,Tri-City Storm (USHL),,,,,,,,,,,,,,wilkich01
163,Dallas Stars,Markus Ruusu,FI,G,18,,JYP Jr. (Finland Jr.),,,,,,,,,,,,,,ruusuma01
164,Chicago Blackhawks,Roy Radke,US,RW,18,,Barrie Colts (OHL),,,,,,,,,,,,,,radkero01
165,Boston Bruins,Cameron Hughes,CA,C,18,2026,Wisconsin (Big Ten),5,1,0,1,0,0,,,,,,,0.1,hugheca01
166,Calgary Flames,Andrew Mangiapane,CA,LW,19,2026,Barrie Colts (OHL),560,131,128,259,31,247,,,,,,,26.0,mangian01
167,Pittsburgh Penguins,Frederik Tiffels,DE,LW,20,,Western Michigan (NCHC),,,,,,,,,,,,,,tiffefr01
168,Winnipeg Jets,Mason Appleton,US,C,19,2026,Tri-City Storm (USHL),465,63,89,152,31,168,,,,,,,12.0,applema01
169,Carolina Hurricanes,David Cotton,US,C,18,,Cushing Academy (High-MA),,,,,,,,,,,,,,cottoda01
170,Detroit Red Wings,Patrick Holway,US,D,18,,Boston (T1EHL 18U),,,,,,,,,,,,,,holwapa01
171,Minnesota Wild,Nicholas Boka,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,bokani01
172,New York Islanders,Andong Song,CN,D,18,,Lawrenceville School (High-NJ),,,,,,,,,,,,,,songan01
173,Washington Capitals,Colby Williams,CA,D,20,,Regina Pats (WHL),,,,,,,,,,,,,,willico01
174,Vancouver Canucks,Lukas Jasek,CZ,RW,18,,HC Ocelari Trinec (Czech),,,,,,,,,,,,,,jaseklu01
175,Nashville Predators,Tyler Moy,US,C,20,,Harvard (ECAC),,,,,,,,,,,,,,moyty01
176,St. Louis Blues,Liam Dunda,US,LW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,dundali01
177,Montreal Canadiens,Simon Bourque,CA,D,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,bourqsi01
178,Anaheim Ducks,Steven Ruggiero,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,ruggist01
179,Anaheim Ducks,Garrett Metcalf,US,G,19,,Madison Capitols (USHL),,,,,,,,,,,,,,metcaga01
180,Tampa Bay Lightning,Bokondji Imama,CA,LW,19,2026,Saint John Sea Dogs (QMJHL),33,2,0,2,-1,52,,,,,,,0.0,imamabo01
181,Chicago Blackhawks,Joni Tuulola,FI,D,19,,HPK (Finland),,,,,,,,,,,,,,tuulojo01
182,Buffalo Sabres,Ivan Chukarov,US,D,20,,Minnesota Wilderness (NAHL),,,,,,,,,,,,,,chukaiv01
183,Arizona Coyotes,Erik Kallgren,SE,G,18,2023,Linkoping HC Jr. (Sweden Jr.),24,0,0,0,0,2,24,11,6,5,.892,3.04,2.6,kallger01
184,New York Rangers,Adam Huska,SK,G,18,2022,Green Bay Gamblers (USHL),1,0,0,0,,0,1,0,1,0,.821,7.04,-0.1,huskaad01
185,Toronto Maple Leafs,Nikita Korostelev,RU,RW,18,,Sarnia Sting (OHL),,,,,,,,,,,,,,korosni01
186,Carolina Hurricanes,Steven Lorentz,CA,C; LW,19,2026,Peterborough Petes (OHL),381,36,44,80,-22,67,,,,,,,4.0,lorenst01
187,Los Angeles Kings,Chaz Reddekopp,CA,D,18,,Victoria Royals (WHL),,,,,,,,,,,,,,reddech01
188,Philadelphia Flyers,Ivan Fedotov,RU,G,18,2025,Reaktor Nizhnekamsk (Russia Jr.),29,0,0,0,0,0,29,6,14,5,.874,3.29,2.3,fedotiv01
189,Columbus Blue Jackets,Markus Nutivaara,FI,D,21,2022,Karpat (Finland),275,17,54,71,26,42,,,,,,,15.0,nutivma01
190,San Jose Sharks,Marcus Vela,CA,C,18,,Langley (BCHL),,,,,,,,,,,,,,velama01
191,Colorado Avalanche,Gustav Olhaver,SE,C,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,olhavgu01
192,Florida Panthers,Patrick Shea,US,C,18,,Kimball Union Academy (High-NH),,,,,,,,,,,,,,sheapa02
193,San Jose Sharks,John Kupsky,US,G,19,,Lone Star Brahmas (NAHL),,,,,,,,,,,,,,kupskjo01
194,Los Angeles Kings,Matt Roy,CA,D,20,2026,Michigan Tech (WCHA),517,29,120,149,103,155,,,,,,,35.4,royma04
195,Boston Bruins,Jack Becker,US,C,18,,Mahtomedi HS (High-MN),,,,,,,,,,,,,,beckeja01
196,Calgary Flames,Riley Bruce,CA,D,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,bruceri01
197,Pittsburgh Penguins,Nikita Pavlychev,RU,C,18,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,pavlyni01
198,Winnipeg Jets,Sami Niku,FI,D,18,2022,JYP-Aktemia (Finland-2),67,2,14,16,-2,24,,,,,,,2.3,nikusa01
