Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
1,Toronto Maple Leafs,Auston Matthews,US,C,18,2026,ZSC Lions (Swiss),689,428,352,780,147,152,,,,,,,102.0,matthau01
2,Winnipeg Jets,Patrik Laine,FI,RW,18,2026,Tappara (Finland),537,224,198,422,-75,201,,,,,,,46.7,lainepa01
3,Columbus Blue Jackets,Pierre-Luc Dubois,CA,LW,18,2026,Cape Breton Screaming Eagles (QMJHL),627,170,257,427,27,548,,,,,,,42.9,duboipi01
4,Edmonton Oilers,Jesse Puljujarvi,SE,RW,18,2025,Karpat (Finland),387,58,70,128,6,139,,,,,,,10.1,puljuje01
5,Vancouver Canucks,Olli Juolevi,FI,D,18,2022,London Knights (OHL),41,2,1,3,-2,6,,,,,,,0.8,juoleol01
6,Calgary Flames,Matthew Tkachuk,US,LW,18,2026,London Knights (OHL),673,253,417,670,124,738,,,,,,,76.5,tkachma01
7,Arizona Coyotes,Clayton Keller,US,C,18,2026,USA U-18 Development Team (USDP/USHL),683,222,374,596,-53,269,,,,,,,59.4,kellecl01
8,Buffalo Sabres,Alexander Nylander,CA,LW,18,2025,Mississauga Steelheads (OHL),126,25,24,49,-12,30,,,,,,,4.2,nylanal01
9,Montreal Canadiens,Mikhail Sergachev,RU,D,18,2026,Windsor Spitfires (OHL),630,73,296,369,41,358,,,,,,,56.1,sergami01
10,Colorado Avalanche,Tyson Jost,CA,C,18,2026,Penticton (BCHL),564,69,96,165,-33,227,,,,,,,9.7,jostty01
11,Ottawa Senators,Logan Brown,US,C,18,2023,Windsor Spitfires (OHL),99,7,19,26,-9,22,,,,,,,1.1,brownlo01
12,New Jersey Devils,Michael McLeod,CA,C,18,2024,Mississauga Steelheads (OHL),287,29,56,85,-17,164,,,,,,,4.3,mcleomi01
13,Carolina Hurricanes,Jake Bean,CA,D,18,2026,Calgary Hitmen (WHL),277,16,49,65,-26,100,,,,,,,10.2,beanja01
14,Boston Bruins,Charles McAvoy,US,D,18,2026,Boston University (H-East),573,71,290,361,157,491,,,,,,,66.4,mcavoch01
15,Minnesota Wild,Luke Kunin,US,C,18,2026,Wisconsin (Big Ten),496,77,75,152,-103,434,,,,,,,8.2,kuninlu01
16,Arizona Coyotes,Jakob Chychrun,US,D,18,2026,Sarnia Sting (OHL),621,122,201,323,-32,422,,,,,,,55.9,chychja01
17,Nashville Predators,Dante Fabbro,CA,D,18,2026,Penticton (BCHL),451,30,79,109,13,232,,,,,,,21.0,fabbrda01
18,Winnipeg Jets,Logan Stanley,CA,D,18,2026,Windsor Spitfires (OHL),278,14,48,62,29,333,,,,,,,13.8,stanllo01
