Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
19,New York Islanders,Kieffer Bellows,US,LW,18,2025,USA U-18 Development Team (USDP/USHL),114,16,16,32,-12,37,,,,,,,2.6,belloki01
20,Detroit Red Wings,Dennis Cholowski,CA,D,18,2026,Chilliwack (BCHL),173,13,29,42,-60,40,,,,,,,4.4,cholode01
21,Carolina Hurricanes,Julien Gauthier,CA,RW,18,2025,Val-d'Or Foreurs (QMJHL),181,19,22,41,-25,44,,,,,,,2.2,gauthju01
22,Philadelphia Flyers,German Rubtsov,RU,C,18,2020,Team Russia Jr. (Russia Jr.),4,0,0,0,-1,0,,,,,,,-0.1,rubtsge01
23,Florida Panthers,Henrik Borgström,FI,C,19,2023,HIFK Jr. (Finland Jr.),111,13,13,26,-31,28,,,,,,,0.8,borgshe01
24,Anaheim Ducks,Max Jones,US,LW,18,2026,London Knights (OHL),305,35,34,69,-54,238,,,,,,,2.3,jonesma03
25,Dallas Stars,Riley Tufte,US,LW,18,2026,Blaine HS (High-MN),28,3,1,4,-7,10,,,,,,,0.0,tufteri01
26,St. Louis Blues,Tage Thompson,US,C,18,2026,Connecticut (H-East),529,216,190,406,-62,238,,,,,,,44.3,thompta01
27,Tampa Bay Lightning,Brett Howden,CA,C,18,2026,Moose Jaw Warriors (WHL),489,74,89,163,-18,246,,,,,,,11.5,howdebr01
28,Washington Capitals,Lucas Johansen,CA,D,18,2024,Kelowna Rockets (WHL),9,0,2,2,2,4,,,,,,,0.5,johanlu01
29,Boston Bruins,Trent Frederic,US,C,18,2026,USA U-18 Development Team (USDP/USHL),412,59,57,116,3,365,,,,,,,9.0,fredetr01
30,Anaheim Ducks,Sam Steel,CA,C,18,2026,Regina Pats (WHL),491,61,114,175,-27,154,,,,,,,11.0,steelsa01
31,Toronto Maple Leafs,Yegor Korshkov,RU,RW,20,2020,Lokomotiv Yaroslavl (Russia),1,1,0,1,1,0,,,,,,,0.2,korsheg01
32,Edmonton Oilers,Tyler Benson,CA,LW,18,2023,Vancouver Giants (WHL),38,1,2,3,-6,18,,,,,,,-0.4,bensoty01
33,Buffalo Sabres,Rasmus Asplund,SE,C,18,2025,Farjestad BK (Sweden),189,18,31,49,-16,22,,,,,,,2.5,asplura01
34,Columbus Blue Jackets,Andrew Peeke,US,D,18,2026,Green Bay Gamblers (USHL),386,16,59,75,-81,141,,,,,,,9.4,peekean01
35,St. Louis Blues,Jordan Kyrou,CA,C,18,2026,Sarnia Sting (OHL),488,168,210,378,-21,116,,,,,,,39.1,kyroujo01
36,Philadelphia Flyers,Pascal Laberge,CA,C,18,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,laberpa01
37,Tampa Bay Lightning,Libor Hajek,CZ,D,18,2023,Saskatoon Blades (WHL),110,4,8,12,-9,40,,,,,,,2.2,hajekli01
38,Florida Panthers,Adam Mascherin,CA,LW,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,maschad01
39,Chicago Blackhawks,Alexander Debrincat,US,RW,18,2026,Erie Otters (OHL),696,294,301,595,-49,194,,,,,,,66.4,debrial01
40,Colorado Avalanche,Cameron Morrison,CA,LW,18,,Youngstown Phantoms (USHL),,,,,,,,,,,,,,morrica01
41,New Jersey Devils,Nathan Bastian,CA,RW,18,2026,Mississauga Steelheads (OHL),312,39,36,75,-15,211,,,,,,,5.1,bastina01
42,Ottawa Senators,Jonathan Dahlen,SE,C,18,2022,Timra IK (Sweden-2),61,12,10,22,-25,12,,,,,,,1.3,dahlejo01
43,Carolina Hurricanes,Janne Kuokkanen,FI,C/LW,18,2022,Karpat Jr. (Finland Jr.),119,14,28,42,-26,28,,,,,,,1.9,kuokkja01
44,Tampa Bay Lightning,Boris Katchouk,CA,LW,18,2026,Soo Greyhounds (OHL),179,15,21,36,-23,78,,,,,,,1.3,katchbo01
45,Chicago Blackhawks,Chad Krys,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,krysch01
46,Detroit Red Wings,Givani Smith,CA,RW,18,2025,Guelph Storm (OHL),168,9,13,22,-31,268,,,,,,,-0.2,smithgi01
47,Nashville Predators,Samuel Girard,CA,D,18,2026,Shawinigan Cataractes (QMJHL),608,37,205,242,23,130,,,,,,,37.4,girarsa01
48,Philadelphia Flyers,Carter Hart,CA,G,18,2026,Everett Silvertips (WHL),245,0,2,2,0,4,245,107,96,32,.905,2.92,39.1,hartca01
49,Boston Bruins,Ryan Lindgren,US,D,18,2026,USA U-18 Development Team (USDP/USHL),481,16,95,111,97,319,,,,,,,28.1,lindgry01
50,Chicago Blackhawks,Artur Kayumov,RU,W,18,,Team Russia Jr. (Russia Jr.),,,,,,,,,,,,,,kayumar01
51,Los Angeles Kings,Kale Clague,CA,D,18,2024,Brandon Wheat Kings (WHL),94,2,19,21,-22,52,,,,,,,1.9,claguka01
52,Philadelphia Flyers,Wade Allison,CA,RW,18,2023,Tri-City Storm (USHL),75,13,9,22,-3,40,,,,,,,1.8,alliswa01
53,Detroit Red Wings,Filip Hronek,CZ,D,18,2026,Mountfield HK (Czech),533,48,239,287,-78,273,,,,,,,41.2,hronefi01
54,Calgary Flames,Tyler Parsons,US,G,18,,London Knights (OHL),,,,,,,,,,,,,,parsoty01
55,Pittsburgh Penguins,Filip Gustavsson,SE,G,18,2026,Lulea HF Jr. (Sweden Jr.),219,1,5,6,0,0,219,111,74,26,.911,2.67,43.8,gustafi01
56,Calgary Flames,Dillon Dube,CA,C,18,2024,Kelowna Rockets (WHL),325,57,70,127,-17,105,,,,,,,10.4,dubedi01
57,Toronto Maple Leafs,Carl Grundstrom,SE,RW,18,2026,MODO Hockey (Sweden),339,52,37,89,-28,127,,,,,,,7.1,grundca01
58,Tampa Bay Lightning,Taylor Raddysh,CA,RW,18,2026,Erie Otters (OHL),373,52,67,119,-48,78,,,,,,,7.4,raddyta01
59,St. Louis Blues,Evan Fitzpatrick,CA,G,18,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,fitzpev01
60,San Jose Sharks,Dylan Gambrell,US,C,20,2023,Denver (NCHC),233,17,23,40,-28,79,,,,,,,0.3,gambrdy01
61,Pittsburgh Penguins,Kasper Bjorkqvist,FI,RW,19,2022,Blues Jr. (Finland Jr.),6,1,0,1,-1,2,,,,,,,0.1,bjorkka01
62,Toronto Maple Leafs,Joseph Woll,US,G,18,2026,USA U-18 Development Team (USDP/USHL),117,0,1,1,0,4,117,63,43,9,.906,2.94,24.0,wolljo01
63,Edmonton Oilers,Markus Niemelainen,FI,D,18,2023,Saginaw Spirit (OHL),43,0,1,1,-2,8,,,,,,,0.2,niemema01
64,Vancouver Canucks,William Lockwood,US,RW,18,2024,USA U-18 Development Team (USDP/USHL),54,0,2,2,-10,27,,,,,,,-1.0,lockwwi01
65,Columbus Blue Jackets,Vitaly Abramov,RU,RW,18,2021,Gatineau Olympiques (QMJHL),5,1,0,1,-3,2,,,,,,,0.0,abramvi01
66,Calgary Flames,Adam Fox,US,D,18,2026,USA U-18 Development Team (USDP/USHL),486,72,350,422,122,194,,,,,,,67.2,foxad01
67,Carolina Hurricanes,Matt Filipe,US,LW,18,,Cedar Rapids RoughRiders (USHL),,,,,,,,,,,,,,filipma01
68,Arizona Coyotes,Cam Dineen,US,D,18,2025,North Bay Battalion (OHL),38,0,7,7,-16,4,,,,,,,0.2,dineeca01
69,Buffalo Sabres,Cliff Pu,CA,RW,18,,London Knights (OHL),,,,,,,,,,,,,,pucl01
70,Montreal Canadiens,William Bitten,CA,C,18,2023,Flint Firebirds (OHL),4,0,1,1,1,0,,,,,,,0.1,bittewi01
71,Colorado Avalanche,Josh Anderson,CA,D,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,anderjo06
72,Toronto Maple Leafs,James Greenway,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,greenja01
73,New Jersey Devils,Joseph Anderson,US,RW,18,2025,USA U-18 Development Team (USDP/USHL),169,19,21,40,-10,18,,,,,,,2.6,anderjo08
74,Carolina Hurricanes,Hudson Elynuik,CA,C,18,,Spokane Chiefs (WHL),,,,,,,,,,,,,,elynuhu01
75,Carolina Hurricanes,Jack LaFontaine,CA,G,18,2022,Janesville Jets (NAHL),2,0,0,0,0,0,2,0,1,0,.780,7.20,-0.3,lafonja01
76,Nashville Predators,Rem Pitlick,CA,C,19,2024,Muskegon Lumberjacks (USHL),132,21,33,54,-27,54,,,,,,,3.2,pitlire01
77,Pittsburgh Penguins,Connor Hall,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,hallco01
78,Nashville Predators,Frederic Allard,CA,D,18,2023,Chicoutimi Sagueneens (QMJHL),4,0,0,0,0,0,,,,,,,0.0,allarfr01
79,Winnipeg Jets,Luke Green,CA,D,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,greenlu01
80,New Jersey Devils,Brandon Gignac,CA,C,18,2024,Shawinigan Cataractes (QMJHL),8,1,0,1,-5,0,,,,,,,-0.1,gignabr01
81,New York Rangers,Sean Day,BE,D,18,2022,Mississauga Steelheads (OHL),2,0,0,0,-2,0,,,,,,,-0.1,dayse01
82,Philadelphia Flyers,Carsen Twarynski,CA,LW,18,2021,Calgary Hitmen (WHL),22,1,0,1,-5,6,,,,,,,-0.4,twaryca01
83,Chicago Blackhawks,Wouter Peeters,BE,G,18,,RB Hockey Juniors (RBHS Jr.),,,,,,,,,,,,,,peetewo01
84,Edmonton Oilers,Matthew Cairns,CA,D,18,,Georgetown (OJHL),,,,,,,,,,,,,,cairnma01
85,Anaheim Ducks,Joshua Mahura,CA,D,18,2026,Red Deer Rebels (WHL),278,11,46,57,11,126,,,,,,,11.0,mahurjo01
86,Buffalo Sabres,Casey Fitzgerald,US,D,19,2023,Boston College (H-East),63,0,9,9,-21,40,,,,,,,0.2,fitzgca01
87,Washington Capitals,Garrett Pilon,CA,C,18,2022,Kamloops Blazers (WHL),3,1,0,1,1,0,,,,,,,0.2,pilonga01
88,Tampa Bay Lightning,Connor Ingram,CA,G,19,2026,Kamloops Blazers (WHL),134,0,7,7,0,8,134,55,54,18,.901,3.01,22.4,ingraco01
89,Florida Panthers,Linus Nassen,SE,D,18,,Lulea HF Jr. (Sweden Jr.),,,,,,,,,,,,,,nasseli01
90,Dallas Stars,Fredrik Karlstrom,SE,C,18,2023,AIK Jr. (Sweden Jr.),8,0,1,1,3,0,,,,,,,0.1,karlsfr01
91,Edmonton Oilers,Filip Berglund,SE,D,19,,Skelleftea AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,berglfi01
92,Toronto Maple Leafs,Adam Brooks,CA,C,20,2022,Regina Pats (WHL),43,6,5,11,7,2,,,,,,,1.3,brookad01
93,Anaheim Ducks,Jack Kopacka,US,LW,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,kopacja01
94,Florida Panthers,Jonathan Ang,CA,C,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,angjo01
95,New York Islanders,Anatoli Golyshev,RU,LW,21,,Avtomobilist Yekaterinburg (Russia),,,,,,,,,,,,,,golysan01
96,Calgary Flames,Linus Lindstrom,SE,C,18,,Skelleftea AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,lindsli02
97,Winnipeg Jets,Jacob Cederholm,SE,D,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,cederja01
98,New York Rangers,Tarmo Reunanen,FI,D,18,2021,TPS Jr. (Finland Jr.),4,0,1,1,1,0,,,,,,,0.2,reunata01
99,Buffalo Sabres,Brett Murray,CA,LW,18,2025,Carleton Place (CCHL),26,2,4,6,-5,25,,,,,,,0.1,murrabr02
100,Montreal Canadiens,Victor Mete,CA,D,18,2024,London Knights (OHL),248,5,40,45,19,46,,,,,,,10.2,metevi01
101,Toronto Maple Leafs,Keaton Middleton,CA,D,18,2026,Saginaw Spirit (OHL),47,0,3,3,-2,36,,,,,,,0.6,middlke01
102,New Jersey Devils,Mikhail Maltsev,RU,LW,18,2023,Team Russia Jr. (Russia Jr.),56,6,3,9,-9,6,,,,,,,0.2,maltsmi01
103,Ottawa Senators,Todd Burgess,US,RW,20,,Fairbanks Ice Dogs (NAHL),,,,,,,,,,,,,,burgeto01
104,Carolina Hurricanes,Max Zimmer,US,LW,18,,Chicago Steel (USHL),,,,,,,,,,,,,,zimmema01
105,New Jersey Devils,Evan Cormier,CA,G,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,cormiev01
106,Minnesota Wild,Brandon Duhaime,US,RW,19,2026,Tri-City Storm (USHL),375,33,37,70,0,410,,,,,,,2.6,duhaibr01
107,Detroit Red Wings,Alfons Malmstrom,SE,D,18,,Orebro HK Jr. (Sweden Jr.),,,,,,,,,,,,,,malmsal01
108,Nashville Predators,Hardy Haman Aktell,SE,D,18,2024,Skelleftea AIK Jr. (Sweden Jr.),6,0,1,1,-2,2,,,,,,,0.0,hamanha01
109,Philadelphia Flyers,Connor Bunnaman,CA,C,18,2022,Kitchener Rangers (OHL),54,1,2,3,-6,8,,,,,,,-0.8,bunnaco01
110,Chicago Blackhawks,Lucas Carlsson,SE,D,19,2025,Brynas IF (Sweden),73,4,11,15,4,28,,,,,,,2.6,carlslu01
111,San Jose Sharks,Noah Gregor,CA,C,18,2026,Moose Jaw Warriors (WHL),330,40,39,79,-89,142,,,,,,,2.3,gregono01
112,Los Angeles Kings,Jacob Moverare,SE,D,18,2026,HV71 Jr. (Sweden Jr.),109,2,9,11,0,18,,,,,,,2.6,moverja01
113,Chicago Blackhawks,Nathan Noel,CA,C,19,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,noelna01
114,Florida Panthers,Riley Stillman,CA,D,18,2026,Oshawa Generals (OHL),167,4,22,26,-19,111,,,,,,,3.7,stillri01
115,Anaheim Ducks,Alex Dostie,CA,C,19,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,dostial01
116,Dallas Stars,Rhett Gardner,CA,C/LW,20,2024,North Dakota (NCHC),41,1,1,2,-10,10,,,,,,,-0.7,gardnrh01
117,Washington Capitals,Damien Riat,CH,LW,19,,Geneve-Servette HC (Swiss),,,,,,,,,,,,,,riatda01
118,Tampa Bay Lightning,Ross Colton,US,C,20,2026,Cedar Rapids RoughRiders (USHL),404,89,87,176,-1,182,,,,,,,16.6,coltoro01
119,St. Louis Blues,Tanner Kaspick,CA,C,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,kaspita01
120,New York Islanders,Otto Koivula,FI,LW,18,2023,Ilves Jr. (Finland Jr.),28,0,4,4,-1,6,,,,,,,0.0,koivuot01
121,Pittsburgh Penguins,Ryan Jones,US,D,20,,Lincoln Stars (USHL),,,,,,,,,,,,,,jonesry02
122,Toronto Maple Leafs,Vladimir Bobylev,RU,RW,19,,Victoria Royals (WHL),,,,,,,,,,,,,,bobylvl01
123,Edmonton Oilers,Dylan Wells,CA,G,18,2023,Peterborough Petes (OHL),1,0,0,0,0,0,1,0,0,0,.923,3.00,0.1,wellsdy01
124,Montreal Canadiens,Casey Staum,US,D,18,,Hill-Murray HS (High-MN),,,,,,,,,,,,,,staumca01
125,St. Louis Blues,Nolan Stevens,CA,C,20,,Northeastern (H-East),,,,,,,,,,,,,,steveno01
126,Calgary Flames,Mitchell Mattson,US,C,18,,Grand Rapids HS (High-MN),,,,,,,,,,,,,,mattsmi01
127,Winnipeg Jets,Jordan Stallard,CA,C,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,stalljo01
128,Dallas Stars,Colton Point,CA,G,18,,Carleton Place (CCHL),,,,,,,,,,,,,,pointco01
129,Buffalo Sabres,Philip Nyberg,SE,D,19,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,nyberph01
130,Buffalo Sabres,Vojtech Budik,CZ,D,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,budikvo01
131,Colorado Avalanche,Adam Werner,SE,G,19,2020,Farjestad BK Jr. (Sweden Jr.),2,0,0,0,0,0,2,1,1,0,.914,3.42,0.4,wernead01
132,New Jersey Devils,Yegor Rykov,RU,D,19,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,rykovye01
133,Ottawa Senators,Maxime Lajoie,CA,D,18,2024,Swift Current Broncos (WHL),77,7,9,16,-22,20,,,,,,,1.7,lajoima01
134,Carolina Hurricanes,Jeremy Helvig,CA,G,19,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,helvije01
135,Boston Bruins,Joona Koppanen,FI,LW,18,2026,Ilves Jr. (Finland Jr.),33,1,2,3,-5,6,,,,,,,-0.4,koppajo01
136,Boston Bruins,Cameron Clarke,US,D,20,,Lone Star Brahmas (NAHL),,,,,,,,,,,,,,clarkca01
137,Detroit Red Wings,Jordan Sambrook,CA,D,18,,Erie Otters (OHL),,,,,,,,,,,,,,sambrjo01
138,Nashville Predators,Patrick Harper,US,C,18,,Avon Old Farms School (High-CT),,,,,,,,,,,,,,harpepa01
139,Philadelphia Flyers,Linus Hogberg,SE,D,18,2022,Vaxjo Lakers HC Jr. (Sweden Jr.),5,0,2,2,0,2,,,,,,,0.3,hogbeli01
140,Vancouver Canucks,Cole Candella,CA,D,18,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,candeco01
141,New York Rangers,Timothy Gettinger,US,LW,18,2022,Soo Greyhounds (OHL),16,0,1,1,-1,0,,,,,,,-0.2,gettiti01
142,Los Angeles Kings,Michael Eyssimont,US,C,20,2026,St. Cloud State (NCHC),269,33,41,74,8,261,,,,,,,5.6,eyssimi01
143,Chicago Blackhawks,Mathias From,DK,W,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,fromma01
144,St. Louis Blues,Conner Bleackley,CA,C,20,,Red Deer Rebels (WHL),,,,,,,,,,,,,,bleacco01
145,Washington Capitals,Beck Malenstyn,CA,LW,18,2026,Calgary Hitmen (WHL),262,19,29,48,-16,103,,,,,,,0.9,malenbe01
146,Dallas Stars,Nicholas Caamano,CA,RW,18,2021,Flint Firebirds (OHL),36,1,2,3,-5,21,,,,,,,-0.3,caamani01
147,Washington Capitals,Axel Jonsson-Fjallby,SE,LW,18,2024,Djurgardens IF Jr. (Sweden Jr.),99,10,13,23,5,12,,,,,,,1.8,jonssax01
148,Tampa Bay Lightning,Christopher Paquette,CA,C,18,,Niagara IceDogs (OHL),,,,,,,,,,,,,,paquech01
149,Edmonton Oilers,Graham McPhee,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,mcphegr01
150,San Jose Sharks,Manuel Wiederer,DE,C,19,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,wiedema01
151,Pittsburgh Penguins,Niclas Almari,FI,D,18,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,almarni01
152,Toronto Maple Leafs,Jonathan Walker,US,D,20,,Victoria Royals (WHL),,,,,,,,,,,,,,walkejo01
153,Edmonton Oilers,Aapeli Rasanen,FI,C,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,rasanaa01
154,Vancouver Canucks,Jakob Stukel,CA,LW,19,,Calgary Hitmen (WHL),,,,,,,,,,,,,,stukeja01
155,Columbus Blue Jackets,Peter Thome,US,G,19,,Aberdeen Wings (NAHL),,,,,,,,,,,,,,thomepe01
156,Calgary Flames,Eetu Tuulola,FI,RW,18,,HPK Jr. (Finland Jr.),,,,,,,,,,,,,,tuuloee01
157,Winnipeg Jets,Mikhail Berdin,RU,G,18,,Team Russia Jr. (Russia Jr.),,,,,,,,,,,,,,berdimi01
158,Arizona Coyotes,Patrick Kudla,CA,D,20,,Oakville (OJHL),,,,,,,,,,,,,,kudlapa01
159,Buffalo Sabres,Brandon Hagel,CA,LW,18,2026,Red Deer Rebels (WHL),446,161,210,371,66,291,,,,,,,40.5,hagelbr01
160,Montreal Canadiens,Michael Pezzetta,CA,C,18,2026,Sudbury Wolves (OHL),209,15,23,38,-13,276,,,,,,,1.9,pezzemi01
161,Colorado Avalanche,Nathan Clurman,US,D,18,2025,Culver Military Academy (High-IN),1,0,0,0,0,2,,,,,,,0.0,clurmna01
162,New Jersey Devils,Jesper Bratt,SE,W,18,2026,AIK (Sweden-2),634,172,346,518,-24,102,,,,,,,50.9,brattje01
163,Ottawa Senators,Markus Nurmi,FI,RW,18,,TPS Jr. (Finland Jr.),,,,,,,,,,,,,,nurmima01
164,Carolina Hurricanes,Noah Carroll,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,,,carrono01
165,Boston Bruins,Oskar Steen,SE,C,18,2024,Farjestad BK Jr. (Sweden Jr.),60,4,4,8,-4,12,,,,,,,0.1,steenos01
166,Calgary Flames,Matthew Phillips,CA,C,18,2024,Victoria Royals (WHL),34,1,4,5,-3,2,,,,,,,0.0,phillma01
167,Detroit Red Wings,Filip Larsson,SE,G,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,larssfi01
168,Nashville Predators,Konstantin Volkov,RU,G,18,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,volkoko02
169,Philadelphia Flyers,Tanner Laczynski,US,C,19,2026,Lincoln Stars (USHL),56,3,7,10,-6,12,,,,,,,0.2,laczyta01
170,New York Islanders,Collin Adams,US,LW,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,adamsco01
171,New York Rangers,Gabriel Fontaine,CA,C,19,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,fontaga01
172,Philadelphia Flyers,Anthony Salinitri,CA,C,18,,Sarnia Sting (OHL),,,,,,,,,,,,,,salinan01
173,Chicago Blackhawks,Blake Hillman,US,D,20,2018,Denver (NCHC),4,1,0,1,-1,0,,,,,,,0.2,hillmbl01
174,New York Rangers,Tyler Wall,CA,G,18,,Leamington (GOJHL),,,,,,,,,,,,,,wallty01
175,Florida Panthers,Maxim Mamin,RU,C/RW,21,2022,CSKA Moskva (Russia),73,10,8,18,8,25,,,,,,,1.5,maminma01
176,Dallas Stars,Jakob Stenqvist,SE,D,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,stenqja01
177,Washington Capitals,Chase Priskie,US,D,20,2022,Quinnipiac (ECAC),4,0,0,0,2,2,,,,,,,0.1,priskch01
178,Tampa Bay Lightning,Oleg Sosunov,RU,D,18,,Loko-Yunior Yaroslav (Russia Jr.),,,,,,,,,,,,,,sosunol01
179,Toronto Maple Leafs,Nicolas Mattinen,CA,D,18,,London Knights (OHL),,,,,,,,,,,,,,mattini01
180,San Jose Sharks,Mark Shoemaker,CA,D,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,shoemma01
181,Pittsburgh Penguins,Joseph Masonius,US,D,19,,Connecticut (H-East),,,,,,,,,,,,,,masonjo01
182,Toronto Maple Leafs,Nikolai Chebykin,RU,LW,19,,HK MVD Balashikha (Russia Jr.),,,,,,,,,,,,,,chebyni01
183,Edmonton Oilers,Vincent Desharnais,CA,D,20,2026,Providence (H-East),218,2,24,26,16,198,,,,,,,6.6,deshavi01
184,Vancouver Canucks,Rodrigo Abols,LV,C,20,2026,Portland Winterhawks (WHL),64,5,10,15,-11,26,,,,,,,0.5,abolsro01
185,Columbus Blue Jackets,Calvin Thurkauf,CH,C,19,2020,Kelowna Rockets (WHL),3,0,0,0,0,0,,,,,,,0.0,thurkca01
186,Calgary Flames,Stepan Falkovsky,BY,D,19,,Ottawa 67's (OHL),,,,,,,,,,,,,,falkost01
187,Montreal Canadiens,Arvid Henrikson,SE,D,18,,AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,henriar01
188,Arizona Coyotes,Dean Stewart,CA,D,18,,Portage (MJHL),,,,,,,,,,,,,,stewade01
189,Buffalo Sabres,Austin Osmanski,US,D,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,osmanau01
190,Buffalo Sabres,Vasily Glotov,RU,C,19,,Serebryanye Lvy St. Petersburg (Russia Jr.),,,,,,,,,,,,,,glotova01
191,Colorado Avalanche,Travis Barron,CA,LW,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,barrotr01
192,New Jersey Devils,Jeremy Davies,CA,D,19,2023,Bloomington Thunder (USHL),23,0,3,3,-2,12,,,,,,,0.5,davieje01
193,New York Islanders,Nick Pastujov,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,pastuni01
194,Vancouver Canucks,Brett McKenzie,CA,C,19,,North Bay Battalion (OHL),,,,,,,,,,,,,,mckenbr02
195,Florida Panthers,Benjamin Finkelstein,US,D,18,,Kimball Union Academy (High-NH),,,,,,,,,,,,,,finkebe01
196,Minnesota Wild,Dmitry Sokolov,RU,RW,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,sokoldm01
197,Detroit Red Wings,Mattias Elfstrom,SE,LW,19,,Malmo Jr. (Sweden Jr.),,,,,,,,,,,,,,elfstma01
198,Nashville Predators,Adam Smith,CA,D,19,,Bowling Green (WCHA),,,,,,,,,,,,,,smithad01
