Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
1,New York Rangers,Alexis Lafreniere,CA,LW,18,2026,Rimouski Oceanic (QMJHL),462,116,134,250,-13,176,,,,,,,23.4,lafreal01
2,Los Angeles Kings,Quinton Byfield,CA,C,18,2026,Sudbury Wolves (OHL),339,75,116,191,40,186,,,,,,,18.8,byfiequ01
3,Ottawa Senators,Tim Stützle,DE,LW,18,2026,Adler Mannheim (Germany),447,149,260,409,-58,218,,,,,,,39.3,stuetti02
4,Detroit Red Wings,Lucas Raymond,SE,LW,18,2026,Frolunda HC (Sweden),400,123,207,330,-75,110,,,,,,,30.5,raymolu01
5,Ottawa Senators,Jake Sanderson,US,D,18,2026,USA U-18 Development Team (USDP/USHL),303,39,142,181,4,55,,,,,,,29.0,sandeja01
6,Anaheim Ducks,Jamie Drysdale,CA,D,18,2026,Erie Otters (OHL),295,25,77,102,-96,87,,,,,,,11.8,drysdja01
7,New Jersey Devils,Alexander Holtz,SE,RW,18,2026,Djurgardens IF (Sweden),191,26,29,55,-30,44,,,,,,,3.3,holtzal01
8,Buffalo Sabres,Jack Quinn,CA,RW,18,2026,Ottawa 67's (OHL),260,59,89,148,-22,59,,,,,,,12.7,quinnja01
9,Minnesota Wild,Marco Rossi,AT,C,18,2026,Ottawa 67's (OHL),235,57,79,136,-35,95,,,,,,,11.6,rossima01
10,Winnipeg Jets,Cole Perfetti,CA,C,18,2026,Saginaw Spirit (OHL),290,59,98,157,29,68,,,,,,,15.2,perfeco01
11,Nashville Predators,Iaroslav Askarov,RU,G,18,2026,Neva St. Petersburg (Russia-2),63,0,1,1,0,2,63,26,27,6,.887,3.48,9.3,askarya01
12,Florida Panthers,Anton Lundell,FI,C,18,2026,HIFK (Finland),359,78,123,201,62,177,,,,,,,19.6,lundean01
13,Carolina Hurricanes,Seth Jarvis,CA,C,18,2026,Portland Winterhawks (WHL),375,128,151,279,62,83,,,,,,,31.9,jarvise01
14,Edmonton Oilers,Dylan Holloway,CA,C,18,2026,Wisconsin (Big Ten),225,57,75,132,33,86,,,,,,,14.2,hollody01
15,Toronto Maple Leafs,Rodion Amirov,RU,LW,18,,Salavat Yulaev Ufa (Russia),,,,,,,,,,,,,,amiroro01
16,Montreal Canadiens,Kaiden Guhle,CA,D,18,2026,Prince Albert Raiders (WHL),208,18,51,69,-16,171,,,,,,,10.7,guhleka01
17,Chicago Blackhawks,Lukas Reichel,DE,LW,18,2026,Eisbaren Berlin (Germany),198,23,39,62,-63,36,,,,,,,2.5,reichlu01
18,New Jersey Devils,Dawson Mercer,CA,C,18,2026,Chicoutimi Sagueneens (QMJHL),410,103,106,209,-27,120,,,,,,,18.7,merceda01
19,New York Rangers,Braden Schneider,CA,D,18,2026,Brandon Wheat Kings (WHL),368,20,67,87,17,85,,,,,,,17.5,schnebr01
20,New Jersey Devils,Shakir Mukhamadullin,RU,D,18,2026,Salavat Yulaev Ufa (Russia),83,7,15,22,-10,34,,,,,,,3.5,mukhash01
21,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19,2026,Omskie Yastreby (Russia Jr.),247,55,58,113,-44,46,,,,,,,9.0,chinaye01
