Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
22,Washington Capitals,Hendrix Lapierre,CA,C,18,2026,Chicoutimi Sagueneens (QMJHL),158,13,34,47,-2,41,,,,,,,3.3,lapiehe01
23,Philadelphia Flyers,Tyson Foerster,CA,RW,18,2026,Barrie Colts (OHL),195,61,39,100,1,111,,,,,,,10.8,foersty01
24,Calgary Flames,Connor Zary,CA,C,18,2026,Kamloops Blazers (WHL),191,39,47,86,-4,58,,,,,,,8.0,zaryco01
25,Colorado Avalanche,Justin Barron,CA,D,18,2026,Halifax Mooseheads (QMJHL),208,18,34,52,-27,76,,,,,,,8.3,barroju01
26,St. Louis Blues,Jake Neighbours,CA,LW,18,2026,Edmonton Oil Kings (WHL),280,71,61,132,-44,146,,,,,,,11.5,neighja01
27,Anaheim Ducks,Jacob Perreault,CA,RW,18,2022,Sarnia Sting (OHL),1,0,0,0,-1,0,,,,,,,-0.1,perreja01
28,Ottawa Senators,Ridly Greig,CA,C,18,2026,Brandon Wheat Kings (WHL),247,41,63,104,12,221,,,,,,,8.5,greigri01
29,Vegas Golden Knights,Brendan Brisson,US,C,18,2026,Chicago Steel (USHL),27,2,7,9,-9,2,,,,,,,0.2,brissbr01
30,Dallas Stars,Mavrik Bourque,CA,C,18,2026,Shawinigan Cataractes (QMJHL),156,31,35,66,12,30,,,,,,,6.3,bourqma01
31,San Jose Sharks,Ozzy Wiesblatt,CA,RW,18,2026,Prince Albert Raiders (WHL),45,1,5,6,-5,38,,,,,,,-0.2,wiesboz01
32,Detroit Red Wings,William Wallinder,SE,D,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,walliwi01
33,Ottawa Senators,Roby Jarventie,FI,LW,18,2026,KOOVEE (Finland-2),10,0,1,1,-6,4,,,,,,,-0.2,jarvero01
34,Buffalo Sabres,John-Jason Peterka,DE,RW,18,2026,EHC Munchen (Germany),320,92,105,197,0,116,,,,,,,19.8,peterjo01
35,Los Angeles Kings,Helge Grans,SE,D,18,2025,Malmo Jr. (Sweden Jr.),6,0,1,1,0,2,,,,,,,0.2,granshe01
36,Anaheim Ducks,Sam Colangelo,US,RW,18,2026,Chicago Steel (USHL),44,12,2,14,-7,8,,,,,,,1.4,colansa01
37,Minnesota Wild,Marat Khusnutdinov,RU,C,18,2026,SKA 1946 St. Petersburg (Russia Jr.),168,21,28,49,-2,42,,,,,,,3.1,khusnma01
38,San Jose Sharks,Thomas Bordeleau,US,C,18,2025,USA U-18 Development Team (USDP/USHL),44,6,12,18,-22,18,,,,,,,0.7,bordeth01
39,Minnesota Wild,Ryan O'Rourke,CA,D,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,orourry01
40,Winnipeg Jets,Daniel Torgersson,SE,LW,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,torgeda01
41,Carolina Hurricanes,Noel Gunler,SE,RW,18,,Lulea HF (Sweden),,,,,,,,,,,,,,gunleno01
42,Nashville Predators,Luke Evangelista,CA,RW,18,2026,London Knights (OHL),253,45,97,142,6,74,,,,,,,12.9,evanglu01
43,Florida Panthers,Emil Heineman,SE,LW,18,2026,Leksands IF Jr. (Sweden Jr.),148,32,17,49,-17,38,,,,,,,4.3,heineem01
44,Ottawa Senators,Tyler Kleven,US,D,18,2026,USA U-18 Development Team (USDP/USHL),166,7,24,31,-11,84,,,,,,,5.5,klevety01
45,Los Angeles Kings,Brock Faber,US,D,18,2026,USA U-18 Development Team (USDP/USHL),242,33,94,127,17,88,,,,,,,22.8,faberbr01
46,Chicago Blackhawks,Drew Commesso,US,G,18,2026,USA U-18 Development Team (USDP/USHL),5,0,0,0,0,0,5,2,2,0,.901,2.61,0.7,commedr01
47,Montreal Canadiens,Luke Tuch,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,tuchlu01
48,Montreal Canadiens,Jan Mysak,CZ,C,18,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,mysakja01
50,Calgary Flames,Yan Kuznetsov,RU,D,18,2026,Connecticut (H-East),58,4,8,12,-9,28,,,,,,,2.5,kuzneya01
51,Detroit Red Wings,Theodor Niederbach,SE,C,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,niedeth01
52,Pittsburgh Penguins,Joel Blomqvist,FI,G,18,2025,Karpat Jr. (Finland Jr.),15,0,0,0,0,0,15,4,9,1,.885,3.81,1.9,blomqjo01
53,Carolina Hurricanes,Vasiliy Ponomarev,RU,C,18,2025,Shawinigan Cataractes (QMJHL),9,1,1,2,0,2,,,,,,,0.2,ponomva01
54,Philadelphia Flyers,Emil Andrae,SE,D,18,2026,HV71 Jr. (Sweden Jr.),107,3,17,20,9,38,,,,,,,4.6,andraem01
55,Detroit Red Wings,Cross Hanas,US,LW,18,,Portland Winterhawks (WHL),,,,,,,,,,,,,,hanascr02
56,San Jose Sharks,Tristen Robins,GB,RW,18,2023,Saskatoon Blades (WHL),3,0,0,0,-1,0,,,,,,,-0.1,robintr01
57,Tampa Bay Lightning,Jack Finley,US,C,18,2026,Spokane Chiefs (WHL),45,2,3,5,3,38,,,,,,,0.1,finleja01
58,Boston Bruins,Mason Lohrei,US,D,19,2026,Green Bay Gamblers (USHL),191,16,56,72,-28,54,,,,,,,9.3,lohrema01
59,Toronto Maple Leafs,Roni Hirvonen,FI,C,18,,Assat (Finland),,,,,,,,,,,,,,hirvoro01
60,New York Rangers,William Cuylle,CA,LW,18,2026,Windsor Spitfires (OHL),249,53,51,104,-5,173,,,,,,,9.6,cuyllwi01
61,Ottawa Senators,Egor Sokolov,RU,LW,20,2023,Cape Breton Eagles (QMJHL),13,1,1,2,-4,4,,,,,,,0.0,sokoleg01
62,Tampa Bay Lightning,Gage Goncalves,CA,C,19,2026,Everett Silvertips (WHL),136,19,34,53,33,61,,,,,,,5.2,goncaga01
63,Detroit Red Wings,Donovan Sebrango,CA,D,18,2026,Kitchener Rangers (OHL),44,0,8,8,-6,68,,,,,,,1.1,sebrado01
64,Toronto Maple Leafs,Topi Niemela,FI,D,18,,Karpat (Finland),,,,,,,,,,,,,,niemeto01
65,Minnesota Wild,Daemon Hunt,CA,D,18,2026,Moose Jaw Warriors (WHL),45,0,7,7,-4,6,,,,,,,0.9,huntda01
66,Los Angeles Kings,Kasper Simontaival,FI,RW,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,simonka01
67,Anaheim Ducks,Ian Moore,US,D,18,2026,St. Mark's School (High-MA),70,4,9,13,-13,24,,,,,,,1.3,mooreia01
68,Vegas Golden Knights,Lukas Cormier,CA,D,18,2024,Charlottetown Islanders (QMJHL),2,0,1,1,1,0,,,,,,,0.2,cormilu01
69,Carolina Hurricanes,Alexander Nikishin,RU,D,18,2026,Spartak Moskva (Russia),81,11,22,33,18,33,,,,,,,6.9,nikisal01
70,Detroit Red Wings,Eemil Viro,FI,D,18,,TPS (Finland),,,,,,,,,,,,,,viroee01
71,Ottawa Senators,Leevi Merilainen,FI,G,18,2026,Karpat Jr. (Finland Jr.),34,0,0,0,0,0,34,16,14,3,.885,3.00,3.9,merille01
72,Calgary Flames,Jeremie Poirier,CA,D,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,poirije01
73,Nashville Predators,Luke Prokop,CA,D,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,prokolu01
74,Florida Panthers,Ty Smilanic,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,smilaty01
75,Colorado Avalanche,Jean-Luc Foudy,CA,C,18,2024,Windsor Spitfires (OHL),13,1,0,1,-2,6,,,,,,,-0.1,foudyje01
76,San Jose Sharks,Danil Gushchin,RU,LW,18,2025,Muskegon Lumberjacks (USHL),18,2,3,5,-6,6,,,,,,,0.1,gushcda01
77,Pittsburgh Penguins,Calle Clang,SE,G,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,clangca01
78,Columbus Blue Jackets,Samuel Knazko,SK,D,18,2023,TPS Jr. (Finland Jr.),2,0,0,0,0,0,,,,,,,0.0,knazksa01
79,Chicago Blackhawks,Landon Slaggert,US,LW,18,2026,USA U-18 Development Team (USDP/USHL),102,6,11,17,-8,43,,,,,,,0.5,slaggla01
80,Calgary Flames,Jake Boltmann,US,D,18,,Edina HS (High-MN),,,,,,,,,,,,,,boltmja01
81,Chicago Blackhawks,Wyatt Kaiser,US,D,18,2026,Andover HS (High-MN),175,10,25,35,-20,74,,,,,,,7.8,kaisewy01
82,Vancouver Canucks,Joni Jurmo,FI,D,18,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,jurmojo01
83,Los Angeles Kings,Alex Laferriere,US,RW,18,2026,Des Moines Buccaneers (USHL),240,52,57,109,11,84,,,,,,,10.5,laferal01
84,New Jersey Devils,Nicolas Daws,DE,G,19,2026,Guelph Storm (OHL),55,0,1,1,0,0,55,24,24,1,.898,2.96,7.1,dawsni01
85,Tampa Bay Lightning,Maxim Groshev,RU,RW,18,2026,Neftekhimik Nizhnekamsk (Russia),2,0,1,1,1,0,,,,,,,0.1,groshma01
86,St. Louis Blues,Dylan Peterson,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,peterdy01
87,Florida Panthers,Justin Sourdif,CA,RW,18,2026,Vancouver Giants (WHL),82,16,20,36,18,35,,,,,,,3.8,sourdju01
88,St. Louis Blues,Leo Loof,SE,D,18,,Farjestad BK Jr. (Sweden Jr.),,,,,,,,,,,,,,loofle01
89,Boston Bruins,Trevor Kuntar,US,C,19,2026,Youngstown Phantoms (USHL),1,0,0,0,-1,0,,,,,,,0.0,kuntatr01
90,New York Islanders,Alexander Ljungkrantz,SE,RW,18,,Brynas IF Jr. (Sweden Jr.),,,,,,,,,,,,,,ljungal01
91,Vegas Golden Knights,Jackson Hallum,US,LW,18,,St. Thomas Academy (High-MN),,,,,,,,,,,,,,halluja01
92,New York Rangers,Oliver Tarnstrom,SE,C,18,,AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,tarnsol01
93,Tampa Bay Lightning,Jack Thompson,CA,D,18,2025,Sudbury Wolves (OHL),34,4,6,10,-11,10,,,,,,,1.1,thompja01
94,Philadelphia Flyers,Zayde Wisdom,CA,RW,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,wisdoza01
95,Florida Panthers,Michael Benning,CA,D,18,2026,Sherwood Park (AJHL),18,2,4,6,-4,2,,,,,,,0.8,bennimi01
96,Calgary Flames,Daniil Chechelev,RU,G,19,,Russike Vityazi Checkov (Russia Jr.),,,,,,,,,,,,,,chechda01
97,Detroit Red Wings,Sam Stange,US,RW,19,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,stangsa01
98,San Jose Sharks,Brandon Coe,CA,RW,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,coebr01
99,New Jersey Devils,Jaromir Pytlik,CZ,C,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,pytlija01
100,Edmonton Oilers,Carter Savoie,CA,LW,18,,Sherwood Park (AJHL),,,,,,,,,,,,,,savoica01
101,Nashville Predators,Adam Wilsby,SE,D,20,2026,Sodertalje SK (Sweden-2),81,2,19,21,5,35,,,,,,,4.4,wilsbad01
102,Montreal Canadiens,Jack Smith,US,C,18,,St. Cloud Cathedral HS (High-MN),,,,,,,,,,,,,,smithja03
103,New York Rangers,Dylan Garand,CA,G,18,2026,Kamloops Blazers (WHL),3,0,0,0,0,0,3,2,0,1,.948,1.62,1.1,garandy01
104,Anaheim Ducks,Thimo Nickl,AT,D,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,nicklth01
105,Florida Panthers,Zachary Uens,CA,D,19,,Merrimack (H-East),,,,,,,,,,,,,,uensza01
106,Toronto Maple Leafs,Artur Akhtyamov,RU,G,18,2026,Irbis Kazan (Russia Jr.),3,0,0,0,0,0,3,0,2,0,.864,5.24,0.3,akhtyar01
107,Detroit Red Wings,Jan Bednar,CZ,G,18,,HC Banik Sokolov (Czech-2),,,,,,,,,,,,,,bednaja02
108,Pittsburgh Penguins,Lukas Svejkovsky,US,C,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,svejklu01
109,Montreal Canadiens,Blake Biondi,US,C,18,,Hermantown HS (High-MN),,,,,,,,,,,,,,biondbl01
110,Chicago Blackhawks,Michael Krutil,CZ,D,18,,HC Sparta Praha Jr. (Czech Jr.),,,,,,,,,,,,,,krutimi01
111,Arizona Coyotes,Mitchell Miller,US,D,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,millemi01
112,Los Angeles Kings,Juho Markkanen,CA,G,18,,SaiPa Jr. (Finland Jr.),,,,,,,,,,,,,,markkju02
113,Vancouver Canucks,Jackson Kunz,US,LW,18,,Shattuck-St. Mary's School (High-MN),,,,,,,,,,,,,,kunzja01
114,Columbus Blue Jackets,Mikael Pyyhtia,FI,LW,18,2026,TPS Jr. (Finland Jr.),71,5,6,11,-19,8,,,,,,,-0.7,pyyhtmi01
115,Carolina Hurricanes,Zion Nybeck,SE,LW,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,nybeczi01
116,Tampa Bay Lightning,Eamon Powell,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,powelea01
117,Washington Capitals,Bogdan Trineyev,RU,RW,18,2026,MHK Dynamo Moskva (Russia Jr.),2,0,0,0,0,0,,,,,,,0.0,trinebo01
118,Colorado Avalanche,Colby Ambrosio,CA,C,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,ambroco01
119,St. Louis Blues,Tanner Dickinson,US,C,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,dickita01
120,New Jersey Devils,Ethan Edwards,CA,D,18,,Spruce Grove (AJHL),,,,,,,,,,,,,,edwaret01
121,New York Islanders,Alex Jefferies,US,LW,18,,The Gunnery (High-CT),,,,,,,,,,,,,,jeffeal01
122,Toronto Maple Leafs,William Villeneuve,CA,D,18,2026,Saint John Sea Dogs (QMJHL),3,0,0,0,1,0,,,,,,,0.1,villewi01
123,Dallas Stars,Antonio Stranges,US,LW,18,,London Knights (OHL),,,,,,,,,,,,,,stranan01
124,Montreal Canadiens,Sean Farrell,US,C,18,2023,Chicago Steel (USHL),6,1,0,1,-2,0,,,,,,,0.0,farrese01
125,Vegas Golden Knights,Jesper Vikman,SE,G,18,,AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,vikmaje01
126,Edmonton Oilers,Tyler Tullio,US,RW,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,tullity01
127,New York Rangers,Evan Vierling,CA,C,18,,Barrie Colts (OHL),,,,,,,,,,,,,,vierlev01
128,Los Angeles Kings,Martin Chromiak,SK,RW,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,chromma01
129,Anaheim Ducks,Artyom Galimov,RU,LW,21,,Ak Bars Kazan (Russia),,,,,,,,,,,,,,galimar01
130,New Jersey Devils,Artem Shlaine,RU,C,18,,Shattuck-St. Mary's School (High-MN),,,,,,,,,,,,,,shlaiar01
131,Buffalo Sabres,Matteo Costantini,CA,C,18,,Buffalo (OJHL),,,,,,,,,,,,,,costama01
132,Detroit Red Wings,Alex Cotton,CA,D,19,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,cottoal01
133,Winnipeg Jets,Anton Johannesson,SE,D,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,johanan02
134,New York Rangers,Brett Berard,US,LW,18,2026,USA U-18 Development Team (USDP/USHL),48,6,4,10,-7,14,,,,,,,0.5,berarbr02
135,Philadelphia Flyers,Elliot Desnoyers,CA,LW,18,2023,Moncton Wildcats (QMJHL),4,0,0,0,-2,0,,,,,,,-0.2,desnoel02
136,Montreal Canadiens,Jakub Dobes,CZ,G,19,2026,Omaha Lancers (USHL),59,0,0,0,0,2,59,36,14,7,.904,2.77,11.4,dobesja01
137,Toronto Maple Leafs,Dmitry Ovchinnikov,RU,C,18,,Sibirskie Snaipery Novosibirsk (Russia Jr.),,,,,,,,,,,,,,ovchidm01
138,Edmonton Oilers,Maksim Berezkin,RU,LW,18,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,berezma01
139,Colorado Avalanche,Ryder Rolston,US,RW,18,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,rolstry01
140,Los Angeles Kings,Ben Meehan,US,D,19,,Cedar Rapids RoughRiders (USHL),,,,,,,,,,,,,,meehabe01
141,Chicago Blackhawks,Isaak Phillips,CA,D,18,2026,Sudbury Wolves (OHL),59,2,10,12,-37,33,,,,,,,0.1,phillis01
142,Arizona Coyotes,Carson Bantle,US,LW,18,,Madison Capitols (USHL),,,,,,,,,,,,,,bantlca01
143,Calgary Flames,Ryan Francis,CA,RW,18,,Cape Breton Eagles (QMJHL),,,,,,,,,,,,,,francry01
144,Vancouver Canucks,Jacob Truscott,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,truscja01
145,Columbus Blue Jackets,Ole Julian Bjorgvik-Holm,NO,D,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,bjorgol01
146,Minnesota Wild,Pavel Novak,CZ,RW,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,novakpa01
147,Tampa Bay Lightning,Jaydon Dureau,CA,LW,19,,Portland Winterhawks (WHL),,,,,,,,,,,,,,dureaja01
148,Washington Capitals,Bear Hughes,US,C,19,,Spokane Chiefs (WHL),,,,,,,,,,,,,,hughebe01
149,Pittsburgh Penguins,Raivis Ansons,LV,RW,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,ansonra01
150,St. Louis Blues,Matthew Kessel,US,D,20,2026,Massachusetts (H-East),99,3,10,13,-3,32,,,,,,,2.8,kessema01
151,Boston Bruins,Mason Langenbrunner,US,D,18,,Eden Priarie HS (High-MN),,,,,,,,,,,,,,langema01
152,New York Islanders,William Dufour,CA,RW,18,2023,Drummondville Voltigeurs (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1,dufouwi01
153,Florida Panthers,Kasper Puutio,FI,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,puutika01
154,Dallas Stars,Daniel Ljungman,SE,C,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,ljungda01
155,Ottawa Senators,Eric Engstrand,SE,LW,20,,Malmo Jr. (Sweden Jr.),,,,,,,,,,,,,,engster01
156,Detroit Red Wings,Kyle Aucoin,CA,D,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,aucoiky01
157,Tampa Bay Lightning,Nick Capone,US,RW,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,caponni01
158,Ottawa Senators,Philippe Daoust,CA,C,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,daousph01
159,Carolina Hurricanes,Lucas Mercuri,CA,C,18,,Salisbury School (High-CT),,,,,,,,,,,,,,merculu01
160,Anaheim Ducks,Albin Sundsvik,SE,C,19,,Skelleftea AIK (Sweden),,,,,,,,,,,,,,sundsal02
161,New Jersey Devils,Benjamin Baumgartner,AT,C,20,,HC Davos (Swiss),,,,,,,,,,,,,,baumgbe01
162,Dallas Stars,Yevgeni Oksentyuk,BY,LW,19,,Flint Firebirds (OHL),,,,,,,,,,,,,,oksenye01
163,St. Louis Blues,Will Cranley,CA,G,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,cranlwi01
164,Winnipeg Jets,Tyrel Bauer,CA,D,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,bauerty01
165,New York Rangers,Matt Rempe,CA,C,18,2026,Seattle Thunderbirds (WHL),85,5,6,11,4,149,,,,,,,0.6,rempema01
166,Nashville Predators,Luke Reid,CA,D,18,,Chicago Steel (USHL),,,,,,,,,,,,,,reidlu01
167,Colorado Avalanche,Nils Aman,SE,C,20,2026,Leksands IF Jr. (Sweden Jr.),132,8,21,29,-17,28,,,,,,,0.3,amanni01
168,Toronto Maple Leafs,Veeti Miettinen,FI,RW,18,,Kiekko-Espoo Jr. (Finland Jr.),,,,,,,,,,,,,,miettve01
169,Edmonton Oilers,Filip Engaras,SE,C,21,,New Hampshire (H-East),,,,,,,,,,,,,,engarfi01
170,Pittsburgh Penguins,Chase Yoder,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,yoderch01
171,Montreal Canadiens,Alexander Gordin,RU,RW,19,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,gordial01
172,Chicago Blackhawks,Chad Yetman,CA,C,20,,Erie Otters (OHL),,,,,,,,,,,,,,yetmach01
173,Arizona Coyotes,Filip Barklund,SE,C,18,,Orebro HK Jr. (Sweden Jr.),,,,,,,,,,,,,,barklfi01
174,Calgary Flames,Rory Kerins,CA,C,18,2026,Soo Greyhounds (OHL),9,0,4,4,2,2,,,,,,,0.3,kerinro01
175,Vancouver Canucks,Dmitry Zlodeyev,RU,C,18,,MHK Dynamo Moskva (Russia Jr.),,,,,,,,,,,,,,zlodedm01
176,Columbus Blue Jackets,Samuel Johannesson,SE,D,19,,Rogle BK (Sweden),,,,,,,,,,,,,,johansa01
177,Toronto Maple Leafs,Axel Rindell,FI,D,20,,Jukurit (Finland),,,,,,,,,,,,,,rindeax01
178,Philadelphia Flyers,Connor McClennon,CA,RW,18,,Winnipeg Ice (WHL),,,,,,,,,,,,,,mccleco01
179,Washington Capitals,Garin Bjorklund,CA,G,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,bjorkga01
180,Toronto Maple Leafs,Joe Miller,US,C,18,,Blake School (High-MN),,,,,,,,,,,,,,millejo02
181,Ottawa Senators,Cole Reinhardt,CA,LW,20,2026,Brandon Wheat Kings (WHL),77,10,7,17,-6,38,,,,,,,1.3,reinhco01
182,Boston Bruins,Riley Duran,US,C,18,2025,Lawrence Academy (High-MA),2,0,0,0,-1,2,,,,,,,-0.1,duranri01
183,New York Islanders,Matias Rajaniemi,FI,D,18,,Pelicans Jr. (Finland Jr.),,,,,,,,,,,,,,rajanma01
184,Vegas Golden Knights,Noah Ellis,US,D,18,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,ellisno01
185,Dallas Stars,Remi Poirier,CA,G,18,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,poirire01
186,Tampa Bay Lightning,Amir Miftakhov,RU,G,20,,Bars Kazan (Russia-2),,,,,,,,,,,,,,miftaam01
187,Detroit Red Wings,Kienan Draper,US,RW,18,,St. Andrew's College (High-ON),,,,,,,,,,,,,,drapeki01
188,Chicago Blackhawks,Louis Crevier,CA,D,19,2026,Chicoutimi Sagueneens (QMJHL),134,10,22,32,-24,77,,,,,,,5.8,crevilo01
189,Toronto Maple Leafs,John Fusco,US,D,19,,Dexter Southfield School (High-MA),,,,,,,,,,,,,,fuscojo01
190,Los Angeles Kings,Aatu Jamsen,FI,RW,18,,Pelicans Jr. (Finland Jr.),,,,,,,,,,,,,,jamseaa01
191,Vancouver Canucks,Viktor Persson,SE,D,18,,Brynas IF Jr. (Sweden Jr.),,,,,,,,,,,,,,perssvi01
192,Arizona Coyotes,Elliot Ekefjard,SE,RW,18,,IF Bjorkloven Jr. (Sweden Jr.),,,,,,,,,,,,,,ekefjel01
193,Buffalo Sabres,Albert Lyckasen,SE,D,19,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,lyckaal01
194,St. Louis Blues,Noah Beck,CA,D,19,,Fargo Force (USHL),,,,,,,,,,,,,,beckno01
195,Toronto Maple Leafs,Wyatt Schingoethe,US,C,18,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,schinwy01
196,San Jose Sharks,Alex Young,CA,C,19,,Canmore (AJHL),,,,,,,,,,,,,,youngal01
197,New York Rangers,Hugo Ollas,SE,G,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,ollashu01
198,Florida Panthers,Elliot Ekmark,SE,C,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,ekmarel01
199,Carolina Hurricanes,Alexander Pashin,RU,RW,18,,Tolpar Ufa (Russia Jr.),,,,,,,,,,,,,,pashial01
200,Edmonton Oilers,Jeremias Lindewall,SE,RW,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,lindeje01
201,San Jose Sharks,Adam Raska,CZ,RW,18,2024,Rimouski Oceanic (QMJHL),13,0,0,0,1,7,,,,,,,-0.1,raskaad01
