Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
62,Montreal Canadiens,Lane Hutson,US,D,18,2026,USA U-18 Development Team (USDP/USHL),166,18,128,146,32,68,,,,,,,21.8,hutsola01
63,New York Rangers,Adam Sykora,SK,LW,18,2026,HK Nitra (Slovakia),11,3,1,4,0,5,,,,,,,0.5,sykorad01
64,Ottawa Senators,Filip Nordberg,SE,D,18,,Sodertalje SK Jr. (Sweden Jr.),,,,,,,,,,,,,,nordbfi01
65,New York Islanders,Calle Odelius,SE,D,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,odelica01
66,Chicago Blackhawks,Gavin Hayes,US,LW,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,hayesga01
67,Arizona Coyotes,Miko Matikka,FI,RW,18,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,matikmi01
68,Seattle Kraken,Ty Nelson,CA,D,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,nelsoty01
69,Philadelphia Flyers,Devin Kaplan,US,RW,18,2025,USA U-18 Development Team (USDP/USHL),1,0,0,0,-1,0,,,,,,,-0.1,kaplade01
70,Washington Capitals,Alexander Suzdalev,RU,LW,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,suzdaal01
71,Carolina Hurricanes,Alexander Perevalov,RU,LW,18,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,pereval01
72,Ottawa Senators,Oskar Pettersson,SE,RW,18,,Rogle BK Jr. (Sweden Jr.),,,,,,,,,,,,,,petteos01
73,St. Louis Blues,Aleksanteri Kaskimaki,FI,C,18,2026,HIFK Jr. (Finland Jr.),5,0,0,0,-6,0,,,,,,,-0.3,kaskial01
74,Buffalo Sabres,Viktor Neuchev,RU,LW,18,,Avto Yekaterinburg (Russia Jr.),,,,,,,,,,,,,,neuchvi01
75,Montreal Canadiens,Vinzenz Rohrer,AT,C,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,rohrevi01
76,San Jose Sharks,Michael Fisher,US,D,18,,St. Mark's School (High-MA),,,,,,,,,,,,,,fishemi02
77,Winnipeg Jets,Danil Zhilkin,RU,C,18,2026,Guelph Storm (OHL),6,0,1,1,3,0,,,,,,,0.1,zhilkda01
78,New York Islanders,Quinn Finley,US,LW,18,,Madison Capitols (USHL),,,,,,,,,,,,,,finlequ01
79,Vegas Golden Knights,Jordan Gustafson,CA,C,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,gustajo03
80,Vancouver Canucks,Elias Pettersson,SE,D,18,2026,Orebro HK Jr. (Sweden Jr.),98,4,9,13,-20,56,,,,,,,2.1,petteel02
81,Chicago Blackhawks,Samuel Savoie,CA,LW,18,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,savoisa01
82,Nashville Predators,Adam Ingram,CA,C,18,,Youngstown Phantoms (USHL),,,,,,,,,,,,,,ingraad01
83,Dallas Stars,George Fegaras,CA,D,18,,North York (OJHL),,,,,,,,,,,,,,fegarge01
84,Nashville Predators,Kasper Kulonummi,FI,D,18,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,kulonka01
85,Washington Capitals,Ludwig Persson,SE,LW,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,persslu01
86,Tampa Bay Lightning,Lucas Edmonds,CA,RW,21,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,edmonlu01
87,Ottawa Senators,Tomas Hamara,CZ,D,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,hamarto01
88,St. Louis Blues,Michael Buchinger,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,,,buchimi01
89,Minnesota Wild,Michael Milne,CA,LW,19,2025,Winnipeg Ice (WHL),1,0,0,0,0,0,,,,,,,0.0,milnemi01
90,Chicago Blackhawks,Aidan Thompson,US,C,20,,Lincoln Stars (USHK),,,,,,,,,,,,,,thompai01
91,Seattle Kraken,Ben Macdonald,US,C,18,,Noble & Greenough School (High-MA),,,,,,,,,,,,,,macdobe01
92,Montreal Canadiens,Adam Engstrom,SE,D,18,2026,Djurgardens IF Jr. (Sweden Jr.),15,0,1,1,2,8,,,,,,,0.4,engstad01
93,Florida Panthers,Marek Alscher,CZ,D,18,2026,Portland Winterhawks (WHL),4,0,3,3,4,0,,,,,,,0.7,alschma01
94,Arizona Coyotes,Jeremy Langlois,CA,D,18,,Cape Breton Eagles (QMJHL),,,,,,,,,,,,,,langlje01
95,Toronto Maple Leafs,Nicholas Moldenhauer,CA,RW,18,,Chicago Steel (USHL),,,,,,,,,,,,,,moldeni01
96,Columbus Blue Jackets,Jordan Dumais,CA,RW,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,dumaijo01
97,New York Rangers,Bryce Mcconnell-Barker,CA,C,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,mcconbr02
98,New York Islanders,Isaiah George,CA,D,18,2026,London Knights (OHL),37,1,5,6,-2,6,,,,,,,1.1,georgis01
99,Winnipeg Jets,Garrett Brown,US,D,18,,Sioux City Musketeers (USHL),,,,,,,,,,,,,,brownga01
100,Seattle Kraken,Tyson Jugnauth,CA,D,18,,West Kelowna (BCHL),,,,,,,,,,,,,,jugnaty01
101,Carolina Hurricanes,Simon Forsmark,SE,D,18,,Orebro HK (Sweden),,,,,,,,,,,,,,forsmsi01
102,New Jersey Devils,Tyler Brennan,CA,G,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,brennty01
103,Los Angeles Kings,Kenny Connors,US,C,19,2026,Dubuque Fighting Saints (USHL),2,0,0,0,-1,0,,,,,,,-0.1,connoke01
104,Ottawa Senators,Stephen Halliday,CA,C,20,2026,Dubuque Fighting Saints (USHL),30,4,7,11,0,2,,,,,,,1.0,hallist01
105,Detroit Red Wings,Anton Johansson,SE,D,18,,Leksands IF Jr. (Sweden Jr.),,,,,,,,,,,,,,johanan03
106,Buffalo Sabres,Mats Lindgren,CA,D,18,,Kamloops Blazers (WHL),,,,,,,,,,,,,,lindgma02
107,Anaheim Ducks,Ben King,CA,C,20,,Red Deer Rebels (WHL),,,,,,,,,,,,,,kingbe01
108,San Jose Sharks,Mason Beaupit,CA,G,18,,Spokane Chiefs (WHL),,,,,,,,,,,,,,beaupma01
109,Columbus Blue Jackets,Kirill Dolzhenkov,RU,RW,18,,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,,,,dolzhki01
110,New Jersey Devils,Daniil Orlov,RU,D,18,,Sakhalinskiye Akuly (Russia Jr.),,,,,,,,,,,,,,orlovda01
111,New York Rangers,Noah Laba,US,C,19,2026,Lincoln Stars (USHL),74,9,15,24,2,31,,,,,,,1.9,labano01
112,Vancouver Canucks,Daimon Gardner,CA,C,18,,Warroad HS (High-MN),,,,,,,,,,,,,,gardnda02
113,Detroit Red Wings,Amadeus Lombardi,CA,C,19,,Flint Firebirds (OHL),,,,,,,,,,,,,,lombaam01
114,Nashville Predators,Cole O'Hara,CA,RW,20,2026,Tri-City Storm (USHL),1,0,1,1,1,0,,,,,,,0.1,oharaco01
115,Dallas Stars,Gavin White,CA,D,19,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,whitega01
116,Los Angeles Kings,Angus Booth,CA,D,18,2026,Shawinigan Cataractes (QMJHL),1,1,0,1,1,0,,,,,,,0.3,boothan01
117,Boston Bruins,Cole Spicer,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,spiceco01
118,Pittsburgh Penguins,Sergey Murashov,RU,G,18,2026,Loko-76 Yaroslavl (Russia Jr.),5,0,0,0,0,0,5,1,1,2,.897,2.56,0.8,murasse01
119,Boston Bruins,Dans Locmelis,LV,C,18,,Lulea HF Jr. (Sweden Jr.),,,,,,,,,,,,,,locmeda01
120,St. Louis Blues,Arseni Koromyslov,RU,D,18,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,koromar01
121,Minnesota Wild,Ryan Healey,US,D,18,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,healery01
122,Toronto Maple Leafs,Dennis Hildeby,SE,G,21,2026,Farjestad BK Jr. (Sweden Jr.),26,0,0,0,0,0,26,8,10,4,.903,2.98,4.9,hildede01
123,Seattle Kraken,Tucker Robertson,CA,C,19,,Peterborough Petes (OHL),,,,,,,,,,,,,,robertu01
124,Carolina Hurricanes,Cruz Lucius,US,RW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,luciucr01
125,Florida Panthers,Ludvig Jansson,SE,D,18,2026,Sodertalje SK (Sweden-2),4,0,1,1,2,0,,,,,,,0.3,jansslu01
126,New Jersey Devils,Charles Leddy,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,leddych01
127,Montreal Canadiens,Cedrick Guindon,CA,LW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,guindce01
128,Vegas Golden Knights,Cameron Whitehead,CA,G,19,,Lincoln Stars (USHL),,,,,,,,,,,,,,whiteca01
129,Detroit Red Wings,Maximilian Kilpinen,SE,LW,18,,Orebro HK Jr. (Sweden Jr.),,,,,,,,,,,,,,kilpima01
130,Montreal Canadiens,Jared Davidson,CA,C,20,2026,Seattle Thunderbirds (WHL),10,0,1,1,-4,10,,,,,,,-0.2,davidja01
131,Arizona Coyotes,Matthew Morden,CA,D,18,,St. Andrew's College (High-ON),,,,,,,,,,,,,,mordema01
132,Boston Bruins,Frederic Brunet,CA,D,19,2025,Rimouski Oceanic (QMJHL),1,0,0,0,-1,0,,,,,,,-0.1,brunefr01
133,Philadelphia Flyers,Alex Bump,US,LW,18,2026,Prior Lake HS (High-MN),17,5,4,9,3,2,,,,,,,1.2,bumpal01
134,Buffalo Sabres,Vsevolod Komarov,RU,D,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,komarvs01
135,Toronto Maple Leafs,Nikita Grebenkin,RU,RW,19,2026,Stalnye Lisy Magnitogorsk (Russia Jr.),62,4,10,14,-10,48,,,,,,,0.3,grebeni01
136,Ottawa Senators,Jorian Donovan,CA,D,18,2026,Hamilton Bulldogs (OHL),2,0,0,0,0,0,,,,,,,0.0,donovjo01
137,Detroit Red Wings,Tnias Mathurin,CA,D,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,mathutn01
138,Columbus Blue Jackets,Sergei Ivanov,RU,G,18,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,ivanose01
139,Anaheim Ducks,Connor Hvidston,CA,LW,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,hvidsco01
140,San Jose Sharks,Jake Furlong,CA,D,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,,,furloja01
141,New Jersey Devils,Petr Hauser,CZ,RW,18,,HC Sparta Praha Jr. (Czech Jr.),,,,,,,,,,,,,,hausepe01
142,New York Islanders,Matthew Maggio,CA,RW,19,,Windsor Spitfires (OHL),,,,,,,,,,,,,,maggima01
143,Ottawa Senators,Cameron O'Neill,US,RW,18,,Mount St. Charles Academy (High-RI),,,,,,,,,,,,,,oneilca01
144,Vancouver Canucks,Ty Young,CA,G,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,youngty01
145,Vegas Golden Knights,Patrick Guay,CA,C,20,,Charlottetown Islanders (QMJHL),,,,,,,,,,,,,,guaypa02
146,Nashville Predators,Graham Sward,CA,D,19,,Spokane Chiefs (WHL),,,,,,,,,,,,,,swardgr01
147,Dallas Stars,Maxim Mayorov,RU,G,18,,Ladia Togliatti (Russia Jr.),,,,,,,,,,,,,,mayorma02
148,Los Angeles Kings,Otto Salin,FI,D,18,,HIFK Jr. (Finland Jr.),,,,,,,,,,,,,,salinot01
149,Washington Capitals,Jake Karabela,CA,C,18,,Guelph Storm (OHL),,,,,,,,,,,,,,karabja01
150,Pittsburgh Penguins,Zam Plante,DE,C,18,,Hermantown HS (High-MN),,,,,,,,,,,,,,plantza01
151,Ottawa Senators,Kevin Reidler,SE,G,18,,AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,reidlke01
152,St. Louis Blues,Marc-Andre Gaudet,CA,D,18,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,gaudema01
153,Minnesota Wild,David Spacek,US,D,19,2026,Sherbrooke Phoenix (QMJHL),2,0,0,0,-1,0,,,,,,,-0.1,spaceda01
154,Anaheim Ducks,Michael Callow,US,RW,18,,St. Sebastian's School (High-MA),,,,,,,,,,,,,,callomi01
155,Calgary Flames,Parker Bell,CA,LW,18,,Tri-City Americans (WHL),,,,,,,,,,,,,,bellpa01
156,Carolina Hurricanes,Vladimir Grudinin,RU,D,18,,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,,,,grudivl01
157,Florida Panthers,Sandis Vilmanis,LV,LW,18,2026,Lulea HF Jr. (Sweden Jr.),19,3,2,5,-1,4,,,,,,,0.5,vilmasa01
158,Edmonton Oilers,Samuel Jonsson,SE,G,18,,Brynas IF Jr. (Sweden Jr.),,,,,,,,,,,,,,jonsssa01
159,New York Rangers,Vittorio Mancini,US,D,20,2026,Nebraska-Omaha (NCHC),55,2,9,11,-21,17,,,,,,,0.6,mancivi01
160,Tampa Bay Lightning,Nick Malik,US,G,20,,KooKoo (Finland),,,,,,,,,,,,,,malikni01
161,New York Rangers,Maxim Barbashev,RU,LW,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,barbama01
162,Montreal Canadiens,Emmett Croteau,CA,G,18,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,croteem01
163,Arizona Coyotes,Maksymilian Szuber,PL,D,20,2024,EHC Munchen (Germany),1,0,0,0,-1,2,,,,,,,-0.1,szubema01
164,Seattle Kraken,Barrett Hall,US,C,18,,Gentry Academy (High-MN),,,,,,,,,,,,,,hallba01
165,Philadelphia Flyers,Hunter Mcdonald,US,D,20,2026,Chicago Steel (USHL),1,0,1,1,3,4,,,,,,,0.3,mcdonhu02
166,New Jersey Devils,Josh Filmon,CA,LW,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,filmojo01
167,Pittsburgh Penguins,Nolan Collins,CA,D,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,collino02
168,Ottawa Senators,Theo Wallberg,SE,D,18,,Skelleftea AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,wallbth01
169,Los Angeles Kings,Jared Wright,US,RW,19,2026,Omaha Lancers (USHL),23,0,4,4,0,4,,,,,,,0.0,wrighja03
170,Buffalo Sabres,Jake Richard,US,RW,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,richaja02
171,Carolina Hurricanes,Jakub Vondras,CZ,G,18,,HC Plzen Jr. (Czech Jr.),,,,,,,,,,,,,,vondrja01
172,San Jose Sharks,Joey Muldowney,US,RW,18,,Nichols School (High-NY),,,,,,,,,,,,,,muldojo01
173,Chicago Blackhawks,Dominic James,US,C,20,2026,Minnesota-Duluth (NCHC),43,7,8,15,4,8,,,,,,,1.3,jamesdo01
174,New York Islanders,Daylan Kuefler,CA,LW,20,,Kamloops Blazers (WHL),,,,,,,,,,,,,,kueflda01
175,Winnipeg Jets,Fabian Wagner,SE,C,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,wagnefa01
176,Vancouver Canucks,Jackson Dorrington,US,D,18,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,dorrija01
177,Vegas Golden Knights,Ben Hemmerling,CA,RW,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,hemmebe01
178,Anaheim Ducks,Vyacheslav Buteyets,RU,G,20,2026,Chelmet Chelyabinsk (Russia-2),1,0,0,0,0,0,1,0,0,0,.769,9.00,-0.1,buteyvy01
179,Dallas Stars,Matthew Seminoff,US,RW,18,,Kamloops Blazers (WHL),,,,,,,,,,,,,,seminma01
180,Los Angeles Kings,Jack Sparkes,CA,D,18,,St. Michael's (OJHL),,,,,,,,,,,,,,sparkja01
181,Washington Capitals,Ryan Hofer,CA,RW,20,,Everett Silvertips (WHL),,,,,,,,,,,,,,hoferry01
182,Pittsburgh Penguins,Luke Devlin,US,C,18,,St. Andrew's College (High-ON),,,,,,,,,,,,,,devlilu01
183,Boston Bruins,Reid Dyck,CA,G,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,dyckre01
184,St. Louis Blues,Landon Sim,CA,RW,18,,London Knights (OHL),,,,,,,,,,,,,,simla01
185,Minnesota Wild,Servac Petrovsky,SK,C,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,petrose01
186,Florida Panthers,Josh Davies,CA,LW,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,daviejo01
187,Buffalo Sabres,Gustav Karlsson,SE,C,18,,Orebro HK Jr. (Sweden Jr.),,,,,,,,,,,,,,karlsgu01
188,Chicago Blackhawks,Nils Juntorp,SE,RW,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,juntoni01
189,Florida Panthers,Tyler Muszelik,US,G,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,muszety01
190,Edmonton Oilers,Nikita Yevseyev,RU,D,18,,Bars Kazan (Russia-2),,,,,,,,,,,,,,yevseni01
191,New York Rangers,Zakary Karpa,US,C,20,,Harvard (ECAC),,,,,,,,,,,,,,karpaza01
192,Tampa Bay Lightning,Connor Kurth,US,RW,19,,Dubuque Fighting Saints (USHL),,,,,,,,,,,,,,kurthco01
193,Colorado Avalanche,Chris Romaine,US,D,18,,Milton Academy (High-MA),,,,,,,,,,,,,,romaich01
194,Montreal Canadiens,Petteri Nurmi,FI,D,20,,HPK (Finland),,,,,,,,,,,,,,nurmipe01
195,San Jose Sharks,Eli Barnett,CA,D,18,,Victoria (BCHL),,,,,,,,,,,,,,barneel01
196,Seattle Kraken,Kyle Jackson,CA,C,19,,North Bay Battalion (OHL),,,,,,,,,,,,,,jacksky01
197,Philadelphia Flyers,Santeri Sulku,FI,LW,18,,Jokerit Jr. (Finland Jr.),,,,,,,,,,,,,,sulkusa01
198,New Jersey Devils,Artem Barabosha,RU,D,18,,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,,,,barabar01
199,Chicago Blackhawks,Riku Tohila,FI,C,18,,JYP Jr. (Finland Jr.),,,,,,,,,,,,,,tohilri01
200,Boston Bruins,Jackson Edward,CA,D,18,,London Knights (OHL),,,,,,,,,,,,,,edwarja01
201,Detroit Red Wings,Owen Mehlenbacher,CA,C,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,mehleow01
202,Buffalo Sabres,Joel Ratkovic Berndtsson,SE,RW,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,ratkojo01
203,Columbus Blue Jackets,James Fisher,US,RW,18,,Belmont Hill School (High-MA),,,,,,,,,,,,,,fisheja01
