Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,-9999
1,Montreal Canadiens,Juraj Slafkovsky,SK,LW,18,2026,TPS (Finland),282,72,112,184,-19,185,,,,,,,16.3,slafkju01
2,New Jersey Devils,Simon Nemec,SK,D,18,2026,HK Nitra (Slovakia),155,16,33,49,-28,73,,,,,,,7.8,nemecsi01
3,Arizona Coyotes,Logan Cooley,US,C,18,2026,USA U-18 Development Team (USDP/USHL),211,69,83,152,-9,92,,,,,,,15.6,coolelo01
4,Seattle Kraken,Shane Wright,CA,C,18,2026,Kingston Frontenacs (OHL),169,36,42,78,15,30,,,,,,,8.3,wrighsh01
5,Philadelphia Flyers,Cutter Gauthier,SE,LW,18,2026,USA U-18 Development Team (USDP/USHL),159,61,53,114,7,48,,,,,,,13.3,gauthcu01
6,Columbus Blue Jackets,David Jiricek,CZ,D,18,2026,HC Plzen (Czech),85,2,11,13,-8,46,,,,,,,1.8,jiricda01
7,Chicago Blackhawks,Kevin Korchinski,CA,D,18,2026,Seattle Thunderbirds (WHL),105,6,13,19,-48,32,,,,,,,2.0,korchke01
8,Detroit Red Wings,Marco Kasper,AT,C,18,2026,Rogle BK (Sweden),159,28,28,56,-19,67,,,,,,,4.3,kaspema01
9,Buffalo Sabres,Matthew Savoie,CA,C,18,2026,Winnipeg Ice (WHL),87,18,20,38,2,24,,,,,,,3.5,savoima01
10,Anaheim Ducks,Pavel Mintyukov,RU,D,18,2026,Saginaw Spirit (OHL),204,17,52,69,-27,61,,,,,,,9.2,mintypa01
11,Arizona Coyotes,Conor Geekie,CA,C,18,2026,Winnipeg Ice (WHL),66,9,8,17,-7,24,,,,,,,1.0,geekico01
12,Columbus Blue Jackets,Denton Mateychuk,CA,D,18,2026,Moose Jaw Warriors (WHL),120,17,27,44,16,28,,,,,,,8.5,mateyde01
13,Chicago Blackhawks,Frank Nazar,US,C,18,2026,USA U-18 Development Team (USDP/USHL),122,28,40,68,-36,50,,,,,,,5.4,nazarfr01
14,Winnipeg Jets,Rutger Mcgroarty,US,RW,18,2026,USA U-18 Development Team (USDP/USHL),32,4,5,9,-3,4,,,,,,,0.5,mcgroru01
15,Vancouver Canucks,Jonathan Lekkerimaki,SE,RW,18,2026,Djurgardens IF (Sweden),37,5,4,9,-9,2,,,,,,,0.4,lekkejo01
16,Buffalo Sabres,Noah Ostlund,SE,C,18,2026,Djurgardens IF Jr. (Sweden Jr.),68,11,16,27,5,16,,,,,,,2.3,ostluno01
17,Nashville Predators,Joakim Kemell,FI,RW,18,2026,JYP (Finland),18,1,2,3,2,0,,,,,,,0.2,kemeljo01
18,Dallas Stars,Lian Bichsel,CH,D,18,2026,Leksands IF (Sweden),88,8,9,17,8,78,,,,,,,4.3,bichsli01
19,Minnesota Wild,Liam Ohgren,SE,LW,18,2026,Djurgardens IF Jr. (Sweden Jr.),97,11,14,25,-25,4,,,,,,,0.8,ohgreli01
20,Washington Capitals,Ivan Miroshnichenko,RU,LW,18,2026,Omskie Krylia (Russia-2),52,5,8,13,-2,8,,,,,,,0.8,mirosiv01
21,Pittsburgh Penguins,Owen Pickering,CA,D,18,2026,Swift Current Broncos (WHL),29,1,2,3,-8,8,,,,,,,0.3,pickeow01
22,Anaheim Ducks,Nathan Gaucher,CA,C,18,2026,Quebec Remparts (QMJHL),3,0,0,0,-1,0,,,,,,,-0.1,gauchna01
23,St. Louis Blues,Jimmy Snuggerud,US,RW,18,2026,USA U-18 Development Team (USDP/USHL),77,22,33,55,16,18,,,,,,,6.2,snuggji01
24,Minnesota Wild,Danila Yurov,RU,RW,18,2026,Metallurg Magnitogorsk (Russia),73,12,15,27,-7,28,,,,,,,2.1,yurovda01
25,Chicago Blackhawks,Sam Rinzel,US,D,18,2026,Chaska HS (High-MN),63,4,15,19,-6,44,,,,,,,3.7,rinzesa01
26,Montreal Canadiens,Filip Mesar,SK,RW,18,,HK Poprad (Slovakia),,,,,,,,,,,,,,mesarfi01
27,San Jose Sharks,Filip Bystedt,SE,C,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,bystefi01
28,Buffalo Sabres,Jiri Kulich,CZ,C,18,2026,HC Energie Karlovy Vary (Czech),75,18,11,29,-9,22,,,,,,,2.4,kulicji01
29,Arizona Coyotes,Maveric Lamoureux,CA,D,18,2026,Drummondville Voltigeurs (QMJHL),20,1,3,4,7,44,,,,,,,1.3,lamouma01
30,Winnipeg Jets,Brad Lambert,FI,C,18,2026,Pelicans (Finland),31,3,5,8,-4,8,,,,,,,0.4,lambebr01
31,Tampa Bay Lightning,Isaac Howard,US,LW,18,2026,USA U-18 Development Team (USDP/USHL),29,2,3,5,-6,12,,,,,,,0.0,howaris01
32,Edmonton Oilers,Reid Schaefer,CA,LW,18,2026,Seattle Thunderbirds (WHL),47,6,2,8,-12,17,,,,,,,0.3,schaere01
33,Montreal Canadiens,Owen Beck,CA,C,18,2026,Mississauga Steelheads (OHL),28,1,1,2,1,6,,,,,,,-0.1,beckow01
34,San Jose Sharks,Cameron Lund,US,C,18,2025,Green Bay Gamblers (USHL),11,2,1,3,-10,4,,,,,,,-0.1,lundca01
35,Seattle Kraken,Jagger Firkus,CA,RW,18,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,firkuja01
36,Arizona Coyotes,Artem Duda,RU,D,18,,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,,,,dudaar01
37,Washington Capitals,Ryan Chesley,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,cheslry01
38,Toronto Maple Leafs,Fraser Minten,CA,C,18,2026,Kamloops Blazers (WHL),107,20,20,40,16,24,,,,,,,3.6,mintefr01
39,Chicago Blackhawks,Paul Ludwinski,CA,C,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,ludwipa01
40,Detroit Red Wings,Dylan James,CA,LW,18,,Sioux City Musketeers (USHL),,,,,,,,,,,,,,jamesdy01
41,Buffalo Sabres,Topias Leinonen,FI,G,18,,JYP Jr. (Finland Jr.),,,,,,,,,,,,,,leinoto02
42,Anaheim Ducks,Noah Warren,CA,D,18,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,warreno01
43,Arizona Coyotes,Julian Lutz,DE,LW,18,,EHC Munchen (Germany),,,,,,,,,,,,,,lutzju01
44,Columbus Blue Jackets,Luca Del Bel Belluz,CA,C,18,2026,Mississauga Steelheads (OHL),30,3,7,10,1,4,,,,,,,0.7,delbelu01
45,San Jose Sharks,Mattias Havelid,SE,D,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,havelma02
46,New Jersey Devils,Seamus Casey,US,D,18,2026,USA U-18 Development Team (USDP/USHL),16,4,4,8,0,0,,,,,,,1.5,caseyse01
47,Minnesota Wild,Hunter Haight,CA,C,18,2026,Barrie Colts (OHL),9,1,1,2,-5,4,,,,,,,0.0,haighhu01
48,Vegas Golden Knights,Matyas Sapovaliv,CZ,C,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,sapovma01
49,Seattle Kraken,Jani Nyman,FI,RW,18,2026,Ilves (Finland),40,7,6,13,-8,10,,,,,,,1.0,nymanja01
50,Dallas Stars,Christian Kyrou,CA,D,18,,Erie Otters (OHL),,,,,,,,,,,,,,kyrouch01
51,Los Angeles Kings,Jack Hughes,US,C,18,,Northeastern (H-East),,,,,,,,,,,,,,hugheja04
52,Detroit Red Wings,Dmitri Buchelnikov,RU,LW,19,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,buchedm01
53,Anaheim Ducks,Tristan Luneau,CA,D,18,2026,Gatineau Olympiques (QMJHL),14,2,2,4,-2,6,,,,,,,0.6,luneatr01
54,Boston Bruins,Matthew Poitras,CA,C,18,2026,Guelph Storm (OHL),69,7,20,27,0,18,,,,,,,1.9,poitrma01
55,Winnipeg Jets,Elias Salomonsson,SE,D,18,2026,Skelleftea AIK Jr. (Finland Jr.),32,1,4,5,-6,12,,,,,,,0.9,salomel01
56,Minnesota Wild,Rieger Lorenz,CA,LW,18,,Okotoks (AJHL),,,,,,,,,,,,,,lorenri01
57,Chicago Blackhawks,Ryan Greene,CA,C,18,2026,Green Bay Gamblers (USHL),83,12,17,29,-14,14,,,,,,,1.8,greenry01
58,Seattle Kraken,Niklas Kokko,FI,G,18,2026,Karpat Jr. (Finland Jr.),4,0,0,0,0,0,4,1,2,0,.875,3.18,0.4,kokkoni01
59,Calgary Flames,Topi Ronni,FI,C,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,ronnito01
60,Carolina Hurricanes,Gleb Trikozov,RU,LW,18,,Omskie Yasterby (Russia Jr.),,,,,,,,,,,,,,trikogl01
61,Seattle Kraken,David Goyette,CA,C,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,goyetda01
