Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
1,San Jose Sharks,Macklin Celebrini,CA,C,18,2026,Boston University (H-East),152,70,108,178,-23,72,,,,,,,18.7,celebma01
2,Chicago Blackhawks,Artyom Levshunov,BY,D,18,2026,Michigan State (Big Ten),86,2,28,30,-54,52,,,,,,,1.7,levshar01
3,Anaheim Ducks,Beckett Sennecke,CA,RW,18,2026,Oshawa Generals (OHL),82,23,37,60,-12,62,,,,,,,5.2,sennebe01
4,Columbus Blue Jackets,Cayden Lindstrom,CA,C,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,lindsca01
5,Montreal Canadiens,Ivan Demidov,RU,RW,18,2026,Ska Saint Petersburg Jr. (Russia-Jr.),84,20,44,64,4,34,,,,,,,6.1,demidiv01
6,Utah Hockey Club,Tij Iginla,CA,C,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,iginlti01
7,Ottawa Senators,Carter Yakemchuk,CA,D,18,2026,Calgary Hitmen (WHL),4,1,1,2,-1,2,,,,,,,0.3,yakemca01
8,Seattle Kraken,Berkly Catton,CA,C,18,2026,Spokane Chiefs (WHL),66,7,10,17,-8,31,,,,,,,0.8,cattobe01
9,Calgary Flames,Zayne Parekh,CA,D,18,2026,Saginaw Spirit (OHL),38,5,5,10,-6,10,,,,,,,2.0,parekza01
10,New Jersey Devils,Anton Silayev,RU,D,18,,Nizhny Novgorod (Russia),,,,,,,,,,,,,,silayan01
11,San Jose Sharks,Sam Dickinson,CA,D,18,2026,London Knights (OHL),72,1,13,14,-5,22,,,,,,,2.2,dickisa01
12,Minnesota Wild,Zeev Buium,US,D,18,2026,Denver (NCHC),76,6,20,26,-33,41,,,,,,,2.5,buiumze01
13,Philadelphia Flyers,Jett Luchanko,CA,C,18,2026,Guelph Storm (OHL),8,0,0,0,-6,4,,,,,,,-0.4,luchaje01
14,Buffalo Sabres,Konsta Helenius,FI,C,18,2026,Jukurit (Finland),9,1,3,4,1,0,,,,,,,0.3,helenko01
15,Detroit Red Wings,Michael Brandsegg-Nygård,NO,RW,18,2026,Mora (Sweden-2),14,0,1,1,-5,2,,,,,,,-0.3,brandmi01
16,St. Louis Blues,Adam Jiricek,CZ,D,18,,Plzen (Czechia),,,,,,,,,,,,,,jiricad01
17,Washington Capitals,Terik Parascak,CA,RW,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,paraste01
18,Chicago Blackhawks,Sacha Boisvert,CA,C,18,2026,Muskegon (USHL),7,1,1,2,-1,9,,,,,,,0.2,boisvsa01
19,Vegas Golden Knights,Trevor Connelly,US,LW,18,,Tri-City (USHL),,,,,,,,,,,,,,connetr01
20,New York Islanders,Cole Eiserman,US,LW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,eiserco01
21,Montreal Canadiens,Michael Hage,CA,C,18,,Chicago (USHL),,,,,,,,,,,,,,hagemi01
22,Nashville Predators,Egor Surin,RU,C,18,,Yaroslavl Jr. (Russia-Jr.),,,,,,,,,,,,,,surineg01
23,Anaheim Ducks,Stian Solberg,NO,D,18,,Valerenga (Norway),,,,,,,,,,,,,,solbest01
24,Utah Hockey Club,Cole Beaudoin,CA,C,18,,Barrie Colts (OHL),,,,,,,,,,,,,,beaudco01
25,Boston Bruins,Dean Letourneau,CA,C,18,,St. Andrews College (HIGH-ON),,,,,,,,,,,,,,letoude01
