Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
26,Los Angeles Kings,Liam Greentree,CA,RW,18,,Windsor Spitfires (OHL),,,,,,,,,,,,,,greenli01
27,Chicago Blackhawks,Marek Vanacker,CA,LW,18,,Brantford Bulldogs (OHL),,,,,,,,,,,,,,vanacma01
28,Calgary Flames,Matvei Gridin,RU,RW,18,2026,Muskegon (USHL),37,6,14,20,-14,2,,,,,,,1.4,gridima01
29,Dallas Stars,Emil Hemming,FI,RW,18,,Tps (Finland),,,,,,,,,,,,,,hemmiem01
30,New York Rangers,EJ Emery,CA,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,emeryer01
31,Toronto Maple Leafs,Ben Danford,CA,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,danfobe01
32,Edmonton Oilers,Sam O'Reilly,CA,RW,18,,London Knights (OHL),,,,,,,,,,,,,,oreilsa01
33,San Jose Sharks,Igor Chernyshov,RU,LW,18,2026,Dynamo Moscow (Russia),28,9,10,19,2,6,,,,,,,2.1,chernig01
34,Carolina Hurricanes,Dominik Badinka,CZ,D,18,,Malmo (Sweden),,,,,,,,,,,,,,badindo01
35,Anaheim Ducks,Lucas Pettersson,SE,C,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,,pettelu01
36,Columbus Blue Jackets,Charlie Elick,CA,D,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,elickch01
37,Winnipeg Jets,Alfons Freij,SE,D,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,freijal01
38,Colorado Avalanche,Ilya Nabokov,RU,G,21,,Magnitogorsk (Russia),,,,,,,,,,,,,,nabokil01
39,Ottawa Senators,Gabriel Eliasson,SE,D,18,,Hv71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,eliasga01
40,Seattle Kraken,Julius Miettinen,FI,C,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,miettju01
41,Calgary Flames,Andrew Basha,CA,LW,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,bashaan01
42,Buffalo Sabres,Adam Kleber,US,D,18,,Lincoln (USHL),,,,,,,,,,,,,,klebead01
43,Washington Capitals,Cole Hutson,US,D,18,2026,Usa U-18 (U.S. NTDP),14,3,7,10,-3,8,,,,,,,1.2,hutsoco01
44,Pittsburgh Penguins,Harrison Brunicke,ZA,D,18,2026,Kamloops Blazers (WHL),9,1,0,1,-4,6,,,,,,,0.0,bruniha01
45,Minnesota Wild,Ryder Ritchie,CA,RW,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,ritchry01
46,Pittsburgh Penguins,Tanner Howe,CA,LW,18,,Regina Pats (WHL),,,,,,,,,,,,,,howeta01
47,Detroit Red Wings,Max Plante,US,LW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,plantma02
48,St. Louis Blues,Colin Ralph,US,D,18,,Shattuck-St. Mary'S (High-MN),,,,,,,,,,,,,,ralphco01
49,New Jersey Devils,Mikhail Yegorov,RU,G,18,,Omaha (USHL),,,,,,,,,,,,,,yegormi01
50,Carolina Hurricanes,Nikita Artamonov,RU,LW,18,,Nizhny Novgorod (Russia),,,,,,,,,,,,,,artamni01
51,Philadelphia Flyers,Jack Berglund,SE,C,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,berglja01
52,Washington Capitals,Leon Muggli,CH,D,18,,Zug (Swiss),,,,,,,,,,,,,,mugglle01
53,San Jose Sharks,Leo Sahlin Wallenius,SE,D,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,sahlile01
54,New York Islanders,Jesse Pulkkinen,FI,D,19,,Jyp (Finland),,,,,,,,,,,,,,pulkkje01
55,Nashville Predators,Teddy Stiga,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,stigate01
56,St. Louis Blues,Lukas Fischer,US,D,18,,Sarnia Sting (OHL),,,,,,,,,,,,,,fischlu01
57,Los Angeles Kings,Carter George,CA,G,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,georgca01
58,Florida Panthers,Linus Eriksson,SE,C,18,,Djurgarden (Sweden-2),,,,,,,,,,,,,,eriksli01
59,Philadelphia Flyers,Spencer Gill,CA,D,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,gillsp01
60,Columbus Blue Jackets,Evan Gardner,CA,G,18,,Saskatoon Blades (WHL),,,,,,,,,,,,,,gardnev01
61,New York Islanders,Kamil Bednarik,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,bednaka01
62,Calgary Flames,Jacob Battaglia,CA,RW,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,battaja01
63,Seattle Kraken,Nathan Villeneuve,CA,C,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,villena01
64,Edmonton Oilers,Eemil Vinni,FI,G,18,,Jokipojat (Finland-2),,,,,,,,,,,,,,vinniee01
65,Utah Hockey Club,Will Skahan,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,skahawi01
66,Anaheim Ducks,Maxim Massé,CA,RW,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,massema01
67,Chicago Blackhawks,John Mustard,CA,C,18,,Waterloo (USHL),,,,,,,,,,,,,,mustajo01
68,Anaheim Ducks,Ethan Procyszyn,CA,C,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,procyet01
69,Carolina Hurricanes,Noel Fransén,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,fransno01
70,Montreal Canadiens,Aatos Koivu,FI,C,18,,Tps Jr. (Finland-Jr.),,,,,,,,,,,,,,koivuaa01
71,Buffalo Sabres,Brodie Ziemer,US,RW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,ziemebr01
72,Chicago Blackhawks,Anthony (AJ) Spellacy,US,RW,18,,Windsor Spitfires (OHL),,,,,,,,,,,,,,spellaj01
73,Seattle Kraken,Alexis Bernier,CA,D,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,bernial01
74,Calgary Flames,Henry Mews,CA,D,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,mewshe01
75,Washington Capitals,Ilya Protas,BY,LW,18,2026,Des Moines (USHL),4,1,3,4,1,2,,,,,,,0.4,protail01
76,Colorado Avalanche,William Zellers,US,LW,18,,Shattuck-St. Mary'S (High-MN),,,,,,,,,,,,,,zellewi01
77,Nashville Predators,Viggo Gustafsson,SE,D,18,,Hv71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,gustavi01
78,Montreal Canadiens,Logan Sawyer,CA,C,18,,Brooks (BCHL),,,,,,,,,,,,,,sawyelo01
79,Anaheim Ducks,Tarin Smith,CA,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,smithta01
80,Detroit Red Wings,Ondrej Becher,CZ,C,20,,Prince George Cougars (WHL),,,,,,,,,,,,,,becheon01
81,St. Louis Blues,Ondrej Kos,CZ,LW,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,,koson01
82,San Jose Sharks,Carson Wetsch,CA,RW,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,wetscca01
83,Vegas Golden Knights,Pavel Moysevich,BY,G,19,,Ska St. Petersburg (Russia),,,,,,,,,,,,,,moysepa01
84,Calgary Flames,Kirill Zarubin,RU,G,18,,Akm Tula Jr. (Russia-Jr.),,,,,,,,,,,,,,zarubki01
85,New Jersey Devils,Kasper Pikkarainen,FI,RW,18,,Tps Jr. (Finland-Jr.),,,,,,,,,,,,,,pikkaka01
86,Columbus Blue Jackets,Luca Marrelli,CA,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,marrelu01
87,Nashville Predators,Miguel Marques,CA,RW,18,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,marqumi01
88,Seattle Kraken,Kim Saarinen,FI,G,18,,Hpk Jr. (Finland-Jr.),,,,,,,,,,,,,,saariki01
89,Utah Hockey Club,Tomas Lavoie,CA,D,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,lavoito01
90,Washington Capitals,Eriks Mateiko,LV,LW,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,mateier01
91,New Jersey Devils,Herman Träff,SE,RW,18,,Hv71 Jr. (Sweden-Jr.),,,,,,,,,,,,,,traffhe01
92,Chicago Blackhawks,Jack Pridham,CA,RW,18,,West Kelowna (BCHL),,,,,,,,,,,,,,pridhja01
93,Vancouver Canucks,Melvin Fernström,SE,RW,18,,Orebro Jr. (Sweden-Jr.),,,,,,,,,,,,,,fernsme01
94,Nashville Predators,Hiroki Gojsic,CA,RW,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,gojsihi01
95,St. Louis Blues,Adam Jecho,CZ,C,18,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,jechoad01
96,Utah Hockey Club,Veeti Väisänen,FI,D,18,,Kookoo (Finland),,,,,,,,,,,,,,visneve01
97,Florida Panthers,Matvei Shuravin,RU,D,18,,Cska Jr. (Russia-Jr.),,,,,,,,,,,,,,shurama01
98,Utah Hockey Club,Gregor Biber,AT,D,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,,bibergr01
99,Nashville Predators,Jakub Milota,CZ,G,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,milotja01
100,Anaheim Ducks,Alexandre Blais,CA,C,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,blaisal01
101,Columbus Blue Jackets,Tanner Henricks,US,D,18,,Lincoln (USHL),,,,,,,,,,,,,,henrita01
102,Montreal Canadiens,Owen Protz,CA,D,18,,Brantford Bulldogs (OHL),,,,,,,,,,,,,,protzow01
103,Utah Hockey Club,Gabe Smith,CA,C,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,smithga02
104,Ottawa Senators,Lucas Ellinas,CA,LW,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,ellinlu01
105,Seattle Kraken,Oliver Josephson,CA,C,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,josepol01
106,Calgary Flames,Trevor Hoskin,CA,RW,20,,Cobourg (OJHL),,,,,,,,,,,,,,hoskitr01
107,Philadelphia Flyers,Heikki Ruohonen,FI,C,18,,Kiekko-Espoo Jr. (Finland-Jr.),,,,,,,,,,,,,,ruohohe01
108,Buffalo Sabres,Luke Osburn,US,D,18,,Youngstown (USHL),,,,,,,,,,,,,,osburlu01
109,Winnipeg Jets,Kevin He,CN,LW,18,,Niagara (OHL),,,,,,,,,,,,,,heke01
110,Boston Bruins,Elliott Groenewold,US,D,18,,Cedar Rapids (USHL),,,,,,,,,,,,,,groenel01
111,Pittsburgh Penguins,Chase Pietila,US,D,20,,Michigan Tech (CCHA),,,,,,,,,,,,,,pietich01
112,Ottawa Senators,Javon Moore,US,LW,18,,Minnetonka (High-MN),,,,,,,,,,,,,,mooreja01
113,St. Louis Blues,Tomas Mrsic,CA,C,18,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,mrsicto01
114,Washington Capitals,Nicholas Kempf,US,G,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,kempfni01
115,New York Islanders,Dmitry Gamzin,RU,G,21,,Zvezda Moscow (RUSSIA-2),,,,,,,,,,,,,,gamzidm01
116,San Jose Sharks,Christian Kirsch,CH,G,18,,Zug Jr. (SWISS-JR.),,,,,,,,,,,,,,kirscch01
117,Ottawa Senators,Blake Montgomery,US,LW,19,,Lincoln (USHL),,,,,,,,,,,,,,montgbl01
118,Tampa Bay Lightning,Jan Golicic,SI,D,18,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,golicja01
119,New York Rangers,Raoul Boilard,CA,C,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,boilara01
120,Toronto Maple Leafs,Victor Johansson,SE,D,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,,johanvi01
121,Colorado Avalanche,Jake Fisher,US,C,19,,Fargo (USHL),,,,,,,,,,,,,,fisheja02
122,Minnesota Wild,Aron Kiviharju,DK,D,18,,Hifk (Finland),,,,,,,,,,,,,,kivihar01
123,Buffalo Sabres,Simon-Pier Brunet,CA,D,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,brunesi01
124,Carolina Hurricanes,Alexander Siryatsky,RU,D,18,,Magnitogorsk Jr. (Russia-Jr.),,,,,,,,,,,,,,siryaal01
125,Vancouver Canucks,Riley Patterson,CA,C,18,,Barrie Colts (OHL),,,,,,,,,,,,,,patteri01
126,Detroit Red Wings,Landon Miller,CA,G,18,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,millela01
127,Nashville Predators,Viktor Norringer,SE,LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,norrivi01
128,Tampa Bay Lightning,Hagen Burrows,US,RW,18,,Minnetonka (High-MN),,,,,,,,,,,,,,burroha01
129,Florida Panthers,Simon Zether,SE,C,18,,Rogle (Sweden),,,,,,,,,,,,,,zethesi01
130,Montreal Canadiens,Tyler Thorpe,CA,RW,19,,Vancouver Giants (WHL),,,,,,,,,,,,,,thorpty01
131,San Jose Sharks,Colton Roberts,CA,D,18,,Vancouver Giants (WHL),,,,,,,,,,,,,,roberco01
132,Colorado Avalanche,Louka Cloutier,CA,G,18,,Chicago (USHL),,,,,,,,,,,,,,cloutlo01
133,Carolina Hurricanes,Oskar Vuollet,SE,LW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,vuollos01
134,Montreal Canadiens,Mikus Vecvanags,LV,G,18,,Hs Riga (Latvia),,,,,,,,,,,,,,vecvami01
135,Utah Hockey Club,Owen Allard,CA,C,20,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,,,allarow01
136,Ottawa Senators,Eerik Wallenius,FI,D,18,,Hpk Jr. (Finland-Jr.),,,,,,,,,,,,,,walleee01
137,Colorado Avalanche,Ivan Yunin,RU,G,18,,Omsk Jr. (Russia-Jr.),,,,,,,,,,,,,,yuniniv01
138,Chicago Blackhawks,Joel Svensson,SE,C,19,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,svensjo01
139,New Jersey Devils,Max Graham,CA,C,20,,Kelowna Rockets (WHL),,,,,,,,,,,,,,grahama01
140,Minnesota Wild,Sebastian Soini,FI,D,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,,soinise01
141,Seattle Kraken,Clarke Caswell,CA,LW,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,caswecl01
142,Minnesota Wild,Chase Wutzke,CA,G,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,wutzkch01
143,San Jose Sharks,Nate Misskey,CA,D,19,,Victoria Royals (WHL),,,,,,,,,,,,,,misskna01
144,Detroit Red Wings,John Whipple,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,whippjo01
145,St. Louis Blues,William McIsaac,CA,D,18,,Spokane Chiefs (WHL),,,,,,,,,,,,,,mcisawi01
146,New Jersey Devils,Veeti Louhivaara,FI,G,18,,Jyp Jr. (Finland-Jr.),,,,,,,,,,,,,,louhive01
147,New York Islanders,Marcus Gidlöf,SE,G,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,,gidlfma01
148,Philadelphia Flyers,Noah Powell,US,RW,19,,Dubuque (USHL),,,,,,,,,,,,,,powelno01
149,Tampa Bay Lightning,Joona Saarelainen,FI,C,18,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,,,saarejo01
150,Calgary Flames,Luke Misa,CA,C,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,misalu01
151,Toronto Maple Leafs,Miroslav Holinka,CZ,C,18,,Trinec Jr. (Czech-Jr.),,,,,,,,,,,,,,holinmi01
152,Toronto Maple Leafs,Alexander Plesovskikh,RU,LW,18,,Khanty-Mansiysk Jr. (Russia-Jr.),,,,,,,,,,,,,,plesoal01
153,Utah Hockey Club,Ales Cech,CZ,D,20,,Mladá Boleslav (Czechia),,,,,,,,,,,,,,cechal01
154,Boston Bruins,Jonathan Morello,CA,C,18,,St. Michael'S (OJHL),,,,,,,,,,,,,,moreljo01
155,Winnipeg Jets,Markus Loponen,FI,C,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,loponma01
156,Carolina Hurricanes,Justin Poirier,CA,RW,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,poiriju01
157,Toronto Maple Leafs,Timofei Obvintsev,RU,G,19,,Cska Jr. (Russia-Jr.),,,,,,,,,,,,,,obvinti01
158,Dallas Stars,Niilopekka Muhonen,FI,D,18,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,,,muhonni01
159,New York Rangers,Nathan Aspinall,CA,LW,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,aspinna01
160,Edmonton Oilers,Connor Clattenburg,CA,LW,19,2026,Flint Firebirds (OHL),5,1,0,1,1,13,,,,,,,0.2,clattco01
161,Colorado Avalanche,Maxmilian Curran,CZ,C,18,,Tri-City Americans (WHL),,,,,,,,,,,,,,currama01
162,Vancouver Canucks,Anthony Romani,CA,RW,19,,North Bay Battalion (OHL),,,,,,,,,,,,,,romanan02
163,Chicago Blackhawks,Ty Henry,CA,D,18,,Erie Otters (OHL),,,,,,,,,,,,,,henryty01
164,Los Angeles Kings,Jared Woolley,CA,D,18,,London Knights (OHL),,,,,,,,,,,,,,woollja02
165,Columbus Blue Jackets,Luke Ashton,CA,D,19,,Langley (BCHL),,,,,,,,,,,,,,ashtolu01
166,Montreal Canadiens,Ben Merrill,US,C,18,,St. Sebastian'S School (High-MA),,,,,,,,,,,,,,merribe01
167,Utah Hockey Club,Vojtech Hradec,CZ,C,18,,Mladá Boleslav (Czechia),,,,,,,,,,,,,,hradevo01
168,Carolina Hurricanes,Timur Kol,RU,D,18,,Omsk Jr. (Russia-Jr.),,,,,,,,,,,,,,kolti01
169,Florida Panthers,Stepan Gorbunov,RU,C,18,,Chelyabinsk Jr. (Russia-Jr.),,,,,,,,,,,,,,gorbust01
170,Calgary Flames,Hunter Laing,US,C,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,lainghu01
171,New Jersey Devils,Matyas Melovsky,CZ,C,20,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,melovma01
172,Buffalo Sabres,Patrick Geary,US,D,20,,Michigan State (Big Ten),,,,,,,,,,,,,,gearypa01
173,Philadelphia Flyers,Ilya Pautov,RU,RW,18,,Cska Jr. (Russia-Jr.),,,,,,,,,,,,,,pautoil01
174,Minnesota Wild,Stevie Leskovar,CA,D,20,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,leskost01
175,Pittsburgh Penguins,Joona Väisänen,FI,D,20,,Dubuque (USHL),,,,,,,,,,,,,,visnejo01
176,Detroit Red Wings,Charlie Forslund,SE,LW,18,,Falu If (SWEDEN-3),,,,,,,,,,,,,,forslch01
177,Calgary Flames,Eric Jamieson,CA,D,19,,Everett Silvertips (WHL),,,,,,,,,,,,,,jamieer01
178,Washington Capitals,Petr Sikora,CZ,C,18,,Trinec Jr. (Czech-Jr.),,,,,,,,,,,,,,sikorpe01
179,New York Islanders,Xavier Veilleux,CA,D,18,,Muskegon (USHL),,,,,,,,,,,,,,veillxa01
180,Vegas Golden Knights,Trent Swick,CA,LW,20,,Kitchener Rangers (OHL),,,,,,,,,,,,,,swicktr01
181,Tampa Bay Lightning,Kaden Pitre,CA,C,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,pitreka01
182,Anaheim Ducks,Austin Burnevik,US,RW,19,,Madison (USHL),,,,,,,,,,,,,,burneau01
183,Edmonton Oilers,Albin Sundin,SE,D,20,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,sundial01
184,Carolina Hurricanes,Roman Shokhrin,RU,D,18,,Loko-76 Yaroslavl (Russia-Jr.),,,,,,,,,,,,,,shokhro01
185,Colorado Avalanche,Tory Pitner,US,D,18,,Youngstown (USHL),,,,,,,,,,,,,,pitneto01
186,Boston Bruins,Loke Johansson,SE,D,18,,Aik Jr. (Sweden-Jr.),,,,,,,,,,,,,,johanlo01
187,Winnipeg Jets,Kieron Walton,CA,C,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,waltoki01
188,Carolina Hurricanes,Fyodor Avramov,RU,LW,18,,Stupino Jr. (Russia-Jr.),,,,,,,,,,,,,,avramfy01
189,Vancouver Canucks,Parker Alcos,CA,D,18,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,alcospa01
190,Utah Hockey Club,Ludvig Lafton,NO,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,,laftolu01
191,New York Rangers,Rico Gredig,CH,LW,19,,Davos (Swiss),,,,,,,,,,,,,,grediri01
192,Edmonton Oilers,Dalyn Wakely,CA,C,20,,North Bay Battalion (OHL),,,,,,,,,,,,,,wakelda01
193,Florida Panthers,Hunter St. Martin,CA,LW,19,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,stmarhu01
194,San Jose Sharks,Yaroslav Korostelyov,RU,G,19,,Ska Saint Petersburg Jr. (Russia-Jr.),,,,,,,,,,,,,,korosya01
195,Tampa Bay Lightning,Joe Connor,US,LW,19,,Muskegon (USHL),,,,,,,,,,,,,,connojo01
196,Edmonton Oilers,William Nicholl,CA,C,18,,London Knights (OHL),,,,,,,,,,,,,,nichowi01
197,Vegas Golden Knights,Lucas Van Vliet,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,vanvllu01
198,Los Angeles Kings,James Reeder,US,RW,18,,Dubuque (USHL),,,,,,,,,,,,,,reedeja01
199,Tampa Bay Lightning,Noah Steen,NO,LW,20,,Mora (Sweden-2),,,,,,,,,,,,,,steenno01
200,Toronto Maple Leafs,Matt Lahey,CA,D,18,,Nanaimo (BCHL),,,,,,,,,,,,,,laheyma01
201,Florida Panthers,Denis Gabdrakhmanov,RU,G,19,,Tyumen Jr. (Russia-Jr.),,,,,,,,,,,,,,gabdrde01
202,Seattle Kraken,Jakub Fibigr,CZ,D,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,fibigja01
203,Detroit Red Wings,Austin Baker,US,LW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,bakerau01
204,Buffalo Sabres,Vasily Zelenov,RU,RW,18,,Rb Hockey Juniors (Austria-2),,,,,,,,,,,,,,zelenva01
205,Philadelphia Flyers,Austin Moline,US,D,18,,Shattuck-St. Mary'S (High-MN),,,,,,,,,,,,,,molinau01
206,Tampa Bay Lightning,Harrison Meneghin,CA,G,20,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,menegha01
207,Pittsburgh Penguins,Mac Swanson,DE,C,18,,Fargo (USHL),,,,,,,,,,,,,,swansma01
208,Detroit Red Wings,Fisher Scott,US,D,19,,Dubuque (USHL),,,,,,,,,,,,,,scottfi01
209,St. Louis Blues,Antoine Dorion,CA,C,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,,,dorioan01
210,Montreal Canadiens,Makar Khanin,RU,RW,19,,Dynamo St. Petersburg Jr. (Russia-Jr.),,,,,,,,,,,,,,khanima01
211,St. Louis Blues,Matvei Korotky,RU,C,18,,Ska Saint Petersburg Jr. (Russia-Jr.),,,,,,,,,,,,,,korotma01
212,Washington Capitals,Miroslav Satan,US,C,18,,Bratislava Jr. (Slovak-Jr.),,,,,,,,,,,,,,satanmi02
213,Nashville Predators,Erik Påhlsson,SE,C,20,,Dubuque (USHL),,,,,,,,,,,,,,phlsser01
214,Anaheim Ducks,Darels Uljanskis,LV,D,18,,Aik Jr. (Sweden-Jr.),,,,,,,,,,,,,,uljanda01
215,Colorado Avalanche,Christian Humphreys,US,C,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,humphch01
216,Toronto Maple Leafs,Sam McCue,CA,LW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,mccuesa01
217,Colorado Avalanche,Nikita Prishchepov,RU,C,20,2025,Victoriaville Tigres (QMJHL),10,0,0,0,0,0,,,,,,,-0.1,prishni01
