Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
17,Detroit Red Wings,Axel Sandin Pellikka,SE,D,18,2026,Skelleftea Jr. (Sweden-Jr.),68,7,14,21,-20,18,,,,,,,2.7,sandiax01
18,Winnipeg Jets,Colby Barlow,CA,LW,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,barloco01
19,Chicago Blackhawks,Oliver Moore,US,C,18,2026,Usa U-18 (U.S. NTDP),60,5,18,23,-17,23,,,,,,,1.1,mooreol01
20,Seattle Kraken,Eduard Sale,CZ,LW,18,,Brno (Czechia),,,,,,,,,,,,,,saleed01
21,Minnesota Wild,Charlie Stramel,US,C,18,,Wisconsin (Big Ten),,,,,,,,,,,,,,stramch01
22,Philadelphia Flyers,Oliver Bonk,CA,D,18,2026,London Knights (OHL),1,1,1,2,1,0,,,,,,,0.4,bonkol01
23,New York Rangers,Gabriel Perreault,CA,RW,18,2026,Usa U-18 (U.S. NTDP),54,12,15,27,-1,10,,,,,,,2.5,perrega01
24,Nashville Predators,Tanner Molendyk,CA,D,18,,Saskatoon Blades (WHL),,,,,,,,,,,,,,molenta01
25,St. Louis Blues,Otto Stenberg,SE,C,18,2026,Frolunda Jr. (Sweden-Jr.),32,3,7,10,3,5,,,,,,,0.7,stenbot01
26,San Jose Sharks,Quentin Musty,US,LW,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,mustyqu01
27,Colorado Avalanche,Calum Ritchie,CA,C,18,2026,Oshawa Generals (OHL),72,14,17,31,-21,22,,,,,,,2.3,ritchca01
28,Toronto Maple Leafs,Easton Cowan,CA,RW,18,2026,London Knights (OHL),66,11,18,29,-5,45,,,,,,,2.3,cowanea01
29,St. Louis Blues,Theo Lindstein,SE,D,18,2026,Brynas (Sweden),17,2,2,4,6,6,,,,,,,1.3,lindsth01
30,Carolina Hurricanes,Bradly Nadeau,CA,LW,18,2026,Penticton (BCHL),15,3,1,4,-2,2,,,,,,,0.3,nadeabr01
31,Colorado Avalanche,Mikhail Gulyayev,RU,D,18,,Omsk Jr. (Russia-Jr.),,,,,,,,,,,,,,gulyami01
32,Vegas Golden Knights,David Edstrom,SE,C,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,,edstrda01
33,Anaheim Ducks,Nico Myatovic,CA,LW,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,myatoni01
34,Columbus Blue Jackets,Gavin Brindley,US,C,18,2026,Michigan (Big Ten),57,6,7,13,2,8,,,,,,,0.9,brindga01
35,Chicago Blackhawks,Adam Gajan,SK,G,19,,Chippewa (NAHL),,,,,,,,,,,,,,gajanad01
36,San Jose Sharks,Kasper Halttunen,FI,RW,18,,Hifk (Finland),,,,,,,,,,,,,,halttka01
37,Tampa Bay Lightning,Ethan Gauthier,US,RW,18,,Sherbrooke Phoenix (QMJHL),,,,,,,,,,,,,,gauthet01
38,Arizona Coyotes,Michael Hrabal,CZ,G,18,,Omaha (USHL),,,,,,,,,,,,,,hrabami01
39,Buffalo Sabres,Anton Wahlberg,SE,C,18,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,,,wahlban01
40,Washington Capitals,Andrew Cristall,CA,LW,18,,Kelowna Rockets (WHL),,,,,,,,,,,,,,cristan01
