Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
89,Vancouver Canucks,Sawyer Mynio,CA,D,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,myniosa01
90,New York Rangers,Drew Fortescue,US,D,18,2026,Usa U-18 (U.S. NTDP),9,0,2,2,4,4,,,,,,,0.6,fortedr01
91,Pittsburgh Penguins,Emil Pieniniemi,FI,D,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,pieniem01
92,Boston Bruins,Christopher Pelosi,US,C,18,,Sioux Falls (USHL),,,,,,,,,,,,,,pelosch01
93,Chicago Blackhawks,Jiri Felcman,CZ,C,18,,Langnau Jr. (SWISS-JR.),,,,,,,,,,,,,,felcmji01
94,Carolina Hurricanes,Jayden Perron,CA,RW,18,,Chicago (USHL),,,,,,,,,,,,,,perroja01
95,Philadelphia Flyers,Denver Barkey,CA,C,18,2026,London Knights (OHL),43,5,12,17,-6,16,,,,,,,1.0,barkede01
96,Vegas Golden Knights,Arttu Karki,FI,D,18,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,karkiar01
97,Anaheim Ducks,Konnor Smith,CA,D,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,smithko01
98,Columbus Blue Jackets,Andrew Strathmann,US,D,18,,Youngstown (USHL),,,,,,,,,,,,,,stratan01
99,Chicago Blackhawks,Alex Pharand,CA,C,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,pharaal01
100,Carolina Hurricanes,Alexander Rykov,RU,RW,18,,Chelmet (RUSSIA-2),,,,,,,,,,,,,,rykoval01
101,Montreal Canadiens,Florian Xhekaj,CA,LW,19,2026,Hamilton Bulldogs (OHL),5,0,1,1,-1,7,,,,,,,0.0,xhekafl01
102,Arizona Coyotes,Terrell Goldsmith,CA,D,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,,,goldste01
103,Philadelphia Flyers,Cole Knuble,US,C,19,,Fargo (USHL),,,,,,,,,,,,,,knublco01
