Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,upload
653,Mikhail Shtalenkov,34,PHX,G,15,0,3,3,0,2,0,0,0,0,,,,0,,904:00,60:16,,shtalmi01
653,Mikhail Shtalenkov,34,FLA,G,15,0,0,0,0,2,0,0,0,0,,,,0,,882:06,58:48,,shtalmi01
654,Brian Skrudland,36,DAL,C,22,1,2,3,0,22,1,0,0,0,2,0,0,16,6.3,184:57,8:24,,skrudbr01
655,Martin Sonnenberg,22,PIT,LW,14,1,2,3,0,0,0,1,0,0,2,0,0,19,5.3,104:01,7:26,,sonnema01
656,Jeff Toms,25,WSH,LW,20,1,2,3,-1,4,1,0,0,1,2,0,0,18,5.6,168:35,8:26,,tomsje01
657,Sergei Varlamov,21,CGY,RW,7,3,0,3,0,0,3,0,0,1,0,0,0,11,27.3,72:31,10:22,,varlase01
658,Mike Vernon,36,2TM,G,49,0,3,3,0,2,0,0,0,0,,,,0,,2791:20,56:58,,vernomi01
658,Mike Vernon,36,SJS,G,15,0,0,0,0,0,0,0,0,0,,,,0,,772:18,51:29,,vernomi01
658,Mike Vernon,36,FLA,G,34,0,3,3,0,2,0,0,0,0,,,,0,,2019:02,59:23,,vernomi01
659,Jason Ward,21,MTL,RW,32,2,1,3,-1,10,1,1,0,0,1,0,0,24,8.3,293:35,9:10,,wardja01
660,Rhett Warrener,24,BUF,D,61,0,3,3,18,89,0,0,0,0,3,0,0,68,0.0,1210:57,19:51,,warrerh01
661,Colin White,22,NJD,D,21,2,1,3,3,40,2,0,0,1,1,0,0,29,6.9,309:55,14:45,,whiteco01
662,Steve Bégin,21,CGY,C,13,1,1,2,-3,18,1,0,0,0,1,0,0,3,33.3,93:49,7:13,,beginst01
663,Wade Belak,23,CGY,D,40,0,2,2,-4,122,0,0,0,0,2,0,0,11,0.0,302:03,7:33,,belakwa01
664,Eric Brewer,20,NYI,D,26,0,2,2,-11,20,0,0,0,0,2,0,0,30,0.0,482:21,18:33,,breweer01
665,Daniel Brière,22,PHX,C,13,1,1,2,0,0,1,0,0,0,1,0,0,9,11.1,99:57,7:41,,brierda01
666,Travis Brigley,22,CGY,LW,17,0,2,2,-6,4,0,0,0,0,1,0,1,17,0.0,242:06,14:14,,brigltr01
667,Shawn Burr,33,TBL,LW,4,0,2,2,2,0,0,0,0,0,2,0,0,6,0.0,45:52,11:28,,burrsh01
668,Kyle Calder,21,CHI,C,8,1,1,2,-3,2,1,0,0,0,1,0,0,5,20.0,79:51,9:59,,caldeky01
669,Vladimir Chebaturkin,24,NYI,D,17,1,1,2,-3,8,1,0,0,0,1,0,0,9,11.1,288:17,16:57,,chebavl01
670,Murray Craven,35,SJS,C,19,0,2,2,-2,4,0,0,0,0,1,1,0,18,0.0,248:51,13:06,,cravemu01
671,Jassen Cullimore,27,TBL,D,46,1,1,2,-12,66,1,0,0,0,1,0,0,23,4.3,718:47,15:38,,cullija01
672,Nathan Dempsey,25,TOR,LW,6,0,2,2,2,2,0,0,0,0,2,0,0,3,0.0,81:57,13:40,,dempsna01
673,Marc Denis,22,COL,G,23,0,2,2,0,6,0,0,0,0,,,,0,,1203:28,52:19,,denisma01
674,Mike Eagles,36,WSH,LW,25,2,0,2,-7,15,2,0,0,1,0,0,0,13,15.4,190:27,7:37,,eaglemi01
675,Mark Eaton,22,PHI,D,27,1,1,2,1,8,1,0,0,1,0,1,0,25,4.0,493:48,18:17,,eatonma01
676,Matt Elich,20,TBL,RW,8,1,1,2,-1,0,1,0,0,0,1,0,0,5,20.0,48:56,6:07,,elichma01
677,Brad Ference,20,FLA,D,13,0,2,2,2,46,0,0,0,0,2,0,0,10,0.0,177:38,13:40,,ferenbr01
678,Manny Fernandez,25,DAL,G,24,0,2,2,0,2,0,0,0,0,,,,0,,1352:57,56:22,Calder-19,fernama01
679,Stéphane Fiset,29,LAK,G,47,0,2,2,0,4,0,0,0,0,,,,0,,2591:47,55:09,,fisetst01
680,Denis Gauthier,23,CGY,D,39,1,1,2,-4,50,1,0,0,0,0,0,1,29,3.4,754:28,19:21,,gauthde01
681,Benoît Gratton,23,CGY,LW,10,0,2,2,1,10,0,0,0,0,2,0,0,4,0.0,82:34,8:15,,grattbe01
682,Sean Haggerty,23,NYI,LW,5,1,1,2,3,4,1,0,0,0,1,0,0,2,50.0,48:12,9:38,,haggese01
683,Brett Hauer,28,EDM,D,5,0,2,2,-2,2,0,0,0,0,2,0,0,8,0.0,73:59,14:48,,hauerbr01
684,Dwayne Hay,22,2TM,RW,19,1,1,2,-2,4,1,0,0,0,1,0,0,14,7.1,118:24,6:14,,haydw01
684,Dwayne Hay,22,FLA,RW,6,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,39:37,6:36,,haydw01
684,Dwayne Hay,22,TBL,RW,13,1,1,2,0,2,1,0,0,0,1,0,0,11,9.1,78:47,6:04,,haydw01
685,Guy Hebert,33,MDA,G,68,0,2,2,0,2,0,0,0,0,,,,0,,3975:58,58:28,,hebergu01
686,Bryan Helmer,27,STL,D,15,1,1,2,-3,10,0,1,0,1,1,0,0,19,5.3,243:43,16:15,,helmebr01
687,Matt Higgins,22,MTL,C,25,0,2,2,-6,4,0,0,0,0,2,0,0,9,0.0,198:43,7:57,,higgima01
688,Olaf Kölzig,29,WSH,G,73,0,2,2,0,6,0,0,0,0,,,,0,,4370:50,59:52,ASGASnhl-1Hart-4Vezina-1,kolziol01
689,Zenith Komarniski,21,VAN,D,18,1,1,2,-1,8,1,0,0,0,1,0,0,21,4.8,290:15,16:08,,komarze01
690,Curtis Leschyshyn,30,CAR,D,53,0,2,2,-19,14,0,0,0,0,2,0,0,31,0.0,942:57,17:47,,leschcu01
691,Marquis Mathieu,26,BOS,C,6,0,2,2,-2,4,0,0,0,0,2,0,0,3,0.0,36:22,6:04,,mathima01
692,Steve McCarthy,18,CHI,D,5,1,1,2,0,4,0,1,0,0,0,1,0,4,25.0,75:47,15:09,,mccarst01
693,Marcus Nilson,21,FLA,RW,9,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,71:20,7:56,,nilsoma01
694,Félix Potvin,28,2TM,G,56,0,2,2,0,4,0,0,0,0,,,,0,,3238:57,57:50,,potvife01
694,Félix Potvin,28,NYI,G,22,0,0,0,0,2,0,0,0,0,,,,0,,1272:43,57:51,,potvife01
694,Félix Potvin,28,VAN,G,34,0,2,2,0,2,0,0,0,0,,,,0,,1966:14,57:50,,potvife01
695,Pascal Rhéaume,26,STL,C,7,1,1,2,-2,6,1,0,0,0,1,0,0,5,20.0,70:55,10:08,,rheaupa01
696,Mike Ribeiro,19,MTL,C,19,1,1,2,-6,2,0,1,0,0,0,1,0,18,5.6,202:40,10:40,,ribeimi01
697,Barry Richter,29,MTL,D,23,0,2,2,-5,8,0,0,0,0,1,1,0,13,0.0,281:37,12:15,,richtba01
698,Byron Ritchie,22,CAR,C,26,0,2,2,-10,17,0,0,0,0,1,1,0,13,0.0,192:31,7:24,,ritchby01
699,Marc Rodgers,27,DET,RW,21,1,1,2,-3,10,1,0,0,0,1,0,0,17,5.9,166:19,7:55,,rodgema01
700,Yves Sarault,27,OTT,LW,11,0,2,2,-3,7,0,0,0,0,2,0,0,13,0.0,99:33,9:03,,sarauyv01
701,Garth Snow,30,VAN,G,32,0,2,2,0,8,0,0,0,0,,,,0,,1712:17,53:31,,snowga01
702,Andy Sutton,24,SJS,D,40,1,1,2,-5,80,1,0,0,0,1,0,0,29,3.4,518:15,12:57,,suttoan01
703,Ken Sutton,30,NJD,D,6,0,2,2,2,2,0,0,0,0,1,1,0,10,0.0,104:03,17:21,,suttoke01
704,Chris Taylor,27,BUF,C,11,1,1,2,-2,2,1,0,0,0,1,0,0,15,6.7,119:49,10:54,,tayloch01
705,Alexei Tezikov,21,WSH,D,23,1,1,2,-2,2,0,1,0,1,0,1,0,18,5.6,241:31,10:30,,tezikal01
706,Vitaly Vishnevski,19,MDA,D,31,1,1,2,0,26,0,1,0,0,1,0,0,17,5.9,516:08,16:39,,vishnvi01
707,Johan Witehall,28,NYR,LW,9,1,1,2,0,2,1,0,0,0,1,0,0,6,16.7,75:57,8:26,,witehjo01
708,Zarley Zalapski,31,PHI,D,12,0,2,2,0,6,0,0,0,0,2,0,0,6,0.0,170:21,14:12,,zalapza01
709,Rob Zettler,31,WSH,D,12,0,2,2,-1,19,0,0,0,0,2,0,0,15,0.0,184:25,15:22,,zettlro01
710,Greg Andrusak,30,TOR,D,9,0,1,1,1,4,0,0,0,0,1,0,0,5,0.0,165:49,18:25,,andrugr01
711,Kaspars Astašenko,24,TBL,D,8,0,1,1,-2,4,0,0,0,0,1,0,0,3,0.0,134:23,16:48,,astaska01
712,Jean-Sébastien Aubin,22,PIT,G,51,0,1,1,0,2,0,0,0,0,,,,0,,2788:50,54:41,Calder-7,aubinje01
713,Maxim Balmochnykh,20,MDA,LW,6,0,1,1,2,2,0,0,0,0,1,0,0,6,0.0,40:24,6:44,,balmoma01
714,Nolan Baumgartner,23,WSH,D,8,0,1,1,1,2,0,0,0,0,0,1,0,6,0.0,84:11,10:31,,baumgno01
715,Zac Bierk,23,TBL,G,12,0,1,1,0,0,0,0,0,0,,,,0,,508:42,42:24,,bierkza01
716,Doug Bodger,33,VAN,D,13,0,1,1,-6,4,0,0,0,0,1,0,0,11,0.0,211:45,16:17,,bodgedo01
717,Brian Boucher,23,PHI,G,35,0,1,1,0,4,0,0,0,0,,,,0,,2037:35,58:13,AR-1Calder-6Vezina-9,bouchbr01
718,Kelly Chase,32,STL,RW,25,0,1,1,-5,118,0,0,0,0,1,0,0,14,0.0,193:59,7:46,,chaseke01
719,Brett Clark,23,ATL,D,14,0,1,1,-12,4,0,0,0,0,1,0,0,13,0.0,235:53,16:51,,clarkbr01
720,Chris Clark,23,CGY,RW,22,0,1,1,-3,14,0,0,0,0,1,0,0,17,0.0,198:51,9:02,,clarkch01
721,Jason Dawe,26,NYR,RW,3,0,1,1,0,2,0,0,0,0,1,0,0,8,0.0,40:46,13:35,,daweja01
722,Jason Doig,23,NYR,D,7,0,1,1,-2,22,0,0,0,0,1,0,0,3,0.0,61:50,8:50,,doigja01
723,Steve Dubinsky,29,CGY,C,23,0,1,1,-12,4,0,0,0,0,1,0,0,29,0.0,277:47,12:05,,dubinst01
724,Gordie Dwyer,22,TBL,LW,24,0,1,1,-6,135,0,0,0,0,1,0,0,7,0.0,118:36,4:57,,dwyergo01
725,Dallas Eakins,32,NYI,D,2,0,1,1,3,2,0,0,0,0,1,0,0,4,0.0,42:56,21:28,,eakinda01
726,Miika Elomo,22,WSH,LW,2,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,22:23,11:12,,elomomi01
727,Peter Ferraro,27,BOS,RW,5,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,40:57,8:11,,ferrape01
728,John Grahame,24,BOS,G,24,0,1,1,0,8,0,0,0,0,,,,0,,1344:10,56:00,,grahajo01
729,Denis Hamel,22,BUF,LW,3,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,29:16,9:45,,hamelde01
730,Dominik Hašek,35,BUF,G,35,0,1,1,0,12,0,0,0,0,,,,0,,2066:26,59:02,Hart-17Vezina-8,hasekdo01
731,Glenn Healy,37,TOR,G,20,0,1,1,0,2,0,0,0,0,,,,0,,1163:30,58:11,,healygl01
732,Jason Holland,23,BUF,D,9,0,1,1,0,0,0,0,0,0,0,1,0,8,0.0,139:39,15:31,,hollaja01
733,Artūrs Irbe,32,CAR,G,75,0,1,1,0,14,0,0,0,0,,,,0,,4344:55,57:56,ASnhl-8,irbear01
734,Curtis Joseph,32,TOR,G,63,0,1,1,0,14,0,0,0,0,,,,1,0.0,3801:05,60:20,ASGASnhl-5Hart-11Vezina-3Clancy-1,josepcu01
735,Darren Langdon,29,NYR,LW,21,0,1,1,-2,26,0,0,0,0,1,0,0,13,0.0,117:40,5:36,,langdda01
736,Warren Luhning,24,DAL,RW,10,0,1,1,-2,13,0,0,0,0,1,0,0,7,0.0,103:26,10:21,,luhniwa01
737,Adam Mair,20,TOR,C,8,1,0,1,-1,6,1,0,0,0,0,0,0,7,14.3,92:24,11:33,,mairad01
738,Stewart Malgunas,29,CGY,D,4,0,1,1,1,2,0,0,0,0,1,0,0,0,,51:48,12:57,,malgust01
739,Christian Matte,25,COL,RW,5,0,1,1,-2,4,0,0,0,0,0,1,0,1,0.0,43:03,8:37,,mattech01
740,Trent McCleary,27,MTL,C,12,1,0,1,2,4,1,0,0,0,0,0,0,4,25.0,74:48,6:14,,mccletr01
741,Kirk McLean,33,NYR,G,22,0,1,1,0,2,0,0,0,0,,,,0,,1205:40,54:48,,mcleaki01
742,Brantt Myhres,25,SJS,RW,13,0,1,1,0,97,0,0,0,0,1,0,0,2,0.0,39:39,3:03,,myhrebr01
743,Rumun Ndur,24,ATL,D,27,1,0,1,-17,71,1,0,0,0,0,0,0,6,16.7,356:29,13:12,,ndurru01
744,David Oliver,28,PHX,RW,9,1,0,1,0,2,0,1,0,0,0,0,0,6,16.7,68:38,7:38,,oliveda01
745,Chris Osgood,27,DET,G,53,0,1,1,0,18,0,0,0,0,,,,0,,3147:32,59:23,ASnhl-6,osgooch01
746,Scott Pearson,30,NYI,LW,2,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,26:29,13:15,,pearssc01
747,Domenic Pittis,25,BUF,C,7,1,0,1,1,6,1,0,0,0,0,0,0,6,16.7,80:09,11:27,,pittido01
748,Jason Podollan,23,LAK,RW,1,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,16:13,16:13,,podolja01
749,Martin Procházka,27,ATL,RW,3,0,1,1,-1,0,0,0,0,0,1,0,0,5,0.0,49:51,16:37,,prochma01
750,Sean Pronger,27,BOS,C,11,0,1,1,-4,13,0,0,0,0,1,0,0,7,0.0,118:34,10:47,,prongse01
751,Dale Rominski,24,TBL,RW,3,0,1,1,1,2,0,0,0,0,1,0,0,0,,25:10,8:23,,rominda01
752,Bob Rouse,35,SJS,D,26,0,1,1,-3,19,0,0,0,0,0,0,1,20,0.0,388:04,14:56,,rousebo01
753,Jarkko Ruutu,24,VAN,LW,8,0,1,1,-1,6,0,0,0,0,1,0,0,4,0.0,70:15,8:47,,ruutuja01
754,Tommy Salo,28,EDM,G,70,0,1,1,0,8,0,0,0,0,,,,0,,4164:00,59:29,ASGASnhl-7Vezina-6,saloto01
755,Oleg Saprykin,18,CGY,C,4,0,1,1,-4,2,0,0,0,0,0,1,0,2,0.0,50:20,12:35,,sapryol01
756,Ray Schultz,23,NYI,D,9,0,1,1,1,30,0,0,0,0,1,0,0,2,0.0,128:41,14:18,,schulra01
757,Steve Shields,27,SJS,G,67,0,1,1,0,29,0,0,0,0,,,,0,,3796:38,56:40,,shielst01
758,Reid Simpson,30,TBL,LW,26,1,0,1,-3,103,1,0,0,0,0,0,0,13,7.7,116:06,4:28,,simpsre01
759,P.J. Stock,24,NYR,C,11,0,1,1,1,11,0,0,0,0,1,0,0,2,0.0,68:25,6:13,,stockpj01
760,Jamie Storr,24,LAK,G,42,0,1,1,0,4,0,0,0,0,,,,0,,2205:33,52:31,,storrja01
761,Dan Trebil,25,PIT,D,3,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,37:40,12:33,,trebida01
762,Darren Turcotte,31,NSH,C,9,0,1,1,0,4,0,0,0,0,1,0,0,13,0.0,82:59,9:13,,turcoda01
763,Roman Turek,29,STL,G,67,0,1,1,0,4,0,0,0,0,,,,0,,3960:28,59:07,ASGASnhl-2Hart-6Jennings-1Vezina-2,turekro01
764,John Vanbiesbrouck,36,PHI,G,50,0,1,1,0,6,0,0,0,0,,,,0,,2949:42,59:00,,vanbijo01
765,Ryan VandenBussche,26,CHI,RW,52,0,1,1,-3,143,0,0,0,0,0,1,0,19,0.0,292:20,5:37,,vandery01
766,Herberts Vasiļjevs,23,ATL,C,7,1,0,1,-3,4,1,0,0,0,0,0,0,2,50.0,65:04,9:18,,vasilhe01
767,Tomáš Vokoun,23,NSH,G,33,0,1,1,0,8,0,0,0,0,,,,0,,1878:55,56:56,,vokouto01
768,Kevin Weekes,24,2TM,G,56,0,1,1,0,0,0,0,0,0,,,,1,0.0,3012:06,53:47,,weekeke01
768,Kevin Weekes,24,VAN,G,20,0,0,0,0,0,0,0,0,0,,,,0,,986:32,49:20,,weekeke01
768,Kevin Weekes,24,NYI,G,36,0,1,1,0,0,0,0,0,0,,,,1,0.0,2025:34,56:16,,weekeke01
769,Todd White,24,2TM,C,4,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,44:28,11:07,,whiteto02
769,Todd White,24,CHI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:02,13:02,,whiteto02
769,Todd White,24,PHI,C,3,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,31:26,10:29,,whiteto02
770,Ken Wregget,35,DET,G,29,0,1,1,0,0,0,0,0,0,,,,0,,1578:43,54:26,,wreggke01
771,Bryan Adams,22,ATL,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21:53,10:57,,adamsbr01
772,Johnathan Aitken,21,BOS,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,56:50,18:57,,aitkejo01
773,Keith Aldridge,26,DAL,D,4,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,44:21,11:05,,aldrike01
774,Derek Armstrong,26,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3:10,3:10,,armstde01
775,Frank Banham,24,MDA,RW,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20:20,6:47,,banhafr01
776,Tom Barrasso,34,2TM,G,25,0,0,0,0,6,0,0,0,0,,,,0,,1287:55,51:31,,barrato01
776,Tom Barrasso,34,PIT,G,18,0,0,0,0,6,0,0,0,0,,,,0,,869:34,48:19,,barrato01
776,Tom Barrasso,34,OTT,G,7,0,0,0,0,0,0,0,0,0,,,,0,,418:21,59:46,,barrato01
777,Andrei Bashkirov,29,MTL,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:19,5:10,,bashkan01
778,Derek Bekar,24,STL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5:14,5:14,,bekarde01
779,Andy Berenzweig,22,NSH,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,35:03,17:32,,berenbu01
780,Éric Bertrand,24,2TM,LW,12,0,0,0,-6,4,0,0,0,0,0,0,0,12,0.0,110:33,9:13,,bertrer01
780,Éric Bertrand,24,NJD,LW,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,31:06,7:47,,bertrer01
780,Éric Bertrand,24,ATL,LW,8,0,0,0,-5,4,0,0,0,0,0,0,0,11,0.0,79:27,9:56,,bertrer01
781,Craig Billington,33,WSH,G,13,0,0,0,0,0,0,0,0,0,,,,0,,611:21,47:02,,billicr01
782,Martin Biron,22,BUF,G,41,0,0,0,0,6,0,0,0,0,,,,0,,2228:57,54:22,Calder-10,bironma01
783,Eric Boguniecki,24,FLA,C,4,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,34:19,8:35,,boguner01
784,Alexandre Boikov,24,NSH,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17:02,8:31,,boikoal01
785,Ryan Bonni,20,VAN,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28:52,9:37,,bonniry01
786,Dennis Bonvie,26,PIT,RW,28,0,0,0,-2,80,0,0,0,0,0,0,0,6,0.0,90:30,3:14,,bonvide01
787,Philippe Boucher,26,LAK,D,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17:04,17:04,,bouchph01
788,Nick Boynton,21,BOS,D,5,0,0,0,-5,0,0,0,0,0,0,0,0,6,0.0,106:44,21:21,,boyntni01
789,Fred Brathwaite,27,CGY,G,61,0,0,0,0,4,0,0,0,0,,,,0,,3448:14,56:32,,brathfr01
790,Kevin Brown,25,EDM,RW,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,58:27,8:21,,brownke03
791,Sean Burke,33,2TM,G,42,0,0,0,0,12,0,0,0,0,,,,0,,2492:31,59:21,,burkese01
791,Sean Burke,33,FLA,G,7,0,0,0,0,2,0,0,0,0,,,,0,,418:06,59:44,,burkese01
791,Sean Burke,33,PHX,G,35,0,0,0,0,10,0,0,0,0,,,,0,,2074:25,59:16,,burkese01
792,Sven Butenschön,23,PIT,D,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,49:16,16:25,,butensv01
793,Viacheslav Butsayev,29,2TM,C,5,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,45:21,9:04,,butsavi01
793,Viacheslav Butsayev,29,TBL,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17:23,8:42,,butsavi01
793,Viacheslav Butsayev,29,OTT,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27:58,9:19,,butsavi01
794,Jim Campbell,26,STL,RW,2,0,0,0,0,9,0,0,0,0,0,0,0,6,0.0,30:33,15:17,,campbji01
795,Shawn Chambers,33,DAL,D,4,0,0,0,-2,4,0,0,0,0,0,0,0,2,0.0,91:54,22:59,,chambsh01
796,Éric Charron,30,CGY,D,21,0,0,0,-3,37,0,0,0,0,0,0,0,8,0.0,220:05,10:29,,charrer01
797,Ryan Christie,21,DAL,LW,5,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12:25,2:29,,chrisry01
798,Marián Cisár,21,NSH,RW,3,0,0,0,-2,4,0,0,0,0,0,0,0,2,0.0,24:54,8:18,,cisarma01
799,Dan Cloutier,23,TBL,G,52,0,0,0,0,29,0,0,0,0,,,,0,,2492:24,47:56,,cloutda01
800,Patrick Côté,25,NSH,LW,21,0,0,0,-7,70,0,0,0,0,0,0,0,8,0.0,109:43,5:13,,cotepa01
801,Marcel Cousineau,26,LAK,G,5,0,0,0,0,0,0,0,0,0,,,,0,,170:38,34:08,,cousima01
802,Phil Crowe,29,NSH,RW,4,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,16:23,4:06,,croweph01
803,Byron Dafoe,28,BOS,G,41,0,0,0,0,0,0,0,0,0,,,,0,,2306:38,56:16,,dafoeby01
804,Aaron Downey,25,BOS,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8:31,8:31,,downeaa01
805,Dave Duerden,22,FLA,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3:09,1:35,,duerdda01
806,Mike Dunham,27,NSH,G,52,0,0,0,0,6,0,0,0,0,,,,0,,3077:05,59:10,,dunhami01
807,John Emmons,25,OTT,C,10,0,0,0,-2,6,0,0,0,0,0,0,0,3,0.0,74:29,7:27,,emmonjo01
808,Robert Esche,22,PHX,G,8,0,0,0,0,4,0,0,0,0,,,,1,0.0,408:20,51:03,,eschero01
809,Bob Essensa,35,PHX,G,30,0,0,0,0,0,0,0,0,0,,,,0,,1573:05,52:26,,essenbo01
810,Scott Fankhouser,24,ATL,G,16,0,0,0,0,4,0,0,0,0,,,,0,,919:51,57:29,,fankhsc01
811,Rico Fata,19,CGY,RW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20:12,10:06,,fatari01
812,Craig Ferguson,29,FLA,RW,3,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16:42,5:34,,fergucr01
813,Éric Fichaud,24,CAR,G,9,0,0,0,0,2,0,0,0,0,,,,0,,489:58,54:26,,fichaer01
814,Mark Fitzpatrick,31,CAR,G,3,0,0,0,0,0,0,0,0,0,,,,0,,107:05,35:42,,fitzpma01
815,Wade Flaherty,32,NYI,G,4,0,0,0,0,0,0,0,0,0,,,,0,,181:46,45:27,,flahewa01
816,Mike Fountain,28,OTT,G,1,0,0,0,0,0,0,0,0,0,,,,0,,15:30,15:30,,fountmi01
817,Kyle Freadrich,21,TBL,RW,10,0,0,0,-1,39,0,0,0,0,0,0,0,0,,21:24,2:08,,freadky01
818,Grant Fuhr,37,CGY,G,23,0,0,0,0,2,0,0,0,0,,,,0,,1204:52,52:23,,fuhrgr01
819,Jean-Sébastien Giguère,22,CGY,G,7,0,0,0,0,2,0,0,0,0,,,,0,,330:17,47:11,,gigueje01
820,Erich Goldmann,23,OTT,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9:44,9:44,,goldmer01
821,Daniel Goneau,24,NYR,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,14:26,14:26,,goneada01
822,Jean-Luc Grand-Pierre,22,BUF,D,11,0,0,0,-1,15,0,0,0,0,0,0,0,10,0.0,167:03,15:11,,grandje01
823,John Gruden,29,OTT,D,9,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,148:19,16:29,,grudejo01
824,Jeff Hackett,31,MTL,G,56,0,0,0,0,4,0,0,0,0,,,,0,,3300:45,58:57,Vezina-10,hackeje01
825,Tavis Hansen,24,PHX,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21:27,4:17,,hanseta01
826,Shawn Heins,26,SJS,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,10:57,10:57,,heinssh01
827,Sami Helenius,26,COL,D,33,0,0,0,-5,46,0,0,0,0,0,0,0,6,0.0,233:02,7:04,,helensa01
828,Chris Herperger,25,CHI,C,9,0,0,0,-2,5,0,0,0,0,0,0,0,2,0.0,68:52,7:39,,herpech01
829,Milan Hnilička,26,NYR,G,2,0,0,0,0,0,0,0,0,0,,,,0,,86:07,43:04,,hnilimi01
830,Kevin Hodson,27,TBL,G,24,0,0,0,0,2,0,0,0,0,,,,0,,768:50,32:02,,hodsoke01
831,Doug Houda,33,BUF,D,1,0,0,0,0,12,0,0,0,0,0,0,0,0,,9:10,9:10,,houdado01
832,Bill Huard,32,LAK,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,2:14,2:14,,huardbi01
833,Mike Hurlbut,33,BUF,D,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,12:25,12:25,,hurlbmi01
834,Jani Hurme,25,OTT,G,1,0,0,0,0,0,0,0,0,0,,,,0,,60:00,60:00,,hurmeja01
835,Jamie Huscroft,33,WSH,D,7,0,0,0,-5,11,0,0,0,0,0,0,0,4,0.0,74:19,10:37,,huscrja01
836,John Jakopin,24,FLA,D,17,0,0,0,-2,26,0,0,0,0,0,0,0,1,0.0,203:27,11:58,,jakopjo01
837,Dmitri Kalinin,19,BUF,D,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,67:32,16:53,,kalindm01
838,Steve Kelly,23,NJD,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4:28,4:28,,kellyst01
839,Chris Kenady,26,NYR,RW,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14:54,7:27,,kenadch01
840,Trevor Kidd,27,FLA,G,28,0,0,0,0,0,0,0,0,0,,,,0,,1573:56,56:13,,kiddtr01
841,Geordie Kinnear,26,ATL,D,4,0,0,0,-1,13,0,0,0,0,0,0,0,2,0.0,73:49,18:27,,kinnege01
842,Dieter Kochan,25,TBL,G,5,0,0,0,0,0,0,0,0,0,,,,0,,238:04,47:37,,kochadi01
843,Paul Kruse,29,BUF,LW,11,0,0,0,-2,43,0,0,0,0,0,0,0,7,0.0,68:44,6:15,,krusepa01
844,Jean-François Labbé,27,NYR,G,1,0,0,0,0,0,0,0,0,0,,,,0,,60:00,60:00,,labbeje01
845,Dan LaCouture,22,EDM,LW,5,0,0,0,0,10,0,0,0,0,0,0,0,2,0.0,35:11,7:02,,lacouda01
846,Daniel Lacroix,30,NYI,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10:40,10:40,,lacroda01
