Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,upload
554,Brent Gilchrist,32,DET,LW,24,4,2,6,1,24,4,0,0,0,2,0,0,33,12.1,271:47,11:19,,gilchbr01
555,David Harlock,28,ATL,D,44,0,6,6,-8,36,0,0,0,0,6,0,0,29,0.0,865:57,19:41,,harloda01
556,Josh Holden,22,VAN,C,6,1,5,6,2,2,1,0,0,0,5,0,0,5,20.0,62:30,10:25,,holdejo01
557,Mark Janssens,31,CHI,C,36,0,6,6,-2,73,0,0,0,0,6,0,0,14,0.0,259:18,7:12,,janssma01
558,Kris King,33,TOR,LW,39,2,4,6,4,55,2,0,0,0,4,0,0,24,8.3,332:02,8:31,,kingkr01
559,Jason Krog,24,NYI,C,17,2,4,6,-1,6,1,1,0,0,2,2,0,22,9.1,170:57,10:03,,krogja01
560,Filip Kuba,23,FLA,D,13,1,5,6,-3,2,0,1,0,1,2,3,0,16,6.3,180:13,13:52,,kubafi01
561,Scott Lachance,27,MTL,D,57,0,6,6,-4,22,0,0,0,0,6,0,0,41,0.0,1013:12,17:47,,lachasc01
562,Darryl Laplante,22,DET,C,30,0,6,6,-2,10,0,0,0,0,6,0,0,19,0.0,287:15,9:35,,laplada01
563,Mark Lawrence,28,NYI,RW,29,1,5,6,-13,26,1,0,0,0,1,4,0,33,3.0,404:35,13:57,,lawrema01
564,Grant Ledyard,38,OTT,D,40,2,4,6,-3,8,2,0,0,1,4,0,0,42,4.8,590:13,14:45,,ledyagr01
565,Richard Lintner,22,NSH,D,33,1,5,6,-6,22,1,0,0,0,3,2,0,58,1.7,490:12,14:51,,lintnri01
566,Ladislav Nagy,20,STL,RW,11,2,4,6,2,2,1,1,0,0,3,1,0,15,13.3,135:34,12:19,,nagyla01
567,Peter Popovic,31,PIT,D,54,1,5,6,-8,30,1,0,0,0,4,1,0,23,4.3,874:43,16:12,,popovpe01
568,Brandon Smith,26,BOS,D,22,2,4,6,-4,10,2,0,0,0,3,1,0,24,8.3,428:33,19:29,,smithbr04
569,Brent Sopel,23,VAN,D,18,2,4,6,9,12,2,0,0,1,4,0,0,11,18.2,189:16,10:31,,sopelbr01
570,Radoslav Suchý,23,PHX,D,60,0,6,6,2,16,0,0,0,0,5,1,0,36,0.0,909:12,15:09,,suchyra01
571,Peter White,30,PHI,LW,21,1,5,6,1,6,1,0,0,0,5,0,0,24,4.2,274:28,13:04,,whitepe01
572,Wendel Clark,33,2TM,LW,33,4,2,6,-5,34,4,0,0,1,2,0,0,63,6.3,400:54,12:09,,clarkwe01
572,Wendel Clark,33,CHI,LW,13,2,0,2,-2,13,2,0,0,0,0,0,0,27,7.4,164:11,12:38,,clarkwe01
572,Wendel Clark,33,TOR,LW,20,2,2,4,-3,21,2,0,0,1,2,0,0,36,5.6,236:43,11:50,,clarkwe01
573,Rich Pilon,31,2TM,D,54,0,6,6,-2,70,0,0,0,0,6,0,0,16,0.0,889:03,16:28,,pilonri01
573,Rich Pilon,31,NYI,D,9,0,2,2,-2,34,0,0,0,0,2,0,0,0,,147:10,16:21,,pilonri01
573,Rich Pilon,31,NYR,D,45,0,4,4,0,36,0,0,0,0,4,0,0,16,0.0,741:53,16:29,,pilonri01
574,Cory Sarich,21,2TM,D,59,0,6,6,-6,77,0,0,0,0,4,1,1,69,0.0,1095:16,18:34,,saricco01
574,Cory Sarich,21,BUF,D,42,0,4,4,2,35,0,0,0,0,3,1,0,49,0.0,743:29,17:42,,saricco01
574,Cory Sarich,21,TBL,D,17,0,2,2,-8,42,0,0,0,0,1,0,1,20,0.0,351:47,20:42,,saricco01
575,Jason Botterill,23,2TM,LW,27,1,4,5,-11,17,1,0,0,1,4,0,0,19,5.3,297:43,11:02,,botteja01
575,Jason Botterill,23,ATL,LW,25,1,4,5,-7,17,1,0,0,1,4,0,0,17,5.9,281:43,11:16,,botteja01
575,Jason Botterill,23,CGY,LW,2,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,16:00,8:00,,botteja01
576,Joël Bouchard,26,2TM,D,54,1,4,5,-10,25,1,0,0,0,4,0,0,61,1.6,991:20,18:21,,bouchjo01
576,Joël Bouchard,26,NSH,D,52,1,4,5,-11,23,1,0,0,0,4,0,0,60,1.7,971:50,18:41,,bouchjo01
576,Joël Bouchard,26,DAL,D,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19:30,9:45,,bouchjo01
577,Martin Brodeur,27,NJD,G,72,1,4,5,0,16,1,0,0,1,,,,1,100.0,4311:54,59:53,ASGASnhl-3Hart-12Vezina-5,brodema01
578,Brian Campbell,20,BUF,D,12,1,4,5,-2,4,1,0,0,0,2,2,0,10,10.0,189:39,15:48,,campbbr02
579,Daniel Cleary,21,EDM,LW,17,3,2,5,-1,8,3,0,0,1,1,1,0,18,16.7,165:31,9:44,,clearda01
580,Jeff Cowan,23,CGY,LW,13,4,1,5,2,16,4,0,0,0,1,0,0,26,15.4,134:42,10:22,,cowanje01
581,Mark Greig,30,PHI,RW,11,3,2,5,0,6,3,0,0,1,1,1,0,14,21.4,124:34,11:19,,greigma01
582,Sergey Gusev,24,TBL,D,28,2,3,5,-9,6,1,1,0,0,3,0,0,23,8.7,492:01,17:34,,gusevse01
583,Dave Karpa,28,CAR,D,27,1,4,5,9,52,1,0,0,0,4,0,0,24,4.2,468:34,17:21,,karpada01
584,Dan Keczmer,31,NSH,D,24,0,5,5,-2,28,0,0,0,0,5,0,0,21,0.0,430:29,17:56,,keczmda01
585,Chad Kilger,23,EDM,C,40,3,2,5,-6,18,3,0,0,0,2,0,0,32,9.4,341:50,8:33,,kilgech01
586,Steve Leach,34,PIT,RW,56,2,3,5,-11,24,2,0,0,1,3,0,0,41,4.9,372:16,6:39,,leachst01
587,Dave Lowry,34,SJS,LW,32,1,4,5,1,18,1,0,0,0,4,0,0,25,4.0,293:49,9:11,,lowryda01
588,Vladimir Malakhov,31,2TM,D,24,1,4,5,1,23,0,1,0,1,3,1,0,18,5.6,494:25,20:36,,malakvl01
588,Vladimir Malakhov,31,MTL,D,7,0,0,0,0,4,0,0,0,0,0,0,0,7,0.0,149:22,21:20,,malakvl01
588,Vladimir Malakhov,31,NJD,D,17,1,4,5,1,19,0,1,0,1,3,1,0,11,9.1,345:03,20:18,,malakvl01
589,Steve McKenna,26,LAK,LW,46,0,5,5,3,125,0,0,0,0,5,0,0,14,0.0,224:55,4:53,,mckenst01
590,Marty McSorley,36,BOS,D,27,2,3,5,2,62,2,0,0,0,2,1,0,24,8.3,378:38,14:01,,mcsorma01
591,Kevin Miller,34,OTT,RW,9,3,2,5,1,2,2,1,0,2,2,0,0,11,27.3,73:33,8:10,,milleke02
