Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
1,New Jersey Devils,Jack Hughes,US,C,18,2026,USA U-18 Development Team (USDP/USHL),429,168,260,428,-35,72,,,,,,,44.3,hugheja03
2,New York Rangers,Kaapo Kakko,FI,RW,18,2026,TPS (Finland),444,84,117,201,16,118,,,,,,,17.9,kakkoka01
3,Chicago Blackhawks,Kirby Dach,CA,C,18,2026,Saskatoon Blades (WHL),306,51,85,136,-53,185,,,,,,,8.3,dachki01
4,Colorado Avalanche,Bowen Byram,CA,D,18,2026,Vancouver Giants (WHL),328,44,108,152,41,220,,,,,,,25.7,byrambo01
5,Los Angeles Kings,Alex Turcotte,US,C,18,2026,USA U-18 Development Team (USDP/USHL),162,13,30,43,1,54,,,,,,,2.9,turcoal02
6,Detroit Red Wings,Moritz Seider,DE,D,18,2026,Adler Mannheim (Germany),410,39,201,240,-17,222,,,,,,,36.8,seidemo01
7,Buffalo Sabres,Dylan Cozens,CA,C,18,2026,Lethbridge Hurricanes (WHL),444,110,162,272,-65,281,,,,,,,23.1,cozendy01
8,Edmonton Oilers,Philip Broberg,SE,D,18,2026,AIK (Sweden-2),230,16,60,76,30,42,,,,,,,14.9,brobeph01
9,Anaheim Ducks,Trevor Zegras,US,C,18,2026,USA U-18 Development Team (USDP/USHL),349,93,160,253,-48,265,,,,,,,22.1,zegratr01
10,Vancouver Canucks,Vasily Podkolzin,RU,RW,18,2026,SKA Neva St. Petersburg (Russia-2),301,45,51,96,15,154,,,,,,,7.7,podkova01
11,Arizona Coyotes,Victor Soderstrom,SE,D,18,2026,Brynas IF (Sweden),61,1,11,12,-4,30,,,,,,,1.8,sodervi01
12,Minnesota Wild,Matthew Boldy,US,LW,18,2026,USA U-18 Development Team (USDP/USHL),361,144,185,329,42,178,,,,,,,36.8,boldyma01
13,Florida Panthers,Spencer Knight,US,G,18,2026,USA U-18 Development Team (USDP/USHL),150,0,4,4,0,0,150,68,58,20,.903,2.83,26.4,knighsp01
14,Philadelphia Flyers,Cameron York,US,D,18,2026,USA U-18 Development Team (USDP/USHL),309,23,80,103,-32,122,,,,,,,17.1,yorkca01
15,Montreal Canadiens,Cole Caufield,US,RW,18,2026,USA U-18 Development Team (USDP/USHL),368,169,138,307,-1,58,,,,,,,35.6,caufico01
16,Colorado Avalanche,Alex Newhook,CA,C,18,2026,Victoria (BCHL),338,70,81,151,-7,88,,,,,,,12.8,newhoal01
17,Vegas Golden Knights,Peyton Krebs,CA,C,18,2026,Kootenay Ice (WHL),378,42,91,133,-17,277,,,,,,,7.7,krebspe01
