Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
18,Dallas Stars,Thomas Harley,US,D,18,2026,Mississauga Steelheads (OHL),267,38,101,139,64,68,,,,,,,26.6,harleth01
19,Ottawa Senators,Lassi Thomson,FI,D,18,2026,Kelowna Rockets (WHL),29,0,8,8,-7,6,,,,,,,0.8,thomsla01
20,Winnipeg Jets,Ville Heinola,FI,D,18,2026,Lukko (Finland),58,1,11,12,0,26,,,,,,,2.1,heinovi01
21,Pittsburgh Penguins,Samuel Poulin,CA,RW,18,2026,Sherbrooke Phoenix (QMJHL),15,0,2,2,-5,6,,,,,,,-0.2,poulisa01
22,Los Angeles Kings,Tobias Bjornfot,SE,D,18,2026,Djurgardens IF Jr. (Sweden Jr.),153,3,16,19,-22,32,,,,,,,3.3,bjornto01
23,New York Islanders,Simon Holmström,SE,RW,18,2026,HV71 Jr. (Sweden Jr.),279,60,60,120,7,38,,,,,,,11.8,holmssi01
24,Nashville Predators,Philip Tomasino,CA,C,18,2026,Niagara IceDogs (OHL),218,34,61,95,-11,49,,,,,,,7.7,tomasph01
25,Washington Capitals,Connor McMichael,CA,C,18,2026,London Knights (OHL),315,67,87,154,4,130,,,,,,,14.1,mcmicco01
26,Calgary Flames,Jakob Pelletier,CA,LW,18,2026,Moncton Wildcats (QMJHL),91,11,18,29,2,14,,,,,,,2.3,pelleja01
27,Tampa Bay Lightning,Nolan Foote,US,LW,18,2026,Kelowna Rockets (WHL),42,7,3,10,-1,6,,,,,,,1.0,footeno01
28,Carolina Hurricanes,Ryan Suzuki,CA,C,18,2025,Barrie Colts (OHL),2,0,0,0,1,0,,,,,,,0.0,suzukry01
29,Anaheim Ducks,Brayden Tracey,CA,LW,18,2022,Moose Jaw Warriors (WHL),1,0,0,0,-1,0,,,,,,,-0.1,tracebr01
30,Boston Bruins,John Beecher,US,C,18,2026,USA U-18 Development Team (USDP/USHL),165,13,15,28,-21,81,,,,,,,0.5,beechjo01
31,Buffalo Sabres,Ryan Johnson,US,D,18,2026,Sioux Falls Stampede (USHL),47,0,7,7,1,18,,,,,,,1.3,johnsry03
32,Ottawa Senators,Shane Pinto,US,C,18,2026,Tri-City Storm (USHL),282,74,79,153,10,112,,,,,,,15.2,pintosh01
33,Los Angeles Kings,Arthur Kaliyev,UZ,RW,18,2026,Hamilton Bulldogs (OHL),204,38,38,76,-10,65,,,,,,,6.8,kaliyar01
34,Philadelphia Flyers,Bobby Brink,US,RW,18,2026,Sioux City Musketeers (USHL),214,38,60,98,-22,56,,,,,,,7.8,brinkbo01
35,Detroit Red Wings,Antti Tuomisto,FI,D,18,,Assat Jr. (Finland Jr.),,,,,,,,,,,,,,tuomian01
36,Carolina Hurricanes,Pyotr Kochetkov,RU,G,20,2026,HK Ryazan (Russia-2),125,0,3,3,0,16,125,71,38,12,.904,2.46,18.9,kochepy01
37,Ottawa Senators,Mads Sogaard,DK,G,18,2026,Medicine Hat Tigers (WHL),31,0,1,1,0,2,31,12,11,3,.877,3.60,2.4,sogaama01
38,Edmonton Oilers,Raphael Lavoie,CA,C,18,2026,Halifax Mooseheads (QMJHL),17,0,0,0,-6,4,,,,,,,-0.5,lavoira01
39,Anaheim Ducks,Jackson LaCombe,US,D,18,2026,Shattuck-St. Mary's School (High-MN),230,26,92,118,-27,71,,,,,,,16.0,lacomja01
40,Vancouver Canucks,Nils Hoglander,SE,LW,18,2026,Rogle BK (Sweden),331,60,60,120,10,135,,,,,,,11.5,hoglani01
41,Vegas Golden Knights,Kaedan Korczak,CA,D,18,2026,Kelowna Rockets (WHL),155,4,33,37,31,36,,,,,,,8.9,korczka01
42,Minnesota Wild,Vladislav Firstov,RU,LW,18,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,firstvl01
43,Chicago Blackhawks,Alex Vlasic,US,D,18,2026,USA U-18 Development Team (USDP/USHL),260,9,61,70,-46,76,,,,,,,12.6,vlasial01
44,Carolina Hurricanes,Jamieson Rees,CA,C,18,,Sarnia Sting (OHL),,,,,,,,,,,,,,reesja01
45,Nashville Predators,Egor Afanasyev,RU,LW,18,2024,Muskegon Lumberjacks (USHL),19,1,0,1,-8,2,,,,,,,-0.4,afanaeg01
46,Montreal Canadiens,Jayden Struble,US,D,18,2026,St. Sebastian's School (High-MA),171,7,28,35,3,167,,,,,,,6.3,strubja01
47,Colorado Avalanche,Drew Helleson,US,D,18,2026,USA U-18 Development Team (USDP/USHL),119,7,22,29,2,69,,,,,,,5.1,helledr01
48,San Jose Sharks,Artemi Kniazev,RU,D,18,2022,Chicoutimi Sagueneens (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1,kniazar01
49,New York Rangers,Matthew Robertson,CA,D,18,2026,Edmonton Oil Kings (WHL),74,6,12,18,2,38,,,,,,,3.8,roberma02
50,Los Angeles Kings,Samuel Fagemo,SE,LW,19,2024,Frolunda HC (Sweden),21,3,1,4,-7,0,,,,,,,0.1,fagemsa01
51,Winnipeg Jets,Simon Lundmark,SE,D,18,2026,Linkoping HC Jr. (Sweden Jr.),1,0,0,0,1,0,,,,,,,0.1,lundmsi01
52,Florida Panthers,Vladislav Kolyachonok,BY,D,18,2026,Flint Firebirds (OHL),87,5,12,17,-5,22,,,,,,,3.0,kolyavl01
53,Toronto Maple Leafs,Nicholas Robertson,US,LW,18,2026,Peterborough Petes (OHL),234,48,40,88,-11,34,,,,,,,8.4,roberni01
54,Detroit Red Wings,Robert Mastrosimone,US,LW,18,,Chicago Steel (USHL),,,,,,,,,,,,,,mastrro01
55,San Jose Sharks,Dillon Hamaliuk,CA,LW,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,hamaldi01
56,Washington Capitals,Brett Leason,CA,RW,20,2026,Prince Albert Raiders (WHL),226,25,29,54,-31,54,,,,,,,2.1,leasobr01
57,New York Islanders,Samuel Bolduc,CA,D,18,2025,Blainville-Boisbriand Armada (QMJHL),52,4,4,8,0,8,,,,,,,1.7,boldusa01
58,New York Rangers,Karl Henriksson,SE,C,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,henrika01
59,Minnesota Wild,Hunter Jones,CA,G,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,joneshu01
60,Detroit Red Wings,Albert Johansson,SE,D,18,2026,Farjestad BK Jr. (Sweden Jr.),143,6,14,20,-29,46,,,,,,,3.3,johanal01
61,New Jersey Devils,Nikita Okhotyuk,RU,D,18,2024,Ottawa 67's (OHL),67,3,9,12,-25,52,,,,,,,1.0,okhotni01
62,St. Louis Blues,Nikita Alexandrov,DE,C,18,2024,Charlottetown Islanders (QMJHL),51,3,6,9,-4,12,,,,,,,0.3,alexani01
63,Colorado Avalanche,Matthew Stienburg,CA,C,18,2025,St. Andrew's College (High-ON),8,0,0,0,0,22,,,,,,,-0.1,stienma01
64,Montreal Canadiens,Mattias Norlinder,SE,D,19,2022,MODO Hockey Jr. (Sweden Jr.),6,0,1,1,2,2,,,,,,,0.3,norlima01
65,Nashville Predators,Alexander Campbell,CA,LW,18,,Victoria (BCHL),,,,,,,,,,,,,,campbal01
66,Detroit Red Wings,Albin Grewe,SE,RW,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,greweal01
67,Buffalo Sabres,Erik Portillo,SE,G,19,2025,Frolunda HC Jr. (Sweden Jr.),1,0,0,0,0,0,1,1,0,0,.966,1.02,0.4,portier01
68,New York Rangers,Zachary Jones,US,D,18,2025,Tri-City Storm (USHL),115,4,24,28,-10,38,,,,,,,3.8,jonesza01
69,Florida Panthers,John Ludvig,CZ,D,19,2025,Portland Winterhawks (WHL),41,3,4,7,-16,53,,,,,,,0.2,ludvijo01
70,New Jersey Devils,Daniil Misyul,BY,D,18,2025,Loko Yaroslavl (Russia Jr.),1,0,0,0,-1,0,,,,,,,-0.1,misyuda01
71,Tampa Bay Lightning,Hugo Alnefelt,SE,G,18,2022,HV71 Jr. (Sweden Jr.),1,0,0,0,,0,1,0,0,0,.700,9.00,-0.2,alnefhu01
72,Philadelphia Flyers,Ronald Attard,US,D,20,2024,Tri-City Storm (USHL),29,2,4,6,-1,14,,,,,,,1.2,attarro01
73,Carolina Hurricanes,Patrick Puistola,FI,RW,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,puistpa01
74,Pittsburgh Penguins,Nathan Legare,CA,RW,18,2026,Baie-Comeau Drakkar (QMJHL),4,0,0,0,-1,0,,,,,,,-0.1,legarna01
75,Minnesota Wild,Adam Beckman,CA,LW,18,2024,Spokane Chiefs (WHL),23,0,3,3,-5,14,,,,,,,-0.3,beckmad01
76,Arizona Coyotes,John Farinacci,US,C,18,2025,Dexter Southfield School (High-MA),1,1,0,1,1,0,,,,,,,0.2,farinjo01
77,Montreal Canadiens,Gianni Fairbrother,CA,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,fairbgi01
78,Colorado Avalanche,Alex Beaucage,CA,RW,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,beaucal01
79,Vegas Golden Knights,Pavel Dorofeyev,RU,LW,18,2026,Metallurg Magnitogorsk (Russia),231,92,57,149,11,74,,,,,,,18.0,dorofpa01
80,New Jersey Devils,Graeme Clarke,US,RW,18,2024,Ottawa 67's (OHL),3,0,0,0,-2,2,,,,,,,-0.1,clarkgr01
81,Florida Panthers,Cole Schwindt,CA,RW,18,2026,Mississauga Steelheads (OHL),78,6,9,15,0,4,,,,,,,0.9,schwico01
82,New Jersey Devils,Michael Vukojevic,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,vukojmi01
83,Carolina Hurricanes,Anttoni Honka,FI,D,18,,Jukurit (Finland),,,,,,,,,,,,,,honkaan01
84,Toronto Maple Leafs,Mikko Kokkonen,FI,D,18,,Jukurit (Finland),,,,,,,,,,,,,,kokkomi01
85,Edmonton Oilers,Ilya Konovalov,RU,G,21,,Lokomotiv Yaroslavl (Russia),,,,,,,,,,,,,,konovil01
86,Vegas Golden Knights,Layton Ahac,CA,D,18,,Prince George (BCHL),,,,,,,,,,,,,,ahacla01
87,Los Angeles Kings,Lukas Parik,CZ,G,18,,Bili Tygri Liberec Jr. (Czech Jr.),,,,,,,,,,,,,,pariklu01
88,Calgary Flames,Ilya Nikolaev,RU,C,18,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,nikolil01
89,Tampa Bay Lightning,Maxim Cajkovic,SK,RW,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,cajkoma01
90,Carolina Hurricanes,Domenick Fensore,US,D,18,2026,USA U-18 Development Team (USDP/USHL),3,0,0,0,-2,2,,,,,,,-0.1,fensodo01
91,Washington Capitals,Aliaksei Protas,BY,C,18,2026,Prince Albert Raiders (WHL),321,68,103,171,53,58,,,,,,,17.8,protaal01
92,Boston Bruins,Quinn Olson,CA,LW,18,,Okotoks (AJHL),,,,,,,,,,,,,,olsonqu01
93,St. Louis Blues,Colten Ellis,CA,G,18,2026,Rimouski Oceanic (QMJHL),16,0,1,1,0,0,16,8,4,2,.903,2.90,3.3,ellisco01
94,Ottawa Senators,Viktor Lodin,SE,C,20,2022,Orebro HK (Sweden),1,0,0,0,0,0,,,,,,,0.0,lodinvi01
95,Los Angeles Kings,Jordan Spence,AU,D,18,2026,Moncton Wildcats (QMJHL),253,15,77,92,44,52,,,,,,,17.8,spencjo01
96,New Jersey Devils,Tyce Thompson,US,RW,20,2023,Providence (H-East),11,0,1,1,-4,0,,,,,,,-0.2,thompty01
97,Detroit Red Wings,Ethan Phillips,CA,C,18,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,phillet01
98,Arizona Coyotes,Matias Maccelli,FI,LW,18,2026,Dubuque Fighting Saints (USHL),295,51,118,169,-50,54,,,,,,,12.4,maccema01
99,Carolina Hurricanes,Cade Webber,US,D,18,,Rivers School (High-MA),,,,,,,,,,,,,,webbeca01
100,Edmonton Oilers,Matej Blumel,CZ,RW,19,2026,Waterloo Black Hawks (USHL),17,2,0,2,-6,0,,,,,,,-0.1,blumema01
101,Anaheim Ducks,Henry Thrun,US,D,18,2026,USA U-18 Development Team (USDP/USHL),123,5,20,25,-49,46,,,,,,,2.2,thrunhe01
102,Buffalo Sabres,Aaron Huglen,US,RW,18,,Roseau HS (High-MN),,,,,,,,,,,,,,hugleaa01
103,Philadelphia Flyers,Mason Millman,CA,D,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,millmma01
104,Columbus Blue Jackets,Eric Hjorth,SE,D,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,hjorter01
105,Chicago Blackhawks,Michael Teply,CZ,LW,18,,HC Benatky nad Jizerou (Czech-2),,,,,,,,,,,,,,teplymi01
106,Florida Panthers,Carter Berger,CA,D,19,,Victoria (BCHL),,,,,,,,,,,,,,bergeca01
107,Arizona Coyotes,Alexandr Darin,RU,RW,19,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,darinal01
108,San Jose Sharks,Yegor Spiridonov,RU,C,18,,Stalnye Lisy Magnitogorsk (Russia Jr.),,,,,,,,,,,,,,spiriye01
109,Nashville Predators,Marc Del Gaizo,US,D,19,2025,Massachusetts (H-East),55,2,10,12,-1,23,,,,,,,2.5,delgama01
110,Vegas Golden Knights,Ryder Donovan,US,C,18,,Duluth East HS (High-MN),,,,,,,,,,,,,,donovry01
111,Dallas Stars,Samuel Sjolund,SE,D,18,,AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,sjolusa01
112,New York Rangers,Hunter Skinner,US,D,18,2026,Lincoln Stars (USHL),1,0,0,0,1,0,,,,,,,0.1,skinnhu01
113,Winnipeg Jets,Henri Nikkanen,FI,C,18,,Jukurit Jr. (Finland Jr.),,,,,,,,,,,,,,nikkahe01
114,Columbus Blue Jackets,Dimitri Voronkov,RU,LW,19,2026,Bars Kazan (Russia-2),211,58,55,113,10,166,,,,,,,11.8,vorondi01
115,Toronto Maple Leafs,Mikhail Abramov,RU,C,18,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,abrammi01
116,Calgary Flames,Lucas Feuk,SE,LW,18,,Sodertalje SK Jr. (Sweden Jr.),,,,,,,,,,,,,,feuklu01
117,Nashville Predators,Semyon Chystyakov,RU,D,18,,Tolpar Ufa (Russia Jr.),,,,,,,,,,,,,,chystse01
118,New Jersey Devils,Case McCarthy,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,mccarca01
119,Los Angeles Kings,Kim Nousianinen,FI,D,18,,KalPa Jr. (Finland Jr.),,,,,,,,,,,,,,nousiki01
120,Tampa Bay Lightning,Maxwell Crozier,CA,D,19,2026,Sioux Falls Stampede (USHL),53,1,11,12,5,47,,,,,,,2.2,crozima01
121,Carolina Hurricanes,Tuukka Tieksola,FI,RW,18,,Karpat Jr. (Finland Jr.),,,,,,,,,,,,,,tiekstu01
122,Vancouver Canucks,Ethan Keppen,CA,LW,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,keppeet01
123,Chicago Blackhawks,Antti Saarela,FI,C,18,,Lukko (Finland),,,,,,,,,,,,,,saarean01
124,Toronto Maple Leafs,Nicholas Abruzzese,US,C,20,2023,Chicago Steel (USHL),11,1,2,3,0,2,,,,,,,0.2,abruzni01
125,Ottawa Senators,Mark Kastelic,US,C,20,2026,Calgary Hitmen (WHL),287,31,30,61,-10,425,,,,,,,4.0,kastema01
126,Montreal Canadiens,Jacob Leguerrier,CA,D,18,,Soo Greyhounds (OHL),,,,,,,,,,,,,,legueja01
127,New Jersey Devils,Cole Brady,CA,G,18,,Janesville Jets (NAHL),,,,,,,,,,,,,,bradyco01
128,Detroit Red Wings,Cooper Moore,US,D,18,,Brunswick School (High-CT),,,,,,,,,,,,,,mooreco01
129,New Jersey Devils,Arseny Gritsyuk,RU,RW,18,2026,Omskie Yastreby (Russia Jr.),66,13,18,31,-3,26,,,,,,,2.8,gritsar01
130,New York Rangers,Leevi Aaltonen,FI,RW,18,,KalPa Jr. (Finland Jr.),,,,,,,,,,,,,,aaltole01
131,Montreal Canadiens,Rhett Pitlick,US,LW,18,,Chaska HS (High-MN),,,,,,,,,,,,,,pitlirh01
132,Anaheim Ducks,Trevor Janicke,US,C,18,,Central Illinois Flying Aces (USHL),,,,,,,,,,,,,,janictr01
133,Vancouver Canucks,Carson Focht,CA,C,19,,Calgary Hitmen (WHL),,,,,,,,,,,,,,fochtca01
134,Winnipeg Jets,Harrison Blaisdell,GB,C,18,,Chilliwack (BCHL),,,,,,,,,,,,,,blaisha01
135,Vegas Golden Knights,Isaiah Saville,US,G,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,savilis01
136,Florida Panthers,Henrik Rybinski,CA,RW,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,rybinhe01
137,Florida Panthers,Owen Lindmark,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,lindmow01
138,Montreal Canadiens,Frederik Nissen Dichow,DK,G,18,,Vojens IK (Denmark-2),,,,,,,,,,,,,,nissefr01
139,Vegas Golden Knights,Marcus Kallionkieli,FI,LW,18,,Sioux City Musketeers (USHL),,,,,,,,,,,,,,kallima01
140,Colorado Avalanche,Sasha Mutala,CA,RW,18,,Tri-City Americans (WHL),,,,,,,,,,,,,,mutalsa01
141,Vegas Golden Knights,Mason Primeau,CA,C,18,,North Bay Battalion (OHL),,,,,,,,,,,,,,primema01
142,Dallas Stars,Nicholas Porco,CA,LW,18,,Saginaw Spirit (OHL),,,,,,,,,,,,,,porconi01
143,Buffalo Sabres,Filip Cederqvist,SE,LW,19,,Vaxjo Lakers HC (Sweden),,,,,,,,,,,,,,cederfi01
144,Winnipeg Jets,Logan Neaton,US,G,20,,Prince George (BCHL),,,,,,,,,,,,,,neatolo01
145,Pittsburgh Penguins,Judd Caulfield,US,RW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,caulfju01
146,Toronto Maple Leafs,Michael Koster,US,D,18,,Chaska HS (High-MN),,,,,,,,,,,,,,kostemi01
147,New York Islanders,Reece Newkirk,CA,C,18,,Portland Winterhawks (WHL),,,,,,,,,,,,,,newkire01
148,Nashville Predators,Ethan Haider,US,G,18,,Minnesota Magicians (NAHL),,,,,,,,,,,,,,haideet01
149,Minnesota Wild,Matvey Guskov,RU,C,18,,London Knights (OHL),,,,,,,,,,,,,,guskoma01
150,Calgary Flames,Joshua Nodler,US,C,18,,Fargo Force (USHL),,,,,,,,,,,,,,nodlejo01
151,Arizona Coyotes,Aku Raty,FI,RW,18,2024,Karpat Jr. (Finland Jr.),1,0,1,1,0,0,,,,,,,0.1,ratyak01
152,Carolina Hurricanes,Kirill Slepets,RU,RW,20,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,slepeki01
153,Washington Capitals,Martin Has,CZ,D,18,,Tappara Jr. (Finland Jr.),,,,,,,,,,,,,,hasma01
154,Boston Bruins,Roman Bychkov,RU,D,18,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,bychkro01
155,St. Louis Blues,Keean Washkurak,CA,C,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,washkke01
156,Vancouver Canucks,Arturs Silovs,LV,G,18,2026,HS Riga (Latvia),58,0,3,3,0,6,58,27,20,10,.885,3.09,7.3,silovar01
157,Los Angeles Kings,Braden Doyle,US,D,18,,Lawrence Academy (High-MA),,,,,,,,,,,,,,doylebr01
158,New Jersey Devils,Patrick Moynihan,US,RW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,moynipa01
159,Detroit Red Wings,Elmer Soderblom,SE,RW,18,2026,Frolunda HC Jr. (Sweden Jr.),106,16,16,32,1,37,,,,,,,2.9,soderel01
160,Buffalo Sabres,Lukas Rousek,CZ,RW,20,2024,HC Sparta Praha (Czech),17,1,3,4,1,0,,,,,,,0.2,rouselu01
161,New York Rangers,Adam Edstrom,SE,C,18,2026,Mora IK Jr. (Sweden Jr.),97,10,6,16,-2,31,,,,,,,1.0,edstrad01
162,Edmonton Oilers,Tomas Mazura,CZ,C,18,,Kimball Union Academy (High-NH),,,,,,,,,,,,,,mazurto01
163,Anaheim Ducks,William Francis,US,D,18,,Cedar Rapids RoughRiders (USHL),,,,,,,,,,,,,,francwi01
164,San Jose Sharks,Timur Ibragimov,RU,LW,18,,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,,,,ibragti01
165,Philadelphia Flyers,Egor Serdyuk,RU,RW,18,,Victoriaville Tigres (QMJHL),,,,,,,,,,,,,,serdyeg01
166,Minnesota Wild,Marshall Warren,US,D,18,2026,USA U-18 Development Team (USDP/USHL),8,0,3,3,0,4,,,,,,,0.4,warrema01
167,Chicago Blackhawks,Dominic Basse,US,G,18,,Selects Academy 18U AAA (18U AAA),,,,,,,,,,,,,,bassedo01
168,Florida Panthers,Greg Meireles,CA,C,20,,Kitchener Rangers (OHL),,,,,,,,,,,,,,meiregr01
169,Philadelphia Flyers,Roddy Ross,CA,G,19,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,rossro01
170,Montreal Canadiens,Arsen Khisamutdinov,RU,C,21,,Reaktor Nizhnekamsk (Russia Jr.),,,,,,,,,,,,,,khisaar01
171,Colorado Avalanche,Luka Burzan,CA,RW,19,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,burzalu01
172,Minnesota Wild,Nikita Nesterenko,US,C,18,2026,Lawrenceville School (High-NJ),61,7,10,17,-9,10,,,,,,,0.8,nesteni02
173,Dallas Stars,Benjamin Brinkman,US,D,18,,Minnesota (Big Ten),,,,,,,,,,,,,,brinkbe01
174,Arizona Coyotes,Danil Savunov,RU,LW,18,,Dizel Penza (Russia-2),,,,,,,,,,,,,,savunda01
175,Vancouver Canucks,Karel Plasek,CZ,RW,19,,HC Kometa Brno (Czech),,,,,,,,,,,,,,plaseka01
176,Arizona Coyotes,Anthony Romano,CA,C,18,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,romanan01
177,Detroit Red Wings,Gustav Berglund,SE,D,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,berglgu01
178,New York Islanders,Felix Bibeau,CA,C,20,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,bibeafe01
179,Nashville Predators,Isak Walther,SE,RW,18,,Sodertalje SK Jr. (Sweden Jr.),,,,,,,,,,,,,,walthis01
180,Vancouver Canucks,Jack Malone,US,RW,18,,Youngstown Phantoms (USHL),,,,,,,,,,,,,,malonja01
181,Carolina Hurricanes,Kevin Wall,US,RW,19,,Chilliwack (BCHL),,,,,,,,,,,,,,wallke01
182,Tampa Bay Lightning,Quinn Schmiemann,CA,D,18,,Kamloops Blazers (WHL),,,,,,,,,,,,,,schmiqu01
183,Carolina Hurricanes,Blake Murray,CA,C,18,,Sudbury Wolves (OHL),,,,,,,,,,,,,,murrabl01
184,San Jose Sharks,Santeri Hatakka,FI,D,18,2024,Jokerit Jr. (Finland Jr.),21,0,4,4,0,6,,,,,,,0.7,hataksa01
185,Boston Bruins,Matias Mantykivi,FI,C,18,,SaiPa Jr. (Finland Jr.),,,,,,,,,,,,,,mantyma01
186,Anaheim Ducks,Mathew Hill,CA,D,18,,Barrie Colts (OHL),,,,,,,,,,,,,,hillma01
187,Ottawa Senators,Maxence Guenette,CA,D,18,2024,Val-d'Or Foreurs (QMJHL),8,0,0,0,-2,2,,,,,,,-0.1,guenema01
188,Los Angeles Kings,Andre Lee,SE,LW,19,2026,Sioux Falls Stampede (USHL),26,2,3,5,-7,11,,,,,,,0.0,leean02
189,New Jersey Devils,Nikola Pasic,SE,RW,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,pasicni01
190,Detroit Red Wings,Kirill Tyutyayev,RU,LW,19,,Avto Yekaterinburg (Russia Jr.),,,,,,,,,,,,,,tyutyki01
191,Detroit Red Wings,Carter Gylander,CA,G,18,,Sherwood Park (AJHL),,,,,,,,,,,,,,gylanca01
192,Boston Bruins,Jake Schmaltz,US,LW,18,,Chicago Steel (USHL),,,,,,,,,,,,,,schmaja01
193,Edmonton Oilers,Maxim Denezhkin,RU,C,18,,Loko Yaroslavl (Russia Jr.),,,,,,,,,,,,,,denezma01
194,Chicago Blackhawks,Cole Moberg,CA,D,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,moberco01
195,Vancouver Canucks,Aidan McDonough,US,LW,19,2023,Cedar Rapids RoughRiders (USHL),6,1,0,1,-2,2,,,,,,,0.0,mcdonai01
196,Philadelphia Flyers,Bryce Brodzinski,US,RW,19,,Blaine HS (High-MN),,,,,,,,,,,,,,brodzbr01
197,Minnesota Wild,Filip Lindberg,FI,G,20,,Massachusetts (H-East),,,,,,,,,,,,,,lindbfi01
198,Tampa Bay Lightning,Mikhail Shalagin,RU,LW,20,,MHK Spartak Moskva (Russia Jr.),,,,,,,,,,,,,,shalami01
199,Florida Panthers,Matthew Wedman,CA,C,20,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,wedmama01
