Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
43,Winnipeg Jets,Dylan Samberg,US,D,18,2026,Hermantown HS (High-MN),282,10,55,65,68,112,,,,,,,17.7,sambedy01
44,Arizona Coyotes,Filip Westerlund,SE,D,18,,Frolunda HC (Sweden),,,,,,,,,,,,,,westefi01
45,Columbus Blue Jackets,Alexandre Texier,FR,C,18,2026,Grenoble (France),283,48,63,111,-6,118,,,,,,,8.8,texieal01
46,New York Islanders,Robin Salo,FI,D,18,2023,Sport (Finland),32,3,6,9,-5,8,,,,,,,1.4,saloro01
47,Ottawa Senators,Alex Formenton,CA,LW,18,2022,London Knights (OHL),109,23,16,39,-9,71,,,,,,,3.5,formeal01
48,Tampa Bay Lightning,Alexander Volkov,RU,RW,20,2021,SKA Neva St. Petersburg (Russia-2),46,7,7,14,-5,12,,,,,,,1.2,volkoal01
49,San Jose Sharks,Mario Ferraro,CA,D,18,2026,Des Moines Buccaneers (USHL),490,24,90,114,-121,216,,,,,,,17.4,ferrama01
50,Anaheim Ducks,Maxime Comtois,CA,LW,18,2024,Victoriaville Tigres (QMJHL),211,38,49,87,-35,193,,,,,,,6.7,comtoma01
51,Pittsburgh Penguins,Zachary Lauzon,CA,D,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,lauzoza01
52,Carolina Hurricanes,Luke Martin,US,D,18,,Michigan (Big Ten),,,,,,,,,,,,,,martilu01
53,Boston Bruins,Jack Studnicka,CA,C,18,2026,Oshawa Generals (OHL),126,6,10,16,-36,32,,,,,,,-1.3,studnja01
54,Buffalo Sabres,Ukko-Pekka Luukkonen,FI,G,18,2026,HPK Jr. (Finland Jr.),190,0,4,4,0,16,190,93,74,18,.900,2.96,30.9,luukkuk01
55,Vancouver Canucks,Jonah Gadjovich,CA,LW,18,2026,Owen Sound Attack (OHL),170,10,11,21,-18,319,,,,,,,0.3,gadjojo01
56,Montreal Canadiens,Josh Brook,CA,D,18,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,brookjo01
57,Chicago Blackhawks,Ian Mitchell,CA,D,18,2025,Spruce Grove (AJHL),110,4,15,19,-17,34,,,,,,,2.8,mitchia01
58,Montreal Canadiens,Joni Ikonen,FI,C,18,,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,,,,ikonejo01
59,Toronto Maple Leafs,Eemeli Rasanen,FI,D,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,rasanee01
60,Anaheim Ducks,Antoine Morand,CA,C,18,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,,,moranan01
61,Nashville Predators,Grant Mismash,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,mismagr01
62,Vegas Golden Knights,Jake Leschyshyn,US,C,18,2024,Regina Pats (WHL),77,2,4,6,-13,16,,,,,,,-1.0,leschja01
63,New Jersey Devils,Fabian Zetterlund,SE,W,18,2026,Farjestad BK Jr. (Sweden Jr.),329,69,80,149,-29,77,,,,,,,12.7,zettefa01
64,Vancouver Canucks,Michael Dipietro,CA,G,18,2026,Windsor Spitfires (OHL),4,0,0,0,0,0,4,0,2,0,.780,5.01,-0.4,dipiemi01
65,Vegas Golden Knights,Jonas Rondbjerg,DK,RW,18,2026,Vaxjo Lakers HC Jr. (Sweden Jr.),80,3,8,11,-9,8,,,,,,,-0.4,rondbjo01
66,Florida Panthers,Maxwell Gildon,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,gildoma01
67,Carolina Hurricanes,Morgan Geekie,CA,C,19,2026,Tri-City Americans (WHL),414,111,116,227,6,126,,,,,,,23.8,geekimo01
68,Montreal Canadiens,Scott Walford,CA,D,18,,Victoria Royals (WHL),,,,,,,,,,,,,,walfosc01
69,Arizona Coyotes,Mackenzie Entwistle,CA,RW,18,2024,Hamilton Bulldogs (OHL),193,15,20,35,-55,86,,,,,,,0.0,entwima01
70,Chicago Blackhawks,Andrel Altybarmakyan,RU,RW,19,,Serebryanye Lvy St. Petersburg (Russia Jr.),,,,,,,,,,,,,,altyban01
71,Detroit Red Wings,Kasper Kotkansalo,FI,D,18,,Sioux Falls Stampede (USHL),,,,,,,,,,,,,,kotkaka01
72,Los Angeles Kings,Matt Villalta,CA,G,18,2025,Soo Greyhounds (OHL),3,0,0,0,0,0,3,1,1,0,.867,3.64,0.1,villama01
73,Carolina Hurricanes,Stelio Mattheos,CA,RW,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,matthst01
74,Winnipeg Jets,Johnathan Kovacevic,CA,D,20,2026,Merrimack (H-East),258,10,43,53,25,193,,,,,,,12.9,kovacjo01
75,Arizona Coyotes,Nate Schnarr,CA,C,18,,Guelph Storm (OHL),,,,,,,,,,,,,,schnana01
76,Tampa Bay Lightning,Alexei Lipanov,RU,C,18,,Dynamo Balashikha (Russia-2),,,,,,,,,,,,,,lipanal01
77,New York Islanders,Benjamin Mirageas,US,D,18,,Chicago Steel (USHL),,,,,,,,,,,,,,miragbe01
78,Edmonton Oilers,Stuart Skinner,CA,G,18,2026,Lethbridge Hurricanes (WHL),224,0,3,3,0,0,224,121,71,23,.902,2.77,36.3,skinnst01
79,Detroit Red Wings,Lane Zablocki,CA,RW,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,zablola01
80,Philadelphia Flyers,Kirill Ustimenko,BY,G,18,,MHK Dynamo St. Petersburg (Russia Jr.),,,,,,,,,,,,,,ustimki01
81,New Jersey Devils,Reilly Walsh,US,D,18,2022,Proctor Academy (High-NH),1,0,1,1,0,0,,,,,,,0.1,walshre01
82,Arizona Coyotes,Cameron Crotty,CA,D,18,2026,Brockville (CCHL),8,0,1,1,-2,0,,,,,,,0.0,crottca01
83,Detroit Red Wings,Zach Gallant,CA,C,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,gallaza01
84,Edmonton Oilers,Dmitri Samorukov,RU,D,18,2023,Guelph Storm (OHL),3,0,0,0,-3,2,,,,,,,-0.2,samordm01
85,Minnesota Wild,Ivan Lodnia,US,RW,18,,Erie Otters (OHL),,,,,,,,,,,,,,lodniiv01
86,Columbus Blue Jackets,Daniil Tarasov,RU,G,18,2026,Tolpar Ufa (Russia Jr.),98,0,2,2,0,0,98,32,49,9,.897,3.30,16.3,tarasda02
87,Montreal Canadiens,Cale Fleury,CA,D,18,2026,Kootenay Ice (WHL),100,2,4,6,-4,15,,,,,,,1.8,fleurca01
88,Detroit Red Wings,Keith Petruzzelli,US,G,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,petruke01
89,Buffalo Sabres,Oskari Laaksonen,FI,D,18,,Ilves Jr. (Finland Jr.),,,,,,,,,,,,,,laaksos01
90,Chicago Blackhawks,Evan Barratt,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,barraev01
91,Anaheim Ducks,Jack Badini,US,C,19,,Chicago Steel (USHL),,,,,,,,,,,,,,badinja01
92,Nashville Predators,David Farrance,US,D,18,2021,USA U-18 Development Team (USDP/USHL),2,0,0,0,3,0,,,,,,,0.3,farrada01
93,Pittsburgh Penguins,Clayton Phillips,US,D,18,,Fargo Force (USHL),,,,,,,,,,,,,,phillcl01
94,Colorado Avalanche,Nick Henry,CA,RW,18,,Regina Pats (WHL),,,,,,,,,,,,,,henryni01
95,Vancouver Canucks,Jack Rathbone,US,D,18,2023,Dexter Southfield School (High-MA),28,2,3,5,-5,4,,,,,,,0.7,rathbja01
96,Vegas Golden Knights,Maksim Zhukov,RU,G,18,,Green Bay Gamblers (USHL),,,,,,,,,,,,,,zhukoma01
97,Minnesota Wild,Mason Shaw,CA,C,18,2024,Medicine Hat Tigers (WHL),82,8,12,20,-3,118,,,,,,,1.3,shawma01
98,New Jersey Devils,Nikita Popugaev,RU,LW,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,popugni01
99,Buffalo Sabres,Jacob Bryson,CA,D,19,2026,Providence (H-East),304,6,45,51,-47,60,,,,,,,6.4,brysoja01
100,Detroit Red Wings,Malte Setkov,DK,D,18,,Malmo Jr. (Sweden Jr.),,,,,,,,,,,,,,setkoma01
101,Dallas Stars,Liam Hawel,CA,C,18,,Guelph Storm (OHL),,,,,,,,,,,,,,hawelli01
102,San Jose Sharks,Scott Reedy,US,C,18,2022,USA U-18 Development Team (USDP/USHL),35,7,2,9,-8,10,,,,,,,0.8,reedysc01
103,Los Angeles Kings,Michael Anderson,US,D,18,2026,Waterloo Black Hawks (USHL),425,21,81,102,77,146,,,,,,,27.5,andermi02
