Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
196,Philadelphia Flyers,Wyatt Kalynuk,CA,D,20,2022,Bloomington Thunder (USHL),26,4,5,9,-9,6,,,,,,,1.1,kalynwy01
197,Carolina Hurricanes,Ville Rasanen,FI,D,18,,Jokipojat (Finland-2),,,,,,,,,,,,,,rasanvi01
198,Winnipeg Jets,Skyler Mckenzie,CA,LW,19,,Portland Winterhawks (WHL),,,,,,,,,,,,,,mckensk01
199,Montreal Canadiens,Cayden Primeau,US,G,18,2026,Lincoln Stars (USHL),58,0,2,2,0,4,58,15,25,7,.882,3.73,5.5,primeca01
200,Tampa Bay Lightning,Samuel Walker,US,C,18,2024,Edina HS (High-MN),13,1,1,2,-4,0,,,,,,,-0.1,walkesa01
201,New York Islanders,Logan Cockerill,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,cockelo01
202,Calgary Flames,Filip Sveningsson,SE,LW,18,,HV71 Jr. (Sweden Jr.),,,,,,,,,,,,,,svenifi01
203,Toronto Maple Leafs,Ryan O'Connell,CA,D,18,,St. Andrew's College (High-ON),,,,,,,,,,,,,,oconnry01
204,Boston Bruins,Daniel Bukac,CZ,D,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,bukacda01
205,New Jersey Devils,Yegor Zaitsev,RU,D,19,,Dynamo Balashikha (Russia-2),,,,,,,,,,,,,,zaitsye01
206,St. Louis Blues,Anton Andersson,SE,D,18,,Lulea HF Jr. (Sweden Jr.),,,,,,,,,,,,,,anderan01
207,New York Rangers,Patrik Virta,FI,C,21,,TPS (Finland),,,,,,,,,,,,,,virtapa01
208,Edmonton Oilers,Philip Kemp,US,D,18,2024,USA U-18 Development Team (USDP/USHL),1,0,0,0,0,0,,,,,,,0.0,kempph01
209,Minnesota Wild,Nick Swaney,US,RW,20,2023,Waterloo Black Hawks (USHL),1,0,0,0,0,0,,,,,,,0.0,swaneni01
210,Columbus Blue Jackets,Robbie Stucker,US,D,18,,St. Thomas Academy (High-MN),,,,,,,,,,,,,,stuckro01
211,Winnipeg Jets,Croix Evingson,US,D,20,,Shreveport Mudbugs (NAHL),,,,,,,,,,,,,,evingcr01
212,San Jose Sharks,Ivan Chekhovich,RU,LW,18,2021,Baie-Comeau Drakkar (QMJHL),4,0,1,1,-3,0,,,,,,,-0.1,chekhiv01
213,Washington Capitals,Kristian Roykas Marthinsen,NO,LW,18,,Almtuna IS Jr. (Sweden Jr.),,,,,,,,,,,,,,roykakr01
214,New Jersey Devils,Matthew Hellickson,US,D,19,,Sioux City Musketeers (USHL),,,,,,,,,,,,,,hellima01
215,Chicago Blackhawks,Joshua Ess,US,D,18,,Lakeville South HS (High-MN),,,,,,,,,,,,,,essjo01
216,Nashville Predators,Jacob Paquette,CA,D,18,,Kingston Frontenacs (OHL),,,,,,,,,,,,,,paqueja01
217,Pittsburgh Penguins,William Reilly,CA,D,20,,RPI (ECAC),,,,,,,,,,,,,,reillwi01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool&__hstc=88549636.6d0eeb1e82ebff62514398b99afb1ea0.1776728283606.1776960117908.1777391965638.3&__hssc=88549636.11.1777391965638&__hsfp=0f0cd74dc3492489630a79cc6432cfce">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/draft/NHL_2017_entry.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 4/28/2026.
