Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
1,New York Islanders,Matthew Schaefer,CA,D,18,2026,Erie Otters (OHL),82,23,36,59,13,38,,,,,,,12.0,schaema01
2,San Jose Sharks,Michael Misa,CA,C,18,2026,Saginaw Spirit (OHL),45,9,12,21,-2,10,,,,,,,1.9,misami01
3,Chicago Blackhawks,Anton Frondell,SE,C,18,2026,Djurgarden (Sweden-2),12,3,6,9,-1,4,,,,,,,0.9,frondan01
4,Phoenix Coyotes,Caleb Desnoyers,CA,C,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,desnoca01
5,Nashville Predators,Brady Martin,CA,C,18,2026,Sault Ste. Marie Greyhounds (OHL),3,0,1,1,0,0,,,,,,,0.0,martibr02
6,Philadelphia Flyers,Porter Martone,CA,RW,18,2026,Brampton Steelheads (OHL),9,4,6,10,4,6,,,,,,,1.3,martopo01
7,Boston Bruins,James Hagens,US,C,18,2026,Boston College (H-East),2,0,1,1,1,2,,,,,,,0.1,hagenja01
8,Seattle Kraken,Jake O'Brien,CA,C,18,,Brantford Bulldogs (OHL),,,,,,,,,,,,,,obrieja02
9,Buffalo Sabres,Radim Mrtka,CZ,D,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,mrtkara01
10,Anaheim Ducks,Roger McQueen,CA,C,18,,Brandon Wheat Kings (WHL),,,,,,,,,,,,,,mcquero01
11,Pittsburgh Penguins,Benjamin Kindel,CA,C,18,2026,Calgary Hitmen (WHL),77,17,18,35,-5,18,,,,,,,2.9,kindebe01
12,Philadelphia Flyers,Jack Nesbitt,CA,C,18,,Windsor Spitfires (OHL),,,,,,,,,,,,,,nesbija01
13,Detroit Red Wings,Carter Bear,CA,LW,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,bearca01
14,Columbus Blue Jackets,Jackson Smith,CA,D,18,,Tri-City Americans (WHL),,,,,,,,,,,,,,smithja04
15,Vancouver Canucks,Braeden Cootes,CA,C,18,2026,Seattle Thunderbirds (WHL),3,0,0,0,-2,0,,,,,,,-0.1,cootebr01
16,New York Islanders,Victor Eklund,SE,RW,18,2026,Djurgarden (Sweden-2),1,0,1,1,0,0,,,,,,,0.1,eklunvi01
17,New York Islanders,Kashawn Aitcheson,CA,D,18,,Barrie Colts (OHL),,,,,,,,,,,,,,aitchka01
18,Calgary Flames,Cole Reschny,CA,C,18,,Victoria Royals (WHL),,,,,,,,,,,,,,reschco01
19,St. Louis Blues,Justin Carbonneau,CA,RW,18,,Blainville-Boisbriand Armada (QMJHL),,,,,,,,,,,,,,carboju01
20,Columbus Blue Jackets,Pyotr Andreyanov,RU,G,18,,Cska Jr. (Russia-Jr.),,,,,,,,,,,,,,andrepy01
21,Nashville Predators,Cameron Reid,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,,,reidca02
22,Pittsburgh Penguins,Bill Zonnon,CA,RW,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,zonnobi01
23,Ottawa Senators,Logan Hensler,US,D,18,,Wisconsin (Big Ten),,,,,,,,,,,,,,hensllo01
24,Pittsburgh Penguins,William Horcoff,CA,C,18,,Michigan (Big Ten),,,,,,,,,,,,,,horcowi01
25,Chicago Blackhawks,Vaclav Nestrasil,CZ,RW,18,,Muskegon (USHL),,,,,,,,,,,,,,nestrva01
26,Nashville Predators,Ryker Lee,US,RW,18,,Madison (USHL),,,,,,,,,,,,,,leery01
27,Washington Capitals,Lynden Lakovic,CA,LW,18,,Moose Jaw Warriors (WHL),,,,,,,,,,,,,,lakovly01
28,Winnipeg Jets,Sascha Boumedienne,FI,D,18,,Boston University (H-East),,,,,,,,,,,,,,boumesa01
29,Chicago Blackhawks,Mason West,US,C,18,,Edina (High-MN),,,,,,,,,,,,,,westma01
30,San Jose Sharks,Joshua Ravensbergen,CA,G,18,,Prince George Cougars (WHL),,,,,,,,,,,,,,ravenjo01
31,Los Angeles Kings,Henry Brzustewicz,US,D,18,,London Knights (OHL),,,,,,,,,,,,,,brzushe01
32,Calgary Flames,Cullen Potter,US,C,18,,Arizona State (NCHC),,,,,,,,,,,,,,pottecu01
33,San Jose Sharks,Simon (Haoxi) Wang,CN,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,wangsi01
34,Montreal Canadiens,Alexander Zharovsky,RU,RW,18,,Ufa Jr. (Russia-Jr.),,,,,,,,,,,,,,zharoal01
35,Nashville Predators,Jacob Rombach,US,D,18,,Lincoln (USHL),,,,,,,,,,,,,,rombaja01
36,Seattle Kraken,Blake Fiddler,US,D,18,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,fiddlbl01
37,Washington Capitals,Milton Gastrin,SE,C,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,,gastrmi01
38,Philadelphia Flyers,Carter Amico,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,amicoca01
39,Pittsburgh Penguins,Peyton Kettles,CA,D,18,,Swift Current Broncos (WHL),,,,,,,,,,,,,,kettlpe01
40,Philadelphia Flyers,Jack Murtagh,US,LW,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,murtaja01
