Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
198,Calgary Flames,Dmitry Zavgorodniy,RU,LW,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,zavgodm01
199,Dallas Stars,Jermaine Loewen,JM,LW,20,,Kamloops Blazers (WHL),,,,,,,,,,,,,,loeweje01
200,St. Louis Blues,Tyler Tucker,CA,D,18,2026,Barrie Colts (OHL),159,8,22,30,-8,209,,,,,,,5.2,tuckety01
201,Florida Panthers,Cole Krygier,US,D,18,,Lincoln Stars (USHL),,,,,,,,,,,,,,krygico01
202,Colorado Avalanche,Shamil Shmakov,RU,G,19,,Sibirskie Snaipery Novosibirsk (Russia Jr.),,,,,,,,,,,,,,shmaksh01
203,New Jersey Devils,Eetu Pakkila,FI,LW,18,,Karpat Jr. (Finland Jr.),,,,,,,,,,,,,,pakkiee01
204,Columbus Blue Jackets,Trey Fix-Wolansky,CA,RW,19,2024,Edmonton Oil Kings (WHL),26,4,2,6,-6,2,,,,,,,0.3,fixwotr01
205,Philadelphia Flyers,Marcus Westfalt,SE,C,18,,Brynas IF (Sweden),,,,,,,,,,,,,,westfma01
206,Tampa Bay Lightning,Radim Salda,CZ,D,19,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,saldara01
207,Florida Panthers,Santtu Kinnunen,FI,D,19,,Pelicans Jr. (Finland Jr.),,,,,,,,,,,,,,kinnusa01
208,Vegas Golden Knights,Jordan Kooy,CA,G,18,,London Knights (OHL),,,,,,,,,,,,,,kooyjo01
209,Toronto Maple Leafs,Zachary Bouthillier,CA,G,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,,,bouthza01
210,Minnesota Wild,Sam Hentges,US,C,19,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,hentgsa01
211,Toronto Maple Leafs,Semyon Kizimov,RU,RW,18,,Ladia Togliatti (Russia Jr.),,,,,,,,,,,,,,kizimse01
212,Boston Bruins,Pavel Shen,RU,C,19,,Mamonty Yugry (Russia Jr.),,,,,,,,,,,,,,shenpa01
213,Nashville Predators,Milan Kloucek,CZ,G,20,,HC Dynamo Pardubice (Czech),,,,,,,,,,,,,,kloucmi01
214,Tampa Bay Lightning,Ty Taylor,CA,G,19,,Vernon (BCHL),,,,,,,,,,,,,,tayloty01
215,Winnipeg Jets,Austin Wong,CA,C,18,,Okotoks (AJHL),,,,,,,,,,,,,,wongau01
216,New York Rangers,Riley Hughes,US,RW,18,,St. Sebastian's School (High-MA),,,,,,,,,,,,,,hugheri01
217,Washington Capitals,Eric Florchuk,CA,C,18,,Saskatoon Blades (WHL),,,,,,,,,,,,,,florcer01
