Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
43,New York Islanders,Ruslan Iskhakov,RU,C,18,2024,Krasnaya Armiya Moskva (Russia Jr.),1,0,1,1,0,0,,,,,,,0.1,iskharu01
44,Dallas Stars,Albin Eriksson,SE,RW,18,,Skelleftea AIK Jr. (Sweden Jr.),,,,,,,,,,,,,,eriksal01
45,St. Louis Blues,Scott Perunovich,US,D,20,2025,Minnesota-Duluth (NCHC),108,2,30,32,0,30,,,,,,,4.8,perunsc01
46,Washington Capitals,Martin Fehervary,SK,D,18,2026,IK Oskarshamn (Sweden-2),380,27,75,102,28,151,,,,,,,21.2,feherma01
47,Washington Capitals,Kody Clark,US,RW,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,clarkko01
48,Ottawa Senators,Jonathan Tychonick,CA,D,18,,Penticton (BCHL),,,,,,,,,,,,,,tychojo01
49,Columbus Blue Jackets,Kirill Marchenko,RU,RW,18,2026,Mamonty Yugry (Russia Jr.),292,102,106,208,8,82,,,,,,,22.2,marchki01
50,Philadelphia Flyers,Adam Ginning,SE,D,18,2026,Linkoping HC (Sweden),16,1,0,1,-1,2,,,,,,,0.4,ginniad01
51,Los Angeles Kings,Akil Thomas,CA,C,18,2025,Niagara IceDogs (OHL),32,4,3,7,-4,9,,,,,,,0.4,thomaak01
52,Toronto Maple Leafs,Sean Durzi,CA,D,19,2026,Owen Sound Attack (OHL),302,30,114,144,-30,237,,,,,,,19.9,durzise01
53,Pittsburgh Penguins,Calen Addison,CA,D,18,2024,Lethbridge Hurricanes (WHL),152,6,44,50,-59,96,,,,,,,4.2,addisca01
54,Anaheim Ducks,Benoit-Olivier Groulx,CA,C,18,2026,Halifax Mooseheads (QMJHL),78,4,6,10,-5,24,,,,,,,-0.4,groulbe01
55,Arizona Coyotes,Kevin Bahl,CA,D,18,2026,Ottawa 67's (OHL),297,11,52,63,-5,209,,,,,,,13.1,bahlke01
56,Montreal Canadiens,Jacob Olofsson,SE,C,18,,Timra IK (Sweden-2),,,,,,,,,,,,,,olofsja01
57,Boston Bruins,Axel Andersson,SE,D,18,,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,,,,anderax01
58,Pittsburgh Penguins,Filip Hallander,SE,C,18,2026,Timra IK (Sweden-2),16,1,3,4,4,2,,,,,,,0.3,hallafi01
59,Tampa Bay Lightning,Gabriel Fortier,CA,LW,18,2023,Baie-Comeau Drakkar (QMJHL),11,1,0,1,-2,4,,,,,,,-0.1,fortiga01
60,Winnipeg Jets,David Gustafsson,SE,C,18,2025,HV71 (Sweden),149,6,14,20,10,13,,,,,,,0.8,gustada01
61,Vegas Golden Knights,Ivan Morozov,RU,C,18,,Mamonty Yugry (Russia Jr.),,,,,,,,,,,,,,moroziv01
62,Edmonton Oilers,Olivier Rodrigue,CA,G,18,2025,Drummondville Voltigeurs (QMJHL),2,0,0,0,0,0,2,0,1,0,.862,3.10,0.1,rodriol01
63,Minnesota Wild,Jack McBain,CA,C,18,2026,Toronto (OJHL),316,44,63,107,13,282,,,,,,,8.1,mcbaija03
64,Colorado Avalanche,Justus Annunen,FI,G,18,2026,Karpat Jr. (Finland Jr.),80,0,1,1,0,2,80,35,32,5,.899,2.87,12.3,annunju01
65,Arizona Coyotes,Jan Jenik,CZ,RW,18,2025,HC Benatky nad Jizerou (Czech-2),24,4,2,6,-5,20,,,,,,,0.4,jenikja01
66,Montreal Canadiens,Cameron Hillis,CA,C,18,2022,Guelph Storm (OHL),1,0,0,0,0,0,,,,,,,0.0,hillica01
67,Detroit Red Wings,Alec Regula,US,D,18,2026,London Knights (OHL),51,1,3,4,-21,51,,,,,,,-0.2,regulal01
68,Vancouver Canucks,Tyler Madden,US,C,18,,Tri-City Storm (USHL),,,,,,,,,,,,,,maddety01
69,Chicago Blackhawks,Jake Wise,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,wiseja01
70,New York Rangers,Jacob Ragnarsson,US,D,18,,Almtuna IS (Sweden-2),,,,,,,,,,,,,,ragnaja01
71,Montreal Canadiens,Jordan Harris,US,D,18,2026,Kimball Union Academy (High-NH),172,10,30,40,-6,62,,,,,,,6.3,harrijo01
72,New York Islanders,Jakub Skarek,CZ,G,18,2025,HC Dukla Jihlava (Czech),2,0,0,0,0,0,2,0,1,0,.872,3.94,0.1,skareja01
73,Arizona Coyotes,Ty Emberson,US,D,18,2026,USA U-18 Development Team (USDP/USHL),178,5,30,35,-10,47,,,,,,,6.3,emberty01
74,Chicago Blackhawks,Niklas Nordgren,FI,RW,18,,HIFK Jr. (Finland Jr.),,,,,,,,,,,,,,nordgni02
75,Dallas Stars,Oskar Back,SE,C,18,2026,Farjestad BK Jr. (Sweden Jr.),145,9,19,28,11,18,,,,,,,1.1,backos01
76,Toronto Maple Leafs,Semyon Der-Arguchintsev,RU,C,18,2023,Peterborough Petes (OHL),1,0,0,0,1,0,,,,,,,0.0,derarse01
77,Boston Bruins,Jakub Lauko,CZ,C,18,2025,Pirati Chomutov (Czech),139,11,17,28,-14,90,,,,,,,1.1,laukoja01
78,Colorado Avalanche,Sampo Ranta,FI,LW,18,2023,Sioux City Musketeers (USHL),16,0,0,0,-4,6,,,,,,,-0.4,rantasa01
79,Anaheim Ducks,Blake McLaughlin,US,LW,18,,Chicago Steel (USHL),,,,,,,,,,,,,,mclaubl01
80,Columbus Blue Jackets,Marcus Karlberg,SE,LW,18,,Leksands IF Jr. (Sweden Jr.),,,,,,,,,,,,,,karlbma01
81,Detroit Red Wings,Seth Barton,CA,D,19,,Trail (BCHL),,,,,,,,,,,,,,bartose01
82,Los Angeles Kings,Bulat Shafigullin,RU,LW,18,,Reaktor Nizhnekamsk (Russia Jr.),,,,,,,,,,,,,,shafibu01
83,Toronto Maple Leafs,Riley Stotts,CA,C,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,stottri01
84,Detroit Red Wings,Jesper Eliasson,SE,G,18,,IF Troja-Ljungby Jr. (Sweden Jr.),,,,,,,,,,,,,,eliasje01
85,Anaheim Ducks,Lukas Dostal,CZ,G,18,2026,SK Horacka Slavia Trebic (Czech-2),177,0,1,1,0,16,177,72,78,17,.898,3.23,30.4,dostalu01
86,Minnesota Wild,Alexander Khovanov,RU,C,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,,,khovaal01
87,San Jose Sharks,Linus Karlsson,SE,C,18,2026,Karlskrona HK Jr. (Sweden Jr.),106,18,23,41,-23,48,,,,,,,3.2,karlsli01
88,New York Rangers,Joey Keane,US,D,19,2022,Barrie Colts (OHL),2,0,0,0,-1,2,,,,,,,0.0,keanejo01
89,Florida Panthers,Logan Hutsko,US,RW,19,,Boston College (H-East),,,,,,,,,,,,,,hutsklo01
90,Tampa Bay Lightning,Dmitry Semykin,RU,D,18,,Kapitan Stupino (Russia Jr.),,,,,,,,,,,,,,semykdm01
91,Winnipeg Jets,Nathan Smith,US,C,19,2023,Cedar Rapids RoughRiders (USHL),14,2,2,4,-2,6,,,,,,,0.2,smithna03
92,Minnesota Wild,Connor Dewar,CA,C,19,2026,Everett Silvertips (WHL),316,37,46,83,-4,136,,,,,,,5.3,dewarco01
93,Washington Capitals,Riley Sutter,CA,RW,18,,Everett Silvertips (WHL),,,,,,,,,,,,,,sutteri02
94,Buffalo Sabres,Matej Pekar,CZ,C,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,pekarma01
95,Ottawa Senators,Jonathan Gruden,CA,C,18,2024,USA U-18 Development Team (USDP/USHL),16,1,0,1,-2,5,,,,,,,-0.1,grudejo02
96,Carolina Hurricanes,Luke Henman,CA,C,18,,Blainville-Boisbriand Armada (QMJHL),,,,,,,,,,,,,,henmalu01
97,Montreal Canadiens,Allan McShane,CA,C,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,mcshaal01
98,Detroit Red Wings,Ryan O'Reilly,US,RW,18,,Madison Capitols (USHL),,,,,,,,,,,,,,oreilry02
99,Vegas Golden Knights,Stanislav Demin,US,D,18,,Wenatchee (BCHL),,,,,,,,,,,,,,deminst01
100,Dallas Stars,Adam Mascherin,CA,LW,20,,Kitchener Rangers (OHL),,,,,,,,,,,,,,maschad01
101,New York Rangers,Nico Gross,CH,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,,,grossni02
102,San Jose Sharks,Jasper Weatherby,US,C,20,2022,Wenatchee (BCHL),50,5,6,11,-14,18,,,,,,,0.3,weathja01
103,New York Islanders,Jacob Pivonka,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,pivonja01
104,Carolina Hurricanes,Lenni Killinen,FI,RW,18,,Blues Jr. (Finland Jr.),,,,,,,,,,,,,,killile01
105,Calgary Flames,Martin Pospisil,SK,C,18,2026,Sioux City Musketeers (USHL),166,13,39,52,13,210,,,,,,,3.7,pospima01
106,Dallas Stars,Curtis Douglas,CA,C,18,2026,Windsor Spitfires (OHL),43,1,3,4,-3,108,,,,,,,-0.1,douglcu01
107,St. Louis Blues,Joel Hofer,CA,G,18,2026,Swift Current Broncos (WHL),115,0,3,3,0,10,115,59,35,10,.908,2.67,21.4,hoferjo01
108,Calgary Flames,Demetrios Koumontzis,US,LW,18,,Edina HS (High-MN),,,,,,,,,,,,,,koumode01
109,Colorado Avalanche,Tyler Weiss,US,LW,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,weissty01
110,New Jersey Devils,Xavier Bernard,CA,D,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,bernaxa01
111,Nashville Predators,Jachym Kondelik,DE,C,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,kondeja01
112,Philadelphia Flyers,John St. Ivany,US,D,19,2026,Sioux Falls Stampede (USHL),53,0,9,9,1,25,,,,,,,1.7,stivajo01
113,Los Angeles Kings,Aidan Dudas,CA,C,18,,Owen Sound Attack (OHL),,,,,,,,,,,,,,dudasai01
114,Arizona Coyotes,Ivan Prosvetov,RU,G,19,2024,Youngstown Phantoms (USHL),24,0,0,0,0,0,24,8,9,2,.881,3.70,2.0,prosviv01
